entry num,variety or pedigree,selection num,source
1,Kharkof,CI1442,Check
2,Scout 66,CI13996,Check
3,TAM-107 ,PI495594,Check
4,Csm*3/3/Newton/Largo//2*Csm ,OK88W833,Oklahoma
5,Cty sib/4/Aiv/3/Tcs//Ti sib/Sdy,OK89499,Oklahoma
6,2165/Cty sib ,OK89399,Oklahoma
7,OK83197/Sxl,OK89421,Oklahoma
8,TX78V2154/Siouxland,TX88V4636,Texas
9,Vona/TX71D4889-V3,TX84V1418HF,Texas
10,Karl Resel.,TX88V5440,Texas
11,TX78V2154/Siouxland ,TX88V4635,Texas
12,TAM-1 05/3/NE70654/BBY/Bow's' ,TX87V1613,Texas
13,NE78696/Payne ,TX88V4524,Texas
14,TAM-2OO//TX38949-2/TAM-107 ,TX89V4138,Texas
15,Karl Rese!.,TX88V5433,Texas
16,Siouxland/TAM-101 ,TX88A6480,Texas
17,TX71A889/T AM-101 ,X88A6533,Texas
18,TX73165/Sandy,C0860086,Colorado
19,NE76667/Hawk (Jules) ,C0860094,Colorado
20,Sandy/Hail,C0860235,Colorado
21,Arkan/Hawk ,C0870449,Colorado
22,Bulk Selection (Arlin),KSSB-369-7,Kansas
23,Karl sib (Karl 92) ,KS831374-142,Kansas
24,Hawk/(Pkg16/LoV13//JgW13)//TAM-108 ,KS84170E-8-3,Kansas
25,TX71A889/2172//2157,HBC302E,Kansas
26,Lr16/Lr17/Larned/3/Cheney/Larned/4/Bnt sib/5/TAM107,KS87H325-2,Kansas
27,Dular/Eagle//2+Cheney/Larned/3/Colt,KS89H48-1,Kansas
28,Dular/Eagle//2+Cheney/Larned/3/Colt,KS89H50-4,Kansas
29,NE69565//NE65671/NE69655/3/Homestead/4/ Ctk/3/At66/Cmn//TX2607-6 ,N87V1 06,"NE, USDA"
30,Arkan/Coltl/Chisholm sib,NE88595,Nebraska
31,Bennett/TAM-107,NE88427,Nebraska
32,Centura/Dawn//Colt sib,NE88584,Nebraska
33,Centura/Dawn//Colt sib,NE88588,Nebraska
34,Quantum Hybrid Wheat,XH1319,HybriTech
35,Quantum Hybrid Wheat,XH1436,HybriTech
36,Quantum Hybrid Wheat,XH1437,HybriTech
37,Quantum Hybrid Wheat,XH1497,HybriTech
38,COIt/Victory (Laredo) ,W87-018,Agripro
39,WI81-133/Arkan (Pecos) ,W188-181,Agripro
40,W84-179/W81-171,W188-028,Agripro
41,TAM-107/TAM-105,T13,Trio
42,2165/Vona,T67,Trio
43,TAM-108/Lancota,T21-3,Trio
44,HRW Hybrid,TH901,Trio
45,HRW Hybrid,TH902,Trio
