"state","city","reps","line","entry no.","entry yield (kg/ha)","volume weight (kg/hl)","plant heigh (cm)","days to heading from 1/1"
"OKLAHOMA","GOODWELL","3","CI1442",1,2822,75.1,118,136
"OKLAHOMA","GOODWELL","3","CI13996",2,4255,78.7,116,128
"OKLAHOMA","GOODWELL","3","PI495594",3,5787,77.5,101,125
"OKLAHOMA","GOODWELL","3","OK87W663",4,5434,79.2,95,126
"OKLAHOMA","GOODWELL","3","OK87542",5,5437,78.2,102,128
"OKLAHOMA","GOODWELL","3","OK87630",6,5013,77.8,99,126
"OKLAHOMA","GOODWELL","3","OK88767",7,5630,78.8,99,126
"OKLAHOMA","GOODWELL","3","OK88W833",8,5667,78.7,99,126
"OKLAHOMA","GOODWELL","3","TX88V4636",9,6187,75.9,102,130
"OKLAHOMA","GOODWELL","3","TX84V1418HF",10,4973,78.7,107,128
"OKLAHOMA","GOODWELL","3","TX88V5440",11,5749,77.3,89,124
"OKLAHOMA","GOODWELL","3","TX88V4635",12,6054,75.3,103,129
"OKLAHOMA","GOODWELL","3","TX87V1613",13,5310,77.7,106,123
"OKLAHOMA","GOODWELL","3","TX88V4524",14,5669,78.3,97,122
"OKLAHOMA","GOODWELL","3","TX89V4138",15,5518,80.1,99,124
"OKLAHOMA","GOODWELL","3","TX88V5433",16,5678,77.1,5,128
"OKLAHOMA","GOODWELL","3","TX86D1310",17,3792,79.2,98,128
"OKLAHOMA","GOODWELL","3","TX86D1332",18,3866,78.6,97,128
"OKLAHOMA","GOODWELL","3","TX88D3424",19,5340,74.6,86,121
"OKLAHOMA","GOODWELL","3","CO850034",20,5161,79.2,100,129
"OKLAHOMA","GOODWELL","3","CO850061",21,5905,76.8,102,127
"OKLAHOMA","GOODWELL","3","CO860086",22,6148,75.1,95,132
"OKLAHOMA","GOODWELL","3","CO860094",23,6047,76.4,102,133
"OKLAHOMA","GOODWELL","3","KSSB-369-7",24,6365,79.5,98,121
"OKLAHOMA","GOODWELL","3","KSSB-192-3",25,6179,76.8,98,125
"OKLAHOMA","GOODWELL","3","HBC197F",26,6317,77,97,129
"OKLAHOMA","GOODWELL","3","KS87H6",27,5811,78.8,101,129
"OKLAHOMA","GOODWELL","3","KS88H12-1",28,6472,78.8,105,131
"OKLAHOMA","GOODWELL","3","KS88H12-2",29,6327,79.2,102,131
"OKLAHOMA","GOODWELL","3","NE87615",30,6038,77,95,130
"OKLAHOMA","GOODWELL","3","NE87409",31,5358,78.3,113,130
"OKLAHOMA","GOODWELL","3","NE87451",32,5343,78,97,129
"OKLAHOMA","GOODWELL","3","NE885995",33,6064,77.3,105,130
"OKLAHOMA","GOODWELL","3","NE88427",34,5988,78.9,106,130
"OKLAHOMA","GOODWELL","3","XH900",35,6090,77.7,106,128
"OKLAHOMA","GOODWELL","3","XH1231",36,6396,77.8,108,129
"OKLAHOMA","GOODWELL","3","XH1322",37,5440,77.5,112,127
"OKLAHOMA","GOODWELL","3","XH1514",38,5748,77.3,110,129
"OKLAHOMA","GOODWELL","3","WI88-083",39,5905,78.2,105,129
"OKLAHOMA","GOODWELL","3","WI88-024",40,5336,78,106,129
"OKLAHOMA","GOODWELL","3","T19-3",41,5673,77.4,112,128
"OKLAHOMA","GOODWELL","3","T67",42,3254,80.1,108,129
"OKLAHOMA","GOODWELL","3","T21-3",43,6215,77.7,103,129
"OKLAHOMA","GOODWELL","3","TH901",44,4886,76.6,107,127
"OKLAHOMA","GOODWELL","3","TH902",45,5161,75.7,106,128
