state,city,reps,line,entry no.,entry yield (kg/ha),volume weight (kg/hl),plant heigh (cm),days to heading from 1/1,lodging %,leaf sev %,rust resp 0-9,SBM virus 0-9
KANSAS,MANHATTAN,3,WI88-083,39,4196,71.5,95,132,0,40,2,2
KANSAS,MANHATTAN,3,KSSB-192-3,25,3979,70.7,90,125,0,40,8,2
KANSAS,MANHATTAN,3,XH1231,36,3805,69,101,128,0,1,7,2
KANSAS,MANHATTAN,3,XH1322,37,3717,71.9,102,127,0,80,8,2
KANSAS,MANHATTAN,3,KSSB-369-7,24,3702,74.6,86,121,0,10,7,2
KANSAS,MANHATTAN,3,OK88767,7,3694,72.1,95,127,3,20,8,8
KANSAS,MANHATTAN,3,XH900,35,3573,69,100,127,0,40,8,2
KANSAS,MANHATTAN,3,OK88W833,8,3521,74,93,126,0,80,8,5
KANSAS,MANHATTAN,3,TH901,44,3517,69.3,100,128,7,100,8,2
KANSAS,MANHATTAN,3,T67,42,3482,72.1,104,129,27,100,8,2
KANSAS,MANHATTAN,3,HBC197F,26,3397,63.6,90,129,33,1,3,2
KANSAS,MANHATTAN,3,CO850061,21,3382,67.7,93,127,7,80,8,8
KANSAS,MANHATTAN,3,TH902,45,3351,67.9,102,128,3,100,8,3
KANSAS,MANHATTAN,3,TX89V4138,15,3326,72.1,92,126,20,50,8,5
KANSAS,MANHATTAN,3,TX88V5440,11,3296,72.2,89,125,10,30,8,2
KANSAS,MANHATTAN,3,TX86D1332,18,3289,72.2,96,129,77,10,3,2
KANSAS,MANHATTAN,3,CO850034,20,3216,71.3,95,128,47,80,8,2
KANSAS,MANHATTAN,3,XH1514,38,3154,69.7,101,132,13,60,8,2
KANSAS,MANHATTAN,3,OK87630,6,3146,70.6,90,125,17,80,8,8
KANSAS,MANHATTAN,3,KSB7H6,27,3097,69.7,96,130,0,1,3,8
KANSAS,MANHATTAN,3,WI88-024,40,3075,69.5,101,132,3,90,8,8
KANSAS,MANHATTAN,3,TX84V1418HF,10,3063,66.7,96,128,7,20,8,8
KANSAS,MANHATTAN,3,TX86D1310,17,3003,73.7,97,129,67,20,3,2
KANSAS,MANHATTAN,3,OK87542,5,2998,71.2,101,126,13,80,8,8
KANSAS,MANHATTAN,3,KS88H12-1,28,2997,68.6,95,133,7,50,8,2
KANSAS,MANHATTAN,3,T21-3,43,2997,64,102,131,87,60,8,2
KANSAS,MANHATTAN,3,OK87W663,4,2978,72.9,91,123,0,100,8,5
KANSAS,MANHATTAN,3,TX87V1613,3,2968,67.1,96,126,3,10,8,8
KANSAS,MANHATTAN,3,T19-3,41,2925,68,104,129,60,100,8,8
KANSAS,MANHATTAN,3,PI495594,3,2919,65.9,94,123,0,100,8,8
KANSAS,MANHATTAN,3,NE87615,30,2900,66.4,92,134,23,5,3,8
KANSAS,MANHATTAN,3,TX88V4524,14,2888,71,86,127,0,10,8,8
KANSAS,MANHATTAN,3,TX88V5433,16,2874,71.1,92,128,30,60,8,2
KANSAS,MANHATTAN,3,NE87451,32,2754,67.2,89,133,50,20,3,5
KANSAS,MANHATTAN,3,KS88H12-2,29,2642,68.1,93,133,13,60,8,2
KANSAS,MANHATTAN,3,NE88427,34,2454,70,93,133,7,90,8,7
KANSAS,MANHATTAN,3,TX88V4636,9,2381,68.1,96,128,33,60,8,8
KANSAS,MANHATTAN,3,NE88595,33,2375,64.9,94,132,13,80,8,7
KANSAS,MANHATTAN,3,NE87409,31,2362,68.9,103,132,27,80,8,2
KANSAS,MANHATTAN,3,TX88V4635,12,2058,59.9,96,130,37,50,8,8
KANSAS,MANHATTAN,3,TX88D3424,19,2043,64.2,74,126,100,10,8,8
KANSAS,MANHATTAN,3,CI13996,2,1466,67,122,32,100,100,8,8
KANSAS,MANHATTAN,3,CO860086,22,1458,61.3,87,134,0,90,8,8
KANSAS,MANHATTAN,3,CO860094,23,1232,59.9,93,136,43,20,8,8
KANSAS,MANHATTAN,3,CI1442,1,693,.,117,138,100,100,8,8
