"state","city","reps","line","entry","yield (kg/ha)","volume (kg/hl)","plant height (cm)","days to heading from 1/1"
"KANSAS","HAYS","3","CI1442",1,1894,72.2,60,137
"KANSAS","HAYS","3","CI13996",2,2564,78.5,57,131
"KANSAS","HAYS","3","PI495594",3,3098,79.2,53,124
"KANSAS","HAYS","3","OK87W663",4,2670,76.7,52,124
"KANSAS","HAYS","3","OK87542",5,2410,74,54,126
"KANSAS","HAYS","3","OK87630",6,2432,75.6,53,125
"KANSAS","HAYS","3","OK88767",7,2582,76.1,52,128
"KANSAS","HAYS","3","OK88W833",8,2768,77.2,53,124
"KANSAS","HAYS","3","TX88V4636",9,2659,73.5,54,129
"KANSAS","HAYS","3","TX84V1418HF",10,2316,74,55,130
"KANSAS","HAYS","3","TX88V5440",11,2304,74,52,123
"KANSAS","HAYS","3","TX88V4635",12,2336,73.9,52,129
"KANSAS","HAYS","3","TX87V1613",13,1858,77.7,55,129
"KANSAS","HAYS","3","TX88V4524",14,2206,76,52,127
"KANSAS","HAYS","3","TX89V4138",15,2791,80.5,57,126
"KANSAS","HAYS","3","TX88V5433",16,2381,73.8,51,128
"KANSAS","HAYS","3","TX86D1310",17,2239,78.7,57,129
"KANSAS","HAYS","3","TX86D1332",18,2206,78.2,56,129
"KANSAS","HAYS","3","TX88D3424",19,1988,72.1,46,124
"KANSAS","HAYS","3","C0850034",20,2448,76.6,54,129
"KANSAS","HAYS","3","C0850061",21,2984,75.2,52,128
"KANSAS","HAYS","3","C0860086",22,2629,73.4,49,133
"KANSAS","HAYS","3","C0860094",23,2645,71,48,135
"KANSAS","HAYS","3","KSSB-369-7",24,2605,78.8,53,122
"KANSAS","HAYS","3","KSSB-192-3",25,2632,75.5,55,125
"KANSAS","HAYS","3","HBC197F",26,2390,71.1,50,130
"KANSAS","HAYS","3","KS87H6",27,2547,75.4,50,131
"KANSAS","HAYS","3","KS88H12-1",28,2562,73.3,54,133
"KANSAS","HAYS","3","KS88H12-2",29,2529,74.2,53,133
"KANSAS","HAYS","3","NE87615",30,2930,73.1,51,131
"KANSAS","HAYS","3","NE87409",31,2809,75.4,50,132
"KANSAS","HAYS","3","NE87451",32,2587,73.7,49,130
"KANSAS","HAYS","3","NE88595",33,3002,75.9,51,131
"KANSAS","HAYS","3","NE88427",34,2847,76.2,52,132
"KANSAS","HAYS","3","XH900",35,2981,74.4,56,128
"KANSAS","HAYS","3","XH1231",36,3044,74.1,55,130
"KANSAS","HAYS","3","XH1322",37,2473,75.2,57,128
"KANSAS","HAYS","3","XH1514",38,3008,74.4,54,131
"KANSAS","HAYS","3","WI88-083",39,2542,76.3,53,129
"KANSAS","HAYS","3","WI88-024",40,2360,76.2,56,131
"KANSAS","HAYS","3","T19-3",41,3020,77.1,56,128
"KANSAS","HAYS","3","T67",42,2636,76.7,55,130
"KANSAS","HAYS","3","T21-3",43,2582,73,58,130
"KANSAS","HAYS","3","TH901",44,2511,74.6,55,125
"KANSAS","HAYS","3","TH902",45,2842,76.6,54,125
