"state","city","reps","line","entry","yield (kg/ha)","volume weight (kg/hl)","plant height (cm)","days to heading from 1/1","lodging (%)"
"KANSAS","COLBY","3","CI1442",1,2484,73.1,107,145,53
"KANSAS","COLBY","3","CI13996",2,4329,76.7,95,138,63
"KANSAS","COLBY","3","PI495594",3,4037,74.2,78,135,8
"KANSAS","COLBY","3","OK87W663",4,3232,72.2,75,135,3
"KANSAS","COLBY","3","OK87542",5,3954,72.5,80,137,7
"KANSAS","COLBY","3","OK87630",6,3723,72.9,79,135,5
"KANSAS","COLBY","3","OK88767",7,4057,74.3,77,136,5
"KANSAS","COLBY","3","OK88W833",8,3614,71.9,76,136,3
"KANSAS","COLBY","3","TX88V4636",9,4618,72.8,79,139,13
"KANSAS","COLBY","3","TX84V1418HF",10,3497,71.3,83,138,4
"KANSAS","COLBY","3","TX88V5440",11,4504,73.7,68,135,8
"KANSAS","COLBY","3","TX88V4635",12,4604,71.4,85,139,13
"KANSAS","COLBY","3","TX87V1613",13,3791,75.2,77,137,6
"KANSAS","COLBY","3","TX88V4524",14,4019,74,74,134,2
"KANSAS","COLBY","3","TX89V4138",15,4562,76.2,77,135,20
"KANSAS","COLBY","3","TX88V5433",16,4569,75.3,73,137,6
"KANSAS","COLBY","3","TX86D1310",17,3634,76.4,75,137,17
"KANSAS","COLBY","3","TX86D1332",18,3410,76.4,79,138,12
"KANSAS","COLBY","3","TX88D3424",19,3788,69.8,64,134,12
"KANSAS","COLBY","3","CO850034",20,3062,68.4,79,139,4
"KANSAS","COLBY","3","CO850061",21,4275,71.5,77,138,8
"KANSAS","COLBY","3","CO860086",22,3692,68.8,77,141,6
"KANSAS","COLBY","3","CO860094",23,4317,73.2,84,143,13
"KANSAS","COLBY","3","KSSB-369-7",24,4598,76.5,72,134,10
"KANSAS","COLBY","3","KSSB-192-3",25,4017,74.3,75,135,4
"KANSAS","COLBY","3","HBC197F",26,4118,69.2,75,138,4
"KANSAS","COLBY","3","KS87H6",27,4338,74.4,78,137,4
"KANSAS","COLBY","3","KS88H12-1",28,4329,72.6,81,140,6
"KANSAS","COLBY","3","KS88H12-2",29,4326,71.9,82,140,5
"KANSAS","COLBY","3","NE87615",30,4546,72.9,78,140,7
"KANSAS","COLBY","3","NE87409",31,4302,74.5,82,140,13
"KANSAS","COLBY","3","NE87451",32,4270,72.6,72,137,5
"KANSAS","COLBY","3","NE88595",33,4461,72.7,81,138,7
"KANSAS","COLBY","3","NE88427",34,4089,74.5,80,139,3
"KANSAS","COLBY","3","XH900",35,4468,72.2,82,137,6
"KANSAS","COLBY","3","XH1231",36,4093,72.1,81,139,3
"KANSAS","COLBY","3","XH1322",37,3629,71.8,86,137,3
"KANSAS","COLBY","3","XH1514",38,3932,71.9,88,141,7
"KANSAS","COLBY","3","WI88-083",39,4268,73.7,77,136,3
"KANSAS","COLBY","3","WI88-024",40,3625,74.2,86,140,4
"KANSAS","COLBY","3","T19-3",41,4479,73.5,86,136,15
"KANSAS","COLBY","3","T67",42,3983,74.6,86,139,5
"KANSAS","COLBY","3","T21-3",43,4483,71.5,83,136,12
"KANSAS","COLBY","3","TH901",44,4270,72.5,82,136,4
"KANSAS","COLBY","3","TH902",45,4082,73,83,136,4
"KANSAS","COLBY","3","KS8010-72-4",46,4407,72,80,138,4
"KANSAS","COLBY","3","KS8010-72-8",47,4577,71.5,80,137,3
"KANSAS","COLBY","3","KS831374-74",48,4817,75.9,73,135,7
"KANSAS","COLBY","3","KS831374-142",49,5147,75,72,134,6
