"state","city","reps","line","entry no.","entry yield (kg/ha)","volume weight (kg/hl)","days to heading from 1/1","leaf sev. %","rust resp 0-9"
"COLORADO","FORT COLLINS","3","TX84V1418HF",1,5753,73.3,150,5,NA
"COLORADO","FORT COLLINS","3","CI1442",1,4316,70.6,158,40,NA
"COLORADO","FORT COLLINS","3","CI13996",2,5831,75.5,148,50,NA
"COLORADO","FORT COLLINS","3","PI495594",3,6358,74,147,70,NA
"COLORADO","FORT COLLINS","3","OK87W663",4,4753,74.6,147,30,NA
"COLORADO","FORT COLLINS","3","OK87542",5,6100,73.7,149,20,NA
"COLORADO","FORT COLLINS","3","OK87630",6,4368,75.2,146,10,NA
"COLORADO","FORT COLLINS","3","OK88767",7,5813,76.1,149,10,NA
"COLORADO","FORT COLLINS","3","OK88W833",8,4812,75.5,147,30,NA
"COLORADO","FORT COLLINS","3","TX88V4636",9,7276,74,151,20,NA
"COLORADO","FORT COLLINS","3","TX88V5440",11,4327,72.4,146,10,NA
"COLORADO","FORT COLLINS","3","TX88V4635",12,7258,74.6,151,10,NA
"COLORADO","FORT COLLINS","3","TX87V1613",13,5981,75.5,150,10,NA
"COLORADO","FORT COLLINS","3","TX88V4524",14,5302,75.5,146,10,NA
"COLORADO","FORT COLLINS","3","TX89V4138",15,6873,77.7,149,10,NA
"COLORADO","FORT COLLINS","3","TX88V5433",16,4334,72.4,149,5,NA
"COLORADO","FORT COLLINS","3","TX86D1310",17,4484,75.8,148,0,NA
"COLORADO","FORT COLLINS","3","TX86D1332",18,5772,75.8,149,0,NA
"COLORADO","FORT COLLINS","3","TX88D3424",19,5223,69.6,146,0,NA
"COLORADO","FORT COLLINS","3","CO850034",20,4914,71.8,152,80,NA
"COLORADO","FORT COLLINS","3","CO850061",21,7642,74,151,40,NA
"COLORADO","FORT COLLINS","3","CO860086",22,6996,73.3,156,30,NA
"COLORADO","FORT COLLINS","3","CO860094",23,8187,74.9,155,5,NA
"COLORADO","FORT COLLINS","3","KSSB-369-7",24,6709,75.8,147,0,NA
"COLORADO","FORT COLLINS","3","KSSB-192-3",25,8012,75.2,148,10,NA
"COLORADO","FORT COLLINS","3","HBC197F",26,7269,73.7,152,0,NA
"COLORADO","FORT COLLINS","3","KS87H6",27,5111,75.5,150,10,NA
"COLORADO","FORT COLLINS","3","KS88H12-1",28,6156,76.8,152,20,NA
"COLORADO","FORT COLLINS","3","KS88H12-2",29,6694,75.5,151,10,NA
"COLORADO","FORT COLLINS","3","NE87615",30,7228,75.2,149,5,NA
"COLORADO","FORT COLLINS","3","NE87409",31,6309,75.2,149,20,NA
"COLORADO","FORT COLLINS","3","NE87451",32,6231,73,149,10,NA
"COLORADO","FORT COLLINS","3","NE88595",33,6339,74.9,150,40,NA
"COLORADO","FORT COLLINS","3","NE88427",34,6223,75.8,149,30,NA
"COLORADO","FORT COLLINS","3","XH900",35,6507,76.1,150,5,NA
"COLORADO","FORT COLLINS","3","XH1231",36,6272,75.8,153,0,NA
"COLORADO","FORT COLLINS","3","XH1322",37,6130,74.3,150,10,NA
"COLORADO","FORT COLLINS","3","XH1514",38,7164,75.8,152,0,NA
"COLORADO","FORT COLLINS","3","WI88-083",39,6354,75.5,149,0,NA
"COLORADO","FORT COLLINS","3","WI88-024",40,5649,75.8,151,0,NA
"COLORADO","FORT COLLINS","3","T19-3",41,6317,74.3,146,10,NA
"COLORADO","FORT COLLINS","3","T67",42,5481,77.4,151,10,NA
"COLORADO","FORT COLLINS","3","T21-3",43,7765,72.4,149,5,NA
"COLORADO","FORT COLLINS","3","TH901",44,6126,72.4,148,10,NA
"COLORADO","FORT COLLINS","3","TH902",45,5660,73.7,148,40,NA
"COLORADO","FORT COLLINS","3","TAM-200",46,7407,77.7,149,10,NA
"COLORADO","FORT COLLINS","3","SANDY",47,6694,76.8,153,20,NA
"COLORADO","FORT COLLINS","3","LAMAR",48,6533,76.1,152,5,NA
"COLORADO","FORT COLLINS","3","CO840186",49,5835,77.4,154,50,NA
"COLORADO","FORT COLLINS","3","MV16-85",50,5985,72.7,152,0,NA
