"state","city","reps","line","entry no.","entry yield (kg/ha)","volume weight (kg/hl)"
"COLORADO","AKRON","3","CI1442",1,2569,72.1
"COLORADO","AKRON","3","KS88H12-1",2,5030,72.1
"COLORADO","AKRON","3","CI13996",2,4681,74.6
"COLORADO","AKRON","3","PI495594",3,4941,72.4
"COLORADO","AKRON","3","OK87W663",4,4480,74.3
"COLORADO","AKRON","3","OK87542",5,4704,72.7
"COLORADO","AKRON","3","OK87630",6,4351,73
"COLORADO","AKRON","3","OK88767",7,4940,73
"COLORADO","AKRON","3","OK88W833",8,4048,72.7
"COLORADO","AKRON","3","TX88V4636",9,5272,69.9
"COLORADO","AKRON","3","TX84V1418HF",10,4372,74.6
"COLORADO","AKRON","3","TX88V5440",11,4707,72.1
"COLORADO","AKRON","3","TX88V4635",12,5083,72.4
"COLORADO","AKRON","3","TX87V1613",13,4367,74.6
"COLORADO","AKRON","3","TX88V4524",14,4736,73
"COLORADO","AKRON","3","TX89V4138",15,4888,76.4
"COLORADO","AKRON","3","TX88V5433",16,4610,73.7
"COLORADO","AKRON","3","TX86D1310",17,4038,74.6
"COLORADO","AKRON","3","TX86D1332",18,4368,75.2
"COLORADO","AKRON","3","TX88D3424",19,4001,68.4
"COLORADO","AKRON","3","CO850034",20,3522,69
"COLORADO","AKRON","3","CO850061",21,4941,73.3
"COLORADO","AKRON","3","CO860086",22,4692,70.6
"COLORADO","AKRON","3","CO860094",23,4871,69.9
"COLORADO","AKRON","3","KSSB-369-7",24,5065,74.3
"COLORADO","AKRON","3","KSSB-192-3",25,4959,74
"COLORADO","AKRON","3","HBC197F",26,4898,69.9
"COLORADO","AKRON","3","KS87H6",27,4647,72.7
"COLORADO","AKRON","3","KS88H12-2",29,5389,73.3
"COLORADO","AKRON","3","NE87615",30,5351,73.3
"COLORADO","AKRON","3","NE87409",31,4976,74
"COLORADO","AKRON","3","NE87451",32,5195,70.9
"COLORADO","AKRON","3","NE88595",33,4836,71.8
"COLORADO","AKRON","3","NE88427",34,4744,72.7
"COLORADO","AKRON","3","XH900",35,4744,73.3
"COLORADO","AKRON","3","XH1231",36,4786,71.2
"COLORADO","AKRON","3","XH1322",37,4375,72.7
"COLORADO","AKRON","3","XH1514",38,4779,72.7
"COLORADO","AKRON","3","WI88-083",39,5219,72.7
"COLORADO","AKRON","3","WI88-024",40,4658,74.9
"COLORADO","AKRON","3","T19-3",41,5131,72.4
"COLORADO","AKRON","3","T67",42,4484,75.2
"COLORADO","AKRON","3","T21-3",43,5330,71.8
"COLORADO","AKRON","3","Th901",44,4509,71.5
"COLORADO","AKRON","3","Th902",45,4606,70.9
"COLORADO","AKRON","3","TAM-200",46,4959,75.8
"COLORADO","AKRON","3","SANDY",47,4178,74
"COLORADO","AKRON","3","LAMAR",48,4384,75.8
"COLORADO","AKRON","3","CO840186",49,2161,72.4
"COLORADO","AKRON","3","MV16-85",50,4061,68.1
