"state","city","reps","line","entry no.","entry yield (kg/ha)","plant heigh (cm)","days to heading from 1/1"
"NEW MEXICO","CLOVIS (DRYL.)","3","CI1442",1,81,34,127
"NEW MEXICO","CLOVIS (DRYL.)","3","CI13996",2,136,34,117
"NEW MEXICO","CLOVIS (DRYL.)","3","PI495594",3,113,27,114
"NEW MEXICO","CLOVIS (DRYL.)","3","OK87W663",4,72,30,116
"NEW MEXICO","CLOVIS (DRYL.)","3","OK87542",5,45,25,120
"NEW MEXICO","CLOVIS (DRYL.)","3","OK87630",6,54,26,119
"NEW MEXICO","CLOVIS (DRYL.)","3","OK88767",7,45,29,118
"NEW MEXICO","CLOVIS (DRYL.)","3","OK88W833",8,99,31,117
"NEW MEXICO","CLOVIS (DRYL.)","3","TX88V4636",9,172,30,115
"NEW MEXICO","CLOVIS (DRYL.)","3","TX84V1418HF",10,50,34,121
"NEW MEXICO","CLOVIS (DRYL.)","3","TX88V5440",11,81,29,116
"NEW MEXICO","CLOVIS (DRYL.)","3","TX88V4635",12,172,34,114
"NEW MEXICO","CLOVIS (DRYL.)","3","TX87V1613",13,190,38,112
"NEW MEXICO","CLOVIS (DRYL.)","3","TX88V4524",14,140,27,114
"NEW MEXICO","CLOVIS (DRYL.)","3","TX89V4138",15,185,30,115
"NEW MEXICO","CLOVIS (DRYL.)","3","TX88V5433",16,54,25,11
"NEW MEXICO","CLOVIS (DRYL.)","3","TX86D1310",17,86,30,117
"NEW MEXICO","CLOVIS (DRYL.)","3","TX86D1332",18,122,30,115
"NEW MEXICO","CLOVIS (DRYL.)","3","TX88D3424",19,72,26,115
"NEW MEXICO","CLOVIS (DRYL.)","3","CO850034",20,45,26,122
"NEW MEXICO","CLOVIS (DRYL.)","3","CO850061",21,109,25,119
"NEW MEXICO","CLOVIS (DRYL.)","3","CO860086",22,77,29,123
"NEW MEXICO","CLOVIS (DRYL.)","3","CO860094",23,140,34,124
"NEW MEXICO","CLOVIS (DRYL.)","3","KSSB-369-7",24,213,30,112
"NEW MEXICO","CLOVIS (DRYL.)","3","KSSB-192-3",25,158,34,113
"NEW MEXICO","CLOVIS (DRYL.)","3","HBC197F",26,118,29,118
"NEW MEXICO","CLOVIS (DRYL.)","3","KS87H6",27,90,26,120
"NEW MEXICO","CLOVIS (DRYL.)","3","KS88H12-1",28,63,30,125
"NEW MEXICO","CLOVIS (DRYL.)","3","KS88H12-2",29,90,28,122
"NEW MEXICO","CLOVIS (DRYL.)","3","NE87615",30,131,28,117
"NEW MEXICO","CLOVIS (DRYL.)","3","NE87409",31,104,29,123
"NEW MEXICO","CLOVIS (DRYL.)","3","NE87451",32,163,30,116
"NEW MEXICO","CLOVIS (DRYL.)","3","NE88595",33,154,28,117
"NEW MEXICO","CLOVIS (DRYL.)","3","NE88427",34,181,30,12
"NEW MEXICO","CLOVIS (DRYL.)","3","XH900",35,154,31,115
"NEW MEXICO","CLOVIS (DRYL.)","3","XH1231",36,131,30,12
"NEW MEXICO","CLOVIS (DRYL.)","3","XH1322",37,95,35,115
"NEW MEXICO","CLOVIS (DRYL.)","3","XH1514",38,113,30,124
"NEW MEXICO","CLOVIS (DRYL.)","3","WI88-083",39,77,25,116
"NEW MEXICO","CLOVIS (DRYL.)","3","WI88-024",40,99,30,117
"NEW MEXICO","CLOVIS (DRYL.)","3","T19-3",41,131,32,116
"NEW MEXICO","CLOVIS (DRYL.)","3","T67",42,90,30,122
"NEW MEXICO","CLOVIS (DRYL.)","3","T21-3",43,140,31,118
"NEW MEXICO","CLOVIS (DRYL.)","3","TH901",44,90,30,115
"NEW MEXICO","CLOVIS (DRYL.)","3","TH902",45,77,29,115
