"state","city","reps","line","entry","yield (kg/ha)","volume weight (kg/hl)","plant height (cm)"
"NEBRASKA","CLAY CENTER","3","CI1442",1,824,71.6,117
"NEBRASKA","CLAY CENTER","3","CI13996",2,1927,74.9,116
"NEBRASKA","CLAY CENTER","3","PI495594",3,1781,68.9,88
"NEBRASKA","CLAY CENTER","3","OK87W663",4,1148,71.9,89
"NEBRASKA","CLAY CENTER","3","OK87542",5,2125,73.1,97
"NEBRASKA","CLAY CENTER","3","OK87630",6,1610,68.2,85
"NEBRASKA","CLAY CENTER","3","OK88767",7,1970,72.6,91
"NEBRASKA","CLAY CENTER","3","OK88W833",8,1840,72.1,93
"NEBRASKA","CLAY CENTER","3","TX88V4636",9,993,69,90
"NEBRASKA","CLAY CENTER","3","TX84V1418HF",10,2778,74.6,97
"NEBRASKA","CLAY CENTER","3","TX88V5440",11,2451,73.4,89
"NEBRASKA","CLAY CENTER","3","TX88V4635",12,1825,69.1,89
"NEBRASKA","CLAY CENTER","3","TX87V1613",13,1573,73.7,84
"NEBRASKA","CLAY CENTER","3","TX88V4524",14,2290,73.8,88
"NEBRASKA","CLAY CENTER","3","TX89V4138",15,2057,74.2,91
"NEBRASKA","CLAY CENTER","3","TX88V5433",16,2960,75.5,93
"NEBRASKA","CLAY CENTER","3","TX86D1310",17,2263,76,94
"NEBRASKA","CLAY CENTER","3","TX86D1332",18,2042,76.6,94
"NEBRASKA","CLAY CENTER","3","TX88D3424",19,972,64.5,75
"NEBRASKA","CLAY CENTER","3","CO850034",20,1160,69.1,90
"NEBRASKA","CLAY CENTER","3","CO850061",21,2134,70.6,88
"NEBRASKA","CLAY CENTER","3","CO860086",22,1063,68.4,85
"NEBRASKA","CLAY CENTER","3","CO860094",23,955,70.7,91
"NEBRASKA","CLAY CENTER","3","KSSB-369-7",24,2562,75.3,83
"NEBRASKA","CLAY CENTER","3","KSSB-192-3",25,2115,73.1,80
"NEBRASKA","CLAY CENTER","3","HBC197F",26,2256,71.3,85
"NEBRASKA","CLAY CENTER","3","KS87H6",27,1798,73,93
"NEBRASKA","CLAY CENTER","3","KS88H12-1",28,1750,71.7,95
"NEBRASKA","CLAY CENTER","3","KS88H12-2",29,1775,70.8,91
"NEBRASKA","CLAY CENTER","3","NE87615",30,1950,71.2,91
"NEBRASKA","CLAY CENTER","3","NE87409",31,1544,72.1,98
"NEBRASKA","CLAY CENTER","3","NE87451",32,1776,71.3,88
"NEBRASKA","CLAY CENTER","3","NE88595",33,2049,71.2,97
"NEBRASKA","CLAY CENTER","3","NE88427",34,2642,74.7,94
"NEBRASKA","CLAY CENTER","3","XH900",35,2276,72.2,94
"NEBRASKA","CLAY CENTER","3","XH1231",36,2234,72.1,91
"NEBRASKA","CLAY CENTER","3","XH1322",37,2587,72.4,95
"NEBRASKA","CLAY CENTER","3","XH1514",38,2327,72.8,97
"NEBRASKA","CLAY CENTER","3","WI88-083",39,3076,72.5,89
"NEBRASKA","CLAY CENTER","3","WI88-024",40,1768,73.5,91
"NEBRASKA","CLAY CENTER","3","T19-3",41,2896,73.7,103
"NEBRASKA","CLAY CENTER","3","T67",42,2917,74.4,100
"NEBRASKA","CLAY CENTER","3","T21-3",43,3078,70.6,102
"NEBRASKA","CLAY CENTER","3","TH901",44,2450,71.2,98
"NEBRASKA","CLAY CENTER","3","TH902",45,2617,70,95
