state,city,reps,line,entry no.,entry yield (kg/ha)
NEBRASKA,NORTH PLATTE,3,TX88V5433,16,1643
NEBRASKA,NORTH PLATTE,3,NE87409,31,1643
NEBRASKA,NORTH PLATTE,3,CI13996,33,1323
NEBRASKA,NORTH PLATTE,3,NE87615,2,1293
NEBRASKA,NORTH PLATTE,3,KS88H12-2,30,1255
NEBRASKA,NORTH PLATTE,3,TH902,29,1175
NEBRASKA,NORTH PLATTE,3,T19-3,45,1154
NEBRASKA,NORTH PLATTE,3,PI495594,41,1153
NEBRASKA,NORTH PLATTE,3,T21-3,3,1112
NEBRASKA,NORTH PLATTE,3,KS88H12-1,43,1100
NEBRASKA,NORTH PLATTE,3,NE88427,28,995
NEBRASKA,NORTH PLATTE,3,TH901,34,982
NEBRASKA,NORTH PLATTE,3,TX88V5440,44,974
NEBRASKA,NORTH PLATTE,3,KSSB-369-7,11,959
NEBRASKA,NORTH PLATTE,3,WI88-083,24,924
NEBRASKA,NORTH PLATTE,3,TX86D1310,39,857
NEBRASKA,NORTH PLATTE,3,NE87451,17,824
NEBRASKA,NORTH PLATTE,3,HBC197F,32,808
NEBRASKA,NORTH PLATTE,3,KS87H6,26,800
NEBRASKA,NORTH PLATTE,3,TX89V4138,27,792
NEBRASKA,NORTH PLATTE,3,T67,15,777
NEBRASKA,NORTH PLATTE,3,TX86D1332,42,753
NEBRASKA,NORTH PLATTE,3,WI88-024,18,660
NEBRASKA,NORTH PLATTE,3,XH1231,40,633
NEBRASKA,NORTH PLATTE,3,TX88V4636,36,596
NEBRASKA,NORTH PLATTE,3,XH1322,9,545
NEBRASKA,NORTH PLATTE,3,CO860086,37,531
NEBRASKA,NORTH PLATTE,3,TX88V4524,22,529
NEBRASKA,NORTH PLATTE,3,OK88767,14,527
NEBRASKA,NORTH PLATTE,3,XH1514,7,502
NEBRASKA,NORTH PLATTE,3,XH900,38,486
NEBRASKA,NORTH PLATTE,3,TX84V1418HF,35,466
NEBRASKA,NORTH PLATTE,3,OK87542,10,436
NEBRASKA,NORTH PLATTE,3,CO850034,5,374
NEBRASKA,NORTH PLATTE,3,CI1442,20,342
NEBRASKA,NORTH PLATTE,3,OK8W833,1,334
NEBRASKA,NORTH PLATTE,3,TX88V4635,8,333
NEBRASKA,NORTH PLATTE,3,OK87W663,12,327
NEBRASKA,NORTH PLATTE,3,KSSB-192-3,4,325
NEBRASKA,NORTH PLATTE,3,KSSB-192-3,25,312
NEBRASKA,NORTH PLATTE,3,CO850061,21,305
NEBRASKA,NORTH PLATTE,3,TX88D3424,19,239
NEBRASKA,NORTH PLATTE,3,TX87V1613,13,88
NEBRASKA,NORTH PLATTE,3,OK87630,6,149
NEBRASKA,NORTH PLATTE,3,CO860094,23,87
