"state","city","reps","line","entry","yield (kg/ha)"
"NEBRASKA","NORTH PLATTE","3","CI1442",1,334
"NEBRASKA","NORTH PLATTE","3","CI13996",2,1293
"NEBRASKA","NORTH PLATTE","3","PI495594",3,1112
"NEBRASKA","NORTH PLATTE","3","OK87W663",4,325
"NEBRASKA","NORTH PLATTE","3","OK87542",5,374
"NEBRASKA","NORTH PLATTE","3","OK87630",6,149
"NEBRASKA","NORTH PLATTE","3","OK88767",7,502
"NEBRASKA","NORTH PLATTE","3","OK88W833",8,333
"NEBRASKA","NORTH PLATTE","3","TX88V4636",9,545
"NEBRASKA","NORTH PLATTE","3","TX84V1418HF",10,436
"NEBRASKA","NORTH PLATTE","3","TX88V5440",11,959
"NEBRASKA","NORTH PLATTE","3","TX88V4635",12,327
"NEBRASKA","NORTH PLATTE","3","TX87V1613",13,188
"NEBRASKA","NORTH PLATTE","3","TX88V4524",14,527
"NEBRASKA","NORTH PLATTE","3","TX89V4138",15,777
"NEBRASKA","NORTH PLATTE","3","TX88V5433",16,1643
"NEBRASKA","NORTH PLATTE","3","TX86D1310",17,824
"NEBRASKA","NORTH PLATTE","3","TX86D1332",18,660
"NEBRASKA","NORTH PLATTE","3","TX88D3424",19,239
"NEBRASKA","NORTH PLATTE","3","C0850034",20,342
"NEBRASKA","NORTH PLATTE","3","C0850061",21,305
"NEBRASKA","NORTH PLATTE","3","C0860086",22,529
"NEBRASKA","NORTH PLATTE","3","C0860094",23,87
"NEBRASKA","NORTH PLATTE","3","KSSB-369-7",24,924
"NEBRASKA","NORTH PLATTE","3","KSSB-192-3",25,312
"NEBRASKA","NORTH PLATTE","3","HBC197F",26,800
"NEBRASKA","NORTH PLATTE","3","KS87H6",27,792
"NEBRASKA","NORTH PLATTE","3","KS88H12-1",28,995
"NEBRASKA","NORTH PLATTE","3","KS88H12-2",29,1175
"NEBRASKA","NORTH PLATTE","3","NE87615",30,1255
"NEBRASKA","NORTH PLATTE","3","NE87409",31,1634
"NEBRASKA","NORTH PLATTE","3","NE87451",32,808
"NEBRASKA","NORTH PLATTE","3","NE88595",33,1323
"NEBRASKA","NORTH PLATTE","3","NE88427",34,982
"NEBRASKA","NORTH PLATTE","3","XH900",35,466
"NEBRASKA","NORTH PLATTE","3","XH1231",36,596
"NEBRASKA","NORTH PLATTE","3","XH1322",37,531
"NEBRASKA","NORTH PLATTE","3","XH1514",38,486
"NEBRASKA","NORTH PLATTE","3","WI88-083",39,857
"NEBRASKA","NORTH PLATTE","3","WI88-024",40,633
"NEBRASKA","NORTH PLATTE","3","T19-3",41,1153
"NEBRASKA","NORTH PLATTE","3","T67",42,753
"NEBRASKA","NORTH PLATTE","3","T21-3",43,1100
"NEBRASKA","NORTH PLATTE","3","TH901",44,974
"NEBRASKA","NORTH PLATTE","3","TH902",45,1154
