"state","city","reps","line","entry no.","entry yield (kg/ha)","volume weight (kg/hl)","plant heigh (cm)"
"NEBRASKA","SIDNEY","3","CI1442",1,2193,77.7,NA
"NEBRASKA","SIDNEY","3","CI13996",2,2845,80.6,NA
"NEBRASKA","SIDNEY","3","PI495594",3,2512,76.8,NA
"NEBRASKA","SIDNEY","3","OK87W663",4,1348,78.7,NA
"NEBRASKA","SIDNEY","3","OK87542",5,2264,80,NA
"NEBRASKA","SIDNEY","3","XH1231",6,3206,78.7,NA
"NEBRASKA","SIDNEY","3","OK87630",6,1889,78,NA
"NEBRASKA","SIDNEY","3","OK88767",7,2197,78.8,NA
"NEBRASKA","SIDNEY","3","OK88W833",8,1581,78.9,NA
"NEBRASKA","SIDNEY","3","TX88V4636",9,2813,80.2,NA
"NEBRASKA","SIDNEY","3","TX84V1418HF",10,2763,78.7,NA
"NEBRASKA","SIDNEY","3","TX88V5440",11,2577,79.1,NA
"NEBRASKA","SIDNEY","3","TX88V4635",12,2751,79.2,NA
"NEBRASKA","SIDNEY","3","TX87V1613",13,1997,80.5,NA
"NEBRASKA","SIDNEY","3","TX88V4524",14,2181,81.3,NA
"NEBRASKA","SIDNEY","3","TX89V4138",15,2190,81,NA
"NEBRASKA","SIDNEY","3","TX88V5433",16,2939,80.2,NA
"NEBRASKA","SIDNEY","3","TX86D1310",17,2492,82,NA
"NEBRASKA","SIDNEY","3","TX86D1332",18,2326,81.3,NA
"NEBRASKA","SIDNEY","3","TX88D3424",19,1614,73.9,NA
"NEBRASKA","SIDNEY","3","CO850034",20,1499,71.2,NA
"NEBRASKA","SIDNEY","3","CO850061",21,2404,77.4,NA
"NEBRASKA","SIDNEY","3","CO860086",22,2783,77.4,NA
"NEBRASKA","SIDNEY","3","CO860094",23,3286,77.4,NA
"NEBRASKA","SIDNEY","3","KSSB-369-7",24,2337,82.6,NA
"NEBRASKA","SIDNEY","3","KSSB-192-3",25,2719,79.9,NA
"NEBRASKA","SIDNEY","3","HBC197F",26,3231,78,NA
"NEBRASKA","SIDNEY","3","KS87H6",27,3441,80,NA
"NEBRASKA","SIDNEY","3","KS88H12-1",28,3679,80.1,NA
"NEBRASKA","SIDNEY","3","KS88H12-2",29,3211,80,NA
"NEBRASKA","SIDNEY","3","NE87615",30,3269,78.7,NA
"NEBRASKA","SIDNEY","3","NE87409",31,2969,81.3,NA
"NEBRASKA","SIDNEY","3","NE87451",32,2424,80,NA
"NEBRASKA","SIDNEY","3","NE88595",33,3249,78.4,NA
"NEBRASKA","SIDNEY","3","NE88427",34,3405,79.3,NA
"NEBRASKA","SIDNEY","3","XH900",35,2714,77,NA
"NEBRASKA","SIDNEY","3","XH1322",37,2712,78.6,NA
"NEBRASKA","SIDNEY","3","XH1514",38,3407,78.8,NA
"NEBRASKA","SIDNEY","3","WI88-083",39,3815,80,NA
"NEBRASKA","SIDNEY","3","WI88-024",40,2995,81.3,NA
"NEBRASKA","SIDNEY","3","T19-3",41,3572,81.8,NA
"NEBRASKA","SIDNEY","3","T67",42,3524,81,NA
"NEBRASKA","SIDNEY","3","T21-3",43,3259,81.3,NA
"NEBRASKA","SIDNEY","3","TH901",44,3273,78.7,NA
"NEBRASKA","SIDNEY","3","TH902",45,3073,78,NA
