"state","city","reps","line","entry","yield (kg/ha)","volume weight (kg/hl)","plant height (cm)","days to heading from 1/1","lodging (0-9)","stripe rust sev.","stripe rust resp","common bunt (%)"
"IDAHO","ABERDEEN","2","CI1442",1,6539,79.3,124,167,5,15,5,20
"IDAHO","ABERDEEN","2","CI13996",2,7477,81.5,121,160,2.5,60,7,20
"IDAHO","ABERDEEN","2","PI495594",3,9963,80.1,94,162,1.5,90,9,0
"IDAHO","ABERDEEN","2","OK87W663",4,9603,80.5,97,161,1,70,6,25
"IDAHO","ABERDEEN","2","OK87542",5,9014,80.4,102,161,1.5,70,8,25
"IDAHO","ABERDEEN","2","OK87630",6,9307,82,99,160,1.5,70,7,25
"IDAHO","ABERDEEN","2","OK88767",7,9031,80.4,98,163,1,50,5,25
"IDAHO","ABERDEEN","2","OK88W833",8,12593,81.9,102,161,1.5,70,8,25
"IDAHO","ABERDEEN","2","TX88V4636",9,10474,78.6,100,165,1,50,5,25
"IDAHO","ABERDEEN","2","TX84V1418HF",10,10423,81.7,100,164,1.5,60,6,15
"IDAHO","ABERDEEN","2","TX88V5440",11,9435,80.4,89,161,1,10,4,15
"IDAHO","ABERDEEN","2","TX88V4635",12,10931,78.8,104,165,3,10,5,20
"IDAHO","ABERDEEN","2","TX87V1613",13,10275,80.4,104,163,4,1,1,10
"IDAHO","ABERDEEN","2","TX88V4524",14,9633,81,89,161,1,20,4,25
"IDAHO","ABERDEEN","2","TX89V4138",15,11557,82.3,97,162,2.5,10,4,5
"IDAHO","ABERDEEN","2","TX88V5433",16,8658,81.1,94,164,1,10,4,25
"IDAHO","ABERDEEN","2","TX86D1310",17,8762,82,98,162,1.5,80,9,20
"IDAHO","ABERDEEN","2","TX86D1332",18,7958,82,95,163,1.5,60,8,20
"IDAHO","ABERDEEN","2","TX88D3424",19,9556,79.3,74,160,1,1,1,25
"IDAHO","ABERDEEN","2","CO850034",20,10228,81.4,103,165,1,90,9,15
"IDAHO","ABERDEEN","2","CO850061",21,9499,81.9,97,163,1,70,7,15
"IDAHO","ABERDEEN","2","CO860086",22,11816,79.7,93,167,1,60,5,5
"IDAHO","ABERDEEN","2","CO860094",23,10793,78.7,99,167,1,90,9,5
"IDAHO","ABERDEEN","2","KSSB-369-7",24,9922,82.3,89,159,1,80,8,10
"IDAHO","ABERDEEN","2","KSSB-192-3",25,9805,82,93,161,1,1,1,25
"IDAHO","ABERDEEN","2","HBC197F",26,8190,79.1,91,164,1,70,7,20
"IDAHO","ABERDEEN","2","KS87H6",27,7871,80.1,97,161,1,90,9,5
"IDAHO","ABERDEEN","2","KS88H12-1",28,9270,80.6,91,164,1,50,5,15
"IDAHO","ABERDEEN","2","KS88H12-2",29,11819,81.7,97,164,1,60,6,20
"IDAHO","ABERDEEN","2","NE87615",30,8553,79.7,93,164,1,90,9,15
"IDAHO","ABERDEEN","2","NE87409",31,8560,81,107,162,1,90,9,25
"IDAHO","ABERDEEN","2","NE87451",32,8705,81.3,85,161,1,90,9,15
"IDAHO","ABERDEEN","2","NE88595",33,10514,80.4,100,161,1.5,90,9,15
"IDAHO","ABERDEEN","2","NE88427",34,7225,80,93,160,1,90,9,5
"IDAHO","ABERDEEN","2","XH900",35,9206,78.9,98,163,1,40,5,15
"IDAHO","ABERDEEN","2","XH1231",36,12519,80.6,103,164,1,40,5,10
"IDAHO","ABERDEEN","2","XH1322",37,7571,79.7,95,163,1,50,8,15
"IDAHO","ABERDEEN","2","XH1514",38,10585,80.2,100,163,1,80,7,5
"IDAHO","ABERDEEN","2","WI88-083",39,9660,81.1,88,161,1,80,8,0
"IDAHO","ABERDEEN","2","WI88-024",40,8503,81,105,162,1,15,4,25
"IDAHO","ABERDEEN","2","T19-3",41,8833,80.5,102,160,1,90,8,20
"IDAHO","ABERDEEN","2","T67",42,8493,81.7,104,163,1,60,5,25
"IDAHO","ABERDEEN","2","T21-3",43,10138,81.1,102,162,1,80,8,10
"IDAHO","ABERDEEN","2","TH901",44,8550,79.9,100,161,1,60,7,10
"IDAHO","ABERDEEN","2","TH902",45,8994,79.2,100,162,1,80,8,0
