"state","city","reps","line","entry","yield (kg/ha)","colume weight (kg/hl)","plant height (cm)"
"IDAHO","PRESTON","2","CI1442",1,1413,76.1,85
"IDAHO","PRESTON","2","CI13996",2,1934,76.2,79
"IDAHO","PRESTON","2","PI495594",3,1964,74.8,71
"IDAHO","PRESTON","2","OK87W663",4,2092,76.9,74
"IDAHO","PRESTON","2","OK87542",5,2052,76.5,72
"IDAHO","PRESTON","2","OK87630",6,2479,77.4,76
"IDAHO","PRESTON","2","OK88767",7,2277,76.8,71
"IDAHO","PRESTON","2","OK88W833",8,2805,78.4,71
"IDAHO","PRESTON","2","TX88V4636",9,1924,72.1,62
"IDAHO","PRESTON","2","TX84V1418HF",10,2681,76.9,77
"IDAHO","PRESTON","2","TX88V5440",11,2502,76.9,67
"IDAHO","PRESTON","2","TX88V4635",12,1860,73.9,64
"IDAHO","PRESTON","2","TX87V1613",13,1799,77.3,66
"IDAHO","PRESTON","2","TX88V4524",14,2452,79.7,69
"IDAHO","PRESTON","2","TX89V4138",15,2338,75.5,74
"IDAHO","PRESTON","2","TX88V5433",16,2328,77.4,71
"IDAHO","PRESTON","2","TX86D1310",17,2395,77.3,74
"IDAHO","PRESTON","2","TX86D1332",18,2146,77,72
"IDAHO","PRESTON","2","TX88D3424",19,1736,67.5,58
"IDAHO","PRESTON","2","CO850034",20,2455,74.2,67
"IDAHO","PRESTON","2","CO850061",21,2650,78,72
"IDAHO","PRESTON","2","CO860086",22,2459,77.7,64
"IDAHO","PRESTON","2","CO860094",23,1762,74.6,64
"IDAHO","PRESTON","2","KSSB-369-7",24,2267,80.6,65
"IDAHO","PRESTON","2","KSSB-192-3",25,2112,75.9,69
"IDAHO","PRESTON","2","HBC197F",26,1968,72.6,62
"IDAHO","PRESTON","2","KS87H6",27,2149,78.2,70
"IDAHO","PRESTON","2","KS88H12-1",28,2324,77.5,65
"IDAHO","PRESTON","2","KS88H12-2",29,1931,71.5,65
"IDAHO","PRESTON","2","NE87615",30,1759,74.6,62
"IDAHO","PRESTON","2","NE87409",31,1995,77.1,74
"IDAHO","PRESTON","2","NE87451",32,2153,74.9,69
"IDAHO","PRESTON","2","NE88595",33,2085,76.5,66
"IDAHO","PRESTON","2","NE88427",34,1880,77.8,64
"IDAHO","PRESTON","2","XH900",35,2230,74.7,75
"IDAHO","PRESTON","2","XH1231",36,2264,74.7,74
"IDAHO","PRESTON","2","XH1322",37,1904,77,75
"IDAHO","PRESTON","2","XH1514",38,2368,74.7,75
"IDAHO","PRESTON","2","WI88-083",39,2459,76.5,71
"IDAHO","PRESTON","2","WI88-024",40,2206,77.3,83
"IDAHO","PRESTON","2","T19-3",41,1749,75.9,72
"IDAHO","PRESTON","2","T67",42,1971,75.2,70
"IDAHO","PRESTON","2","T21-3",43,1964,78,70
"IDAHO","PRESTON","2","TH901",44,2156,77.8,71
"IDAHO","PRESTON","2","TH902",45,2280,77.5,80
