"state","city","reps","line","entry no.","entry yield (kg/ha)","volume weight (kg/hl)","plant heigh (cm)","days to heading from 1/1","lodging %"
"NEW MEXICO","FARMINGTON",4,"CI1442",1,4164,70.6,99,152,90
"NEW MEXICO","FARMINGTON",4,"CI13996",2,4428,75.1,95,142,93
"NEW MEXICO","FARMINGTON",4,"PI49559",3,6627,76.4,78,141,15
"NEW MEXICO","FARMINGTON",4,"OK87W663",4,5894,72.9,91,142,79
"NEW MEXICO","FARMINGTON",4,"OK87542",5,4384,71.6,97,142,96
"NEW MEXICO","FARMINGTON",4,"OK87630",6,5220,74.8,100,142,15
"NEW MEXICO","FARMINGTON",4,"OK88767",7,5674,75.1,92,143,54
"NEW MEXICO","FARMINGTON",4,"OK88W833",8,5733,74.8,85,142,92
"NEW MEXICO","FARMINGTON",4,"TX88V4636",9,4267,71,81,144,80
"NEW MEXICO","FARMINGTON",4,"TX84V1418HF",10,4575,71,95,148,94
"NEW MEXICO","FARMINGTON",4,"TX88V5440",11,5660,73.5,81,143,36
"NEW MEXICO","FARMINGTON",4,"TX88V4635",12,4369,71.3,91,145,99
"NEW MEXICO","FARMINGTON",4,"TX87V1613",13,5586,75.8,84,141,4
"NEW MEXICO","FARMINGTON",4,"TX88V4524",14,4560,76.8,74,141,0
"NEW MEXICO","FARMINGTON",4,"TX89V4138",15,5630,75.1,81,141,8
"NEW MEXICO","FARMINGTON",4,"TX88V5433",16,5484,74.5,86,142,38
"NEW MEXICO","FARMINGTON",4,"TX86D1310",17,4736,76.4,87,142,74
"NEW MEXICO","FARMINGTON",4,"TX86D1332",18,5205,77.1,88,141,68
"NEW MEXICO","FARMINGTON",4,"TX88D3424",19,4135,73.2,67,141,8
"NEW MEXICO","FARMINGTON",4,"CO850034",20,4252,72.2,91,147,91
"NEW MEXICO","FARMINGTON",4,"CO850061",21,6085,72.9,88,142,61
"NEW MEXICO","FARMINGTON",4,"CO860086",22,6012,71.3,81,148,65
"NEW MEXICO","FARMINGTON",4,"CO860094",23,4252,69,88,149,74
"NEW MEXICO","FARMINGTON",4,"KSSB-369-7",24,5689,76.1,81,143,24
"NEW MEXICO","FARMINGTON",4,"KSSB-192-3",25,6305,73.9,89,143,72
"NEW MEXICO","FARMINGTON",4,"HBC197F",26,4487,71.6,87,143,82
"NEW MEXICO","FARMINGTON",4,"KS87H6",27,5645,73.9,85,143,99
"NEW MEXICO","FARMINGTON",4,"KS88H12-1",28,4868,70.6,87,148,10
"NEW MEXICO","FARMINGTON",4,"KS88H12-2",29,5161,71.9,85,147,100
"NEW MEXICO","FARMINGTON",4,"NE87615",30,6085,74.8,77,141,59
"NEW MEXICO","FARMINGTON",4,"NE87409",31,4912,74.8,93,143,70
"NEW MEXICO","FARMINGTON",4,"NE87451",32,5103,75.8,69,141,23
"NEW MEXICO","FARMINGTON",4,"NE88595",33,5762,74.8,86,141,96
"NEW MEXICO","FARMINGTON",4,"NE88427",34,5821,73.2,93,142,79
"NEW MEXICO","FARMINGTON",4,"XH900",35,5161,70.3,94,142,89
"NEW MEXICO","FARMINGTON",4,"XH1231",36,5279,71.3,95,147,88
"NEW MEXICO","FARMINGTON",4,"XH1322",37,5528,71.9,99,143,61
"NEW MEXICO","FARMINGTON",4,"XH1514",38,4487,72.9,91,146,78
"NEW MEXICO","FARMINGTON",4,"WI88-083",39,5454,75.1,83,141,41
"NEW MEXICO","FARMINGTON",4,"WI88-024",40,5440,75.5,91,143,25
"NEW MEXICO","FARMINGTON",4,"T19-3",41,5205,75.8,93,141,74
"NEW MEXICO","FARMINGTON",4,"T67",42,4516,72.2,93,146,68
"NEW MEXICO","FARMINGTON",4,"T21-3",43,5059,73.5,86,141,60
"NEW MEXICO","FARMINGTON",4,"TH901",44,5029,71.3,90,143,46
"NEW MEXICO","FARMINGTON",4,"TH902",45,5337,74.2,87,141,25
