state,city,reps,line,entry no.,entry yield (kg/ha),volume weight (kg/hl),plant heigh (cm),days to heading from 1/1
TEXAS,CHILLICOTHE,3,KSSB-369-7,24,3705,77.8,68,95
TEXAS,CHILLICOTHE,3,TH902,45,3640,76.7,74,98
TEXAS,CHILLICOTHE,3,CO850034,20,3625,78.6,62,99
TEXAS,CHILLICOTHE,3,CO850061,21,3524,75.8,57,97
TEXAS,CHILLICOTHE,3,XH1231,36,3524,77.6,65,100
TEXAS,CHILLICOTHE,3,CO860086,22,3445,78.5,66,16
TEXAS,CHILLICOTHE,3,TX89V4138,15,3434,79.6,64,97
TEXAS,CHILLICOTHE,3,T19-3,41,3401,77.4,67,102
TEXAS,CHILLICOTHE,3,NE88595,33,3369,76.5,58,104
TEXAS,CHILLICOTHE,3,CO860094,23,3336,78.9,60,109
TEXAS,CHILLICOTHE,3,XH1514,38,3311,78.8,64,105
TEXAS,CHILLICOTHE,3,XH900,35,3295,76.8,66,100
TEXAS,CHILLICOTHE,3,KS88H12-2,29,3277,76.6,58,105
TEXAS,CHILLICOTHE,3,NE87615,30,3273,76.7,56,105
TEXAS,CHILLICOTHE,3,KS88H12-1,28,3219,77.1,63,105
TEXAS,CHILLICOTHE,3,XH1322,37,3201,77,67,98
TEXAS,CHILLICOTHE,3,TX88V4635,12,3199,75.7,60,98
TEXAS,CHILLICOTHE,3,TX88V4636,9,3188,75.9,62,98
TEXAS,CHILLICOTHE,3,OK87630,6,3170,77.7,63,97
TEXAS,CHILLICOTHE,3,T21-3,43,3167,77.4,69,102
TEXAS,CHILLICOTHE,3,TH901,44,3167,76.5,69,97
TEXAS,CHILLICOTHE,3,TX87V1613,13,3161,77.7,70,96
TEXAS,CHILLICOTHE,3,CI13996,2,3132,78.6,76,102
TEXAS,CHILLICOTHE,3,WI88-024,40,3123,78.2,67,101
TEXAS,CHILLICOTHE,3,T67,42,3085,78.9,63,100
TEXAS,CHILLICOTHE,3,NE87451,32,4046,77,55,104
TEXAS,CHILLICOTHE,3,KSSB-192-3,5,3044,76.8,66,95
TEXAS,CHILLICOTHE,3,WI88-083,39,3022,77.8,61,103
TEXAS,CHILLICOTHE,3,PI495594,3,3013,75.6,62,97
TEXAS,CHILLICOTHE,3,NE87409,31,2988,77,64,106
TEXAS,CHILLICOTHE,3,TX88V4524,14,2968,77.1,58,100
TEXAS,CHILLICOTHE,3,OK87542,5,2901,77.7,59,97
TEXAS,CHILLICOTHE,3,TX88V5433,16,2856,76.7,63,98
TEXAS,CHILLICOTHE,3,HBC197F,26,2842,75.9,60,100
TEXAS,CHILLICOTHE,3,NE88427,34,2840,78,57,106
TEXAS,CHILLICOTHE,3,TX86D1310,17,2820,78.1,70,100
TEXAS,CHILLICOTHE,3,TX84V1418HF,10,2795,77.1,61,99
TEXAS,CHILLICOTHE,3,KS87H6,27,2768,76.8,60,103
TEXAS,CHILLICOTHE,3,TX88D3424,19,2751,72.8,54,95
TEXAS,CHILLICOTHE,3,OK88767,7,2744,78.4,60,98
TEXAS,CHILLICOTHE,3,OK88W833,8,2739,77.8,60,98
TEXAS,CHILLICOTHE,3,OK87W663,4,2712,78.8,63,97
TEXAS,CHILLICOTHE,3,TX88V5440,11,2683,76.4,61,97
TEXAS,CHILLICOTHE,3,TX86D1332,18,2638,78.6,69,99
TEXAS,CHILLICOTHE,3,CI1442,1,2329,78.8,77,114
