state,city,reps,line,entry,yield (kg/ha),days from heading from (1/1),leaf sev. (%),rust resp (0-9),freeze damage (0-5)
Texas,Dallas,3 replications,CI1442,1,238,120,100,8,1.5
Texas,Dallas,3 replications,CI13996,2,1206,116,100,8,1.3
Texas,Dallas,3 replications,PI495594,3,2158,94,100,8,1.7
Texas,Dallas,3 replications,OK87W663,4,2505,95,100,8,2.3
Texas,Dallas,3 replications,OK87542,5,2423,97,60,7,2.3
Texas,Dallas,3 replications,OK87630,6,2881,95,80,8,2.3
Texas,Dallas,3 replications,OK88767,7,3257,95,40,7,3
Texas,Dallas,3 replications,OK88W833,8,2853,94,100,8,2.5
Texas,Dallas,3 replications,TX88V4636,9,1349,95,80,8,3.3
Texas,Dallas,3 replications,TX84V1418HF,10,2753,95,60,8,2
Texas,Dallas,3 replications,TX88V5440,11,2584,91,75,8,1.7
Texas,Dallas,3 replications,TX88V4635,12,2167,98,80,8,3
Texas,Dallas,3 replications,TX87V1613,13,2854,94,1,3,2.5
Texas,Dallas,3 replications,TX88V4524,14,2794,97,1,7,2
Texas,Dallas,3 replications,TX89V4138,15,2843,95,100,8,2.5
Texas,Dallas,3 replications,TX88V5433,16,2870,93,40,8,1.5
Texas,Dallas,3 replications,TX86D1310,17,3453,97,0,2,2
Texas,Dallas,3 replications,TX86D1332,18,3392,97,0,2,2
Texas,Dallas,3 replications,TX88D3424,19,2009,94,0,2,4.5
Texas,Dallas,3 replications,C0850034,20,2495,93,100,8,1.7
Texas,Dallas,3 replications,C0850061,21,2138,95,100,8,2
Texas,Dallas,3 replications,C0860086,22,309,118,50,8,1.5
Texas,Dallas,3 replications,C0860094,23,375,117,40,8,1.3
Texas,Dallas,3 replications,KSSB-369-7,24,3082,119,70,8,1.3
Texas,Dallas,3 replications,KSSB-192-3,25,1315,93,75,8,4.5
Texas,Dallas,3 replications,HBC197F,26,2838,96,0,2,2.3
Texas,Dallas,3 replications,KS87H6,27,2119,97,80,8,3
Texas,Dallas,3 replications,KS88H12-1,28,1481,102,70,8,2
Texas,Dallas,3 replications,KS88H12-2,29,1456,103,70,8,2
Texas,Dallas,3 replications,NE87615,30,1487,115,1,7,1.3
Texas,Dallas,3 replications,NE87409,31,986,103,70,8,1.5
Texas,Dallas,3 replications,NE87451,32,1915,102,1,7,1.5
Texas,Dallas,3 replications,NE88595,33,947,103,90,8,1.3
Texas,Dallas,3 replications,NE88427,34,531,119,70,8,1.3
Texas,Dallas,3 replications,XH900,35,2420,95,75,8,1.5
Texas,Dallas,3 replications,XH1231,36,2014,97,40,8,2.5
Texas,Dallas,3 replications,XH1322,37,2751,93,50,8,1.5
Texas,Dallas,3 replications,XH1514,38,1240,101,90,8,1.5
Texas,Dallas,3 replications,WI88-083,39,2072,102,1,3,2.5
Texas,Dallas,3 replications,WI88-024,40,2033,102,30,8,2.3
Texas,Dallas,3 replications,T19-3,41,2248,100,100,8,1.5
Texas,Dallas,3 replications,T67,42,2430,95,50,8,2.5
Texas,Dallas,3 replications,T21-3,43,1789,101,60,7,1.5
Texas,Dallas,3 replications,TH901,44,2740,94,100,8,1.5
Texas,Dallas,3 replications,TH902,45,2607,95,100,8,2
