"state","city","reps","line","entry","yield (kg/ha)","volume weight (kg/hl)","plant height (cm)","days to heading from 1/1","leaf sev. (%)","rust resp (0-9)","freeze damage (0-5)","mildew (0-9)"
"TEXAS","PROSPER","3","CI1442",1,1047,67.6,97,118,100,8,1.5,5
"TEXAS","PROSPER","3","CI13996",2,2093,74.6,102,106,100,8,1.3,5
"TEXAS","PROSPER","3","PI495594",3,2657,71.9,76,96,100,8,1.5,0
"TEXAS","PROSPER","3","OK87W663",4,2856,76.8,69,97,100,8,2,0
"TEXAS","PROSPER","3","OK87542",5,2911,74.9,61,100,80,7,1.7,0
"TEXAS","PROSPER","3","OK87630",6,3419,78,69,96,100,8,1.7,5
"TEXAS","PROSPER","3","OK88767",7,3122,79.5,74,97,40,7,2.7,0
"TEXAS","PROSPER","3","OK88W833",8,3232,78.9,71,96,100,8,2.3,0
"TEXAS","PROSPER","3","TX88V4636",9,2617,73.7,79,97,100,8,3,0
"TEXAS","PROSPER","3","TX84V1418HF",10,2997,77.8,74,97,100,8,1.7,4
"TEXAS","PROSPER","3","TX88V5440",11,3503,78,74,94,100,8,1.5,0
"TEXAS","PROSPER","3","TX88V4635",12,2915,75.9,74,96,100,8,2.7,0
"TEXAS","PROSPER","3","TX87V1613",13,3102,77.9,76,94,5,3,2,5
"TEXAS","PROSPER","3","TX88V4524",14,3988,77.8,74,100,30,7,1.7,4
"TEXAS","PROSPER","3","TX89V4138",15,2978,72.8,69,96,100,8,2.3,0
"TEXAS","PROSPER","3","TX88V5433",16,3762,77.5,76,96,90,8,1.3,0
"TEXAS","PROSPER","3","TX86D1310",17,3573,78.7,81,101,1,2,1.7,0
"TEXAS","PROSPER","3","TX86D1332",18,3396,79.3,81,100,1,2,1.7,0
"TEXAS","PROSPER","3","TX88D3424",19,1183,67.5,56,98,0,2,4.7,0
"TEXAS","PROSPER","3","C0850034",20,2895,76,74,96,100,8,1.5,4
"TEXAS","PROSPER","3","C0850061",21,2074,71.5,66,98,100,8,1.7,5
"TEXAS","PROSPER","3","C0860086",22,1174,66.3,76,110,80,8,1.3,4
"TEXAS","PROSPER","3","C0860094",23,1192,66,84,111,80,8,1,6
"TEXAS","PROSPER","3","KSSB-369-7",24,3214,78.4,71,96,70,7,3.5,6
"TEXAS","PROSPER","3","KSSB-192-3",25,2187,74,71,96,100,8,4.3,0
"TEXAS","PROSPER","3","HBC197F",26,3572,75.6,64,98,10,3,1.7,0
"TEXAS","PROSPER","3","KS87H6",27,2681,71.5,71,99,100,8,2.7,0
"TEXAS","PROSPER","3","KS88H12-1",28,2685,68.4,76,104,90,8,1.7,5
"TEXAS","PROSPER","3","KS88H12-2",29,2506,71,79,102,70,8,1.7,0
"TEXAS","PROSPER","3","NE87615",30,2225,67.7,76,105,50,7,1.3,0
"TEXAS","PROSPER","3","NE87409",31,2043,71.7,86,104,100,8,1,5
"TEXAS","PROSPER","3","NE87451",32,2436,70.8,79,106,30,7,1.3,0
"TEXAS","PROSPER","3","NE88595",33,2280,69.8,86,108,100,8,1,0
"TEXAS","PROSPER","3","NE88427",34,1826,68.5,86,107,100,8,1,4
"TEXAS","PROSPER","3","XH900",35,3042,74.7,84,99,90,8,1.5,0
"TEXAS","PROSPER","3","XH1231",36,3132,75.3,76,98,50,8,2,2
"TEXAS","PROSPER","3","XH1322",37,3525,76.6,766,96,50,8,1.5,0
"TEXAS","PROSPER","3","XH1514",38,2941,74.9,86,103,40,8,1.3,5
"TEXAS","PROSPER","3","WI88-083",39,3323,74.7,79,105,20,3,2,0
"TEXAS","PROSPER","3","WI88-024",40,2524,68.6,81,103,70,8,2,1
"TEXAS","PROSPER","3","T19-3",41,3002,74.3,86,102,100,8,1.5,0
"TEXAS","PROSPER","3","T67",42,2782,79.3,71,100,90,8,2.3,2
"TEXAS","PROSPER","3","T21-3",43,3049,75.3,81,102,60,7,1.3,5
"TEXAS","PROSPER","3","TH901",44,3124,75.6,71,96,100,8,1.3,0
"TEXAS","PROSPER","3","TH902",45,2946,73.1,84,97,100,8,1.7,0
