state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from (1/1)
Oklahoma,Stillwater,3 replications,CI1442,1,1523,71.5,97,122
Oklahoma,Sillwater,3 replications,CI13996,2,2307,69.1,93,109
Oklahoma,Stillwater,3 replications,PI495594,3,2273,65.4,75,103
Oklahoma,Stillwater,3 replications,OK87W663,4,2332,71.7,66,105
Oklahoma,Stillwater,3 replications,OK87542,5,2575,71.9,72,106
Oklahoma,Stillwater,3 replications,OK87630,6,2795,73.9,74,104
Oklahoma,Stillwater,3 replications,OK88767,7,3121,74.2,69,104
Oklahoma,Stillwater,3 replications,OK88W833,8,2447,72.2,75,105
Oklahoma,Stillwater,3 replications,TX88V4636,9,2498,65.7,73,106
Oklahoma,Stillwater,3 replications,TX84V1418HF,10,2477,70.2,80,106
Oklahoma,Stillwater,3 replications,TX88V5440,11,2686,69.7,77,102
Oklahoma,Stillwater,3 replications,TX88V4635,12,2353,68.4,75,106
Oklahoma,Stillwater,3 replications,TX87V1613,13,2564,72.5,81,103
Oklahoma,Stillwater,3 replications,TX88V4524,14,2955,73,74,106
Oklahoma,Stillwater,3 replications,TX89V4138,15,2848,74.6,79,103
Oklahoma,Stillwater,3 replications,TX88V5433,16,2739,69.8,75,105
Oklahoma,Stillwater,3 replications,TX86D1310,17,2745,72,77,106
Oklahoma,Stillwater,3 replications,TX86D1332,18,3247,72.8,82,106
Oklahoma,Stillwater,3 replications,TX88D3424,19,2547,64.9,61,104
Oklahoma,Stillwater,3 replications,C0850034,20,2341,71,78,106
Oklahoma,Stillwater,3 replications,C0850061,21,2060,65.1,67,106
Oklahoma,Stillwater,3 replications,C0860086,22,1910,63.5,69,115
Oklahoma,Stillwater,3 replications,C0860094,23,2133,65.7,73,118
Oklahoma,Stillwater,3 replications,KSSB-369-7,24,3179,68.6,77,101
Oklahoma,Stillwater,3 replications,KSSB-192-3,25,3178,66.6,80,102
Oklahoma,Stillwater,3 replications,HBC197F,26,3768,72.5,77,105
Oklahoma,Stillwater,3 replications,KS87H6,27,3172,72,70,109
Oklahoma,Stillwater,3 replications,KS88H12-1,28,2666,68.1,80,112
Oklahoma,Stillwater,3 replications,KS88H12-2,29,3090,65.5,84,112
Oklahoma,Stillwater,3 replications,NE87615,30,2707,68.6,71,113
Oklahoma,Stillwater,3 replications,NE87409,31,2398,70.2,79,113
Oklahoma,Stillwater,3 replications,NE87451,32,2878,68.1,73,110
Oklahoma,Stillwater,3 replications,NE88595,33,2150,65.7,73,110
Oklahoma,Stillwater,3 replications,NE88427,34,1890,69.4,72,114
Oklahoma,Stillwater,3 replications,XH900,35,2859,67.1,84,105
Oklahoma,Stillwater,3 replications,XH1231,36,3056,68.8,79,106
Oklahoma,Stillwater,3 replications,XH1322,37,3113,72.1,89,103
Oklahoma,Stillwater,3 replications,XH1514,38,3151,67.7,88,109
Oklahoma,Stillwater,3 replications,WI88-083,39,3396,69.7,82,106
Oklahoma,Stillwater,3 replications,WI88-024,40,2534,68,82,108
Oklahoma,Stillwater,3 replications,T19-3,41,3081,71.1,84,108
Oklahoma,Stillwater,3 replications,T67,42,3045,71,86,105
Oklahoma,Stillwater,3 replications,T21-3,43,3635,68.5,87,108
Oklahoma,Stillwater,3 replications,TH901,44,3466,70.3,87,104
Oklahoma,Stillwater,3 replications,TH902,45,3207,70.7,82,105
