state,city,reps,line,entry no.,entry yield (kg/ha),volume weight (kg/hl),plant heigh (cm),days to heading from 1/1
NEW MEXICO,CLOVIS (DRYL.),3,SCOUT66,2,5167,76.9,84,111
NEW MEXICO,CLOVIS (DRYL.),3,KS84170E-8-3,24,4860,75.4,74,112
NEW MEXICO,CLOVIS (DRYL.),3,TAM-107,3,4684,75.5,69,108
NEW MEXICO,CLOVIS (DRYL.),3,TX88A6480,16,4613,75.2,68,111
NEW MEXICO,CLOVIS (DRYL.),3,T13,41,4583,74.6,66,111
NEW MEXICO,CLOVIS (DRYL.),3,T21-3,43,4276,72.4,67,111
NEW MEXICO,CLOVIS (DRYL.),3,OK89499,5,4237,73.7,69,108
NEW MEXICO,CLOVIS (DRYL.),3,NE88427,31,4186,75.8,68,111
NEW MEXICO,CLOVIS (DRYL.),3,TX88A6533,17,4019,73.1,64,108
NEW MEXICO,CLOVIS (DRYL.),3,NE88588,33,3816,77.7,71,117
NEW MEXICO,CLOVIS (DRYL.),3,NE88595,30,3799,73.9,70,110
NEW MEXICO,CLOVIS (DRYL.),3,HBC302E,25,3765,77.3,71,111
NEW MEXICO,CLOVIS (DRYL.),3,KS89H48-1,27,3741,75.6,65,109
NEW MEXICO,CLOVIS (DRYL.),3,TX88V4524,13,3725,74.7,65,105
NEW MEXICO,CLOVIS (DRYL.),3,XH1319,34,3659,74.1,75,111
NEW MEXICO,CLOVIS (DRYL.),3,KS87H325-2,26,3570,77.1,68,111
NEW MEXICO,CLOVIS (DRYL.),3,W87-018,38,3530,75.8,72,105
NEW MEXICO,CLOVIS (DRYL.),3,XH1436,35,3466,73,72,112
NEW MEXICO,CLOVIS (DRYL.),3,XH1497,37,3371,75.1,68,112
NEW MEXICO,CLOVIS (DRYL.),3,TH901,44,3369,73.6,68,111
NEW MEXICO,CLOVIS (DRYL.),3,WI88-181,39,3363,76,64,104
NEW MEXICO,CLOVIS (DRYL.),3,CO860235,20,3338,73.4,60,117
NEW MEXICO,CLOVIS (DRYL.),3,KSSB-369-7,22,3278,76.7,59,104
NEW MEXICO,CLOVIS (DRYL.),3,TX88V5433,15,3196,73.7,64,112
NEW MEXICO,CLOVIS (DRYL.),3,WI88-028,40,3175,76.4,61,104
NEW MEXICO,CLOVIS (DRYL.),3,TX87V1613,12,3168,74.6,66,104
NEW MEXICO,CLOVIS (DRYL.),3,TX89V4138,14,3166,74.9,65,105
NEW MEXICO,CLOVIS (DRYL.),3,CO870449,21,3163,73.1,65,112
NEW MEXICO,CLOVIS (DRYL.),3,N87V106,29,3154,74.7,72,106
NEW MEXICO,CLOVIS (DRYL.),3,NE88584,32,3140,74.7,67,117
NEW MEXICO,CLOVIS (DRYL.),3,T67,42,3115,72.2,66,117
NEW MEXICO,CLOVIS (DRYL.),3,CO860086,18,3099,73.9,60,112
NEW MEXICO,CLOVIS (DRYL.),3,OK89421,7,2928,76.1,62,113
NEW MEXICO,CLOVIS (DRYL.),3,TX84V1418HF,9,2860,74.9,65,112
NEW MEXICO,CLOVIS (DRYL.),3,KS831374-142,23,2718,71.4,64,106
NEW MEXICO,CLOVIS (DRYL.),3,KHARKOF,1,2707,73,73,117
NEW MEXICO,CLOVIS (DRYL.),3,XH1437,36,2615,75.2,68,114
NEW MEXICO,CLOVIS (DRYL.),3,KS89H50-4,28,2551,75.2,64,109
NEW MEXICO,CLOVIS (DRYL.),3,TH902,45,2534,72.8,64,111
NEW MEXICO,CLOVIS (DRYL.),3,OK89399,6,2432,69.8,64,114
NEW MEXICO,CLOVIS (DRYL.),3,TX88V5440,10,2425,72.2,59,111
NEW MEXICO,CLOVIS (DRYL.),3,TX88V4636,8,2386,71.8,63,113
NEW MEXICO,CLOVIS (DRYL.),3,OK88W833,4,2350,65.3,59,111
NEW MEXICO,CLOVIS (DRYL.),3,Co860094,19,2193,66.8,51,112
NEW MEXICO,CLOVIS (DRYL.),3,TX88V4635,11,1545,54.2,52,114
