state,city,reps,line,entry,yield (kg/ha),volume height kg/hl,plant height cm
OKLAHOMA,ALTUS,3,N87V106,29,2375,74.6,73
OKLAHOMA,ALTUS,3,KS831374-142,23,2348,75.1,78
OKLAHOMA,ALTUS,3,KS89H48-1,27,2347,73.8,75
OKLAHOMA,ALTUS,3,KS89H50-4,28,2318,73.8,75
OKLAHOMA,ALTUS,3,W87-018,38,2318,73.3,70
OKLAHOMA,ALTUS,3,KS84170E-8-3,24,2252,77,75
OKLAHOMA,ALTUS,3,KS87H325-2,26,2236,7.9,75
OKLAHOMA,ALTUS,3,TX88V4635,11,2168,74.4,72
OKLAHOMA,ALTUS,3,OK88W833,4,2157,77,75
OKLAHOMA,ALTUS,3,TX88V5433,15,2132,75.2,77
OKLAHOMA,ALTUS,3,OK89499,5,2121,75.2,70
OKLAHOMA,ALTUS,3,TX88V5440,10,2091,73.9,75
OKLAHOMA,ALTUS,3,TX88V4636,8,2077,74.6,70
OKLAHOMA,ALTUS,3,KSSB-369-7,22,2075,73.1,72
OKLAHOMA,ALTUS,3,WI88-028,40,2072,71.7,63
OKLAHOMA,ALTUS,3,OK89421,7,2070,75.3,77
OKLAHOMA,ALTUS,3,HBC302E,25,2042,74.3,73
OKLAHOMA,ALTUS,3,XH1436,35,2022,73.5,75
OKLAHOMA,ALTUS,3,XH1437,36,2014,76.4,78
OKLAHOMA,ALTUS,3,TX88A6533,17,2005,75.9,62
OKLAHOMA,ALTUS,3,NE88584,32,1978,75.5,78
OKLAHOMA,ALTUS,3,WI88-181,39,1931,73.8,68
OKLAHOMA,ALTUS,3,TX88A6480,16,1929,72.9,72
OKLAHOMA,ALTUS,3,XH1497,37,1907,74.2,73
OKLAHOMA,ALTUS,3,TX87V1613,12,1906,73.9,78
OKLAHOMA,ALTUS,3,TX88V4524,13,1890,75.7,70
OKLAHOMA,ALTUS,3,TX89V4138,14,1852,75.6,70
OKLAHOMA,ALTUS,3,NE88595,30,1843,75.1,63
OKLAHOMA,ALTUS,3,OK89399,6,1832,74.7,68
OKLAHOMA,ALTUS,3,T21-3,43,1764,71.3,75
OKLAHOMA,ALTUS,3,T67,42,1750,77.4,73
OKLAHOMA,ALTUS,3,NE88427,31,1730,76.9,67
OKLAHOMA,ALTUS,3,TH901,44,1694,72.2,75
OKLAHOMA,ALTUS,3,TX84V1418HF,9,1673,77.5,78
OKLAHOMA,ALTUS,3,CO860086,18,1645,71.1,62
OKLAHOMA,ALTUS,3,NE88588,33,1606,78.9,75
OKLAHOMA,ALTUS,3,XH1319,34,1593,73.9,77
OKLAHOMA,ALTUS,3,CO870449,21,1548,72.2,68
OKLAHOMA,ALTUS,3,TH902,45,1544,72.4,77
OKLAHOMA,ALTUS,3,T13,41,1539,72.6,63
OKLAHOMA,ALTUS,3,TAM-107,3,1534,72,68
OKLAHOMA,ALTUS,3,CO860094,19,1472,74.3,53
OKLAHOMA,ALTUS,3,SCOUT66,2,1066,77,77
OKLAHOMA,ALTUS,3,CO860235,20,664,74.9,53
OKLAHOMA,ALTUS,3,KHARKOF,1,618,71.1,77
