state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,days to heading from 1/1,lodging %,leaf sev %,rust resp 0-9, septoria nodorum 0-9,green leaf duration 0-9
KANSAS,HUTCHINSON,3,KS831374-142,23,3024,72.5,77,122,0,40,8,4.3,4.7
KANSAS,HUTCHINSON,3,N87V106,29,2811,71,81,125,0,1,3,4.7,6
KANSAS,HUTCHINSON,3,T67,42,2715,74.7,85,126,0,80,8,3.7,8
KANSAS,HUTCHINSON,3,KS84170E-8-3,24,2685,72.2,79,127,0,1,8,7,5
KANSAS,HUTCHINSON,3,KS89H50-4,28,2658,72.3,86,128,0,60,8,3.7,7
KANSAS,HUTCHINSON,3,TX88V5433,15,2611,73.5,77,125,0,30,8,4.3,5
KANSAS,HUTCHINSON,3,KS87H325-2,26,2537,75.1,81,122,0,60,8,4,8.3
KANSAS,HUTCHINSON,3,OK88W833,4,2385,70,73,121,0,100,8,4,9
KANSAS,HUTCHINSON,3,T21-3,43,2266,71.9,85,127,13,80,8,4.7,9
KANSAS,HUTCHINSON,3,OK89499,5,2220,70.1,77,129,0,40,8,4,5.7
KANSAS,HUTCHINSON,3,YX84V1418HF,9,2211,72.8,79,126,0,70,8,4.7,9
KANSAS,HUTCHINSON,3,W87-018,38,2206,71.4,72,126,0,100,8,5,6.7
KANSAS,HUTCHINSON,3,KS89H48-1,27,2200,68.8,87,127,0,60,8,4.3,6
KANSAS,HUTCHINSON,3,NE88584,32,2126,70,97,127,10,100,8,5,8
KANSAS,HUTCHINSON,3,TX88V5440,10,2119,71.8,74,125,0,30,8,5,6.3
KANSAS,HUTCHINSON,3,XH1436,35,2119,68.5,77,125,0,100,8,4.3,7.7
KANSAS,HUTCHINSON,3,WI88-181,39,2056,72,71,123,0,100,8,4.7,9
KANSAS,HUTCHINSON,3,HBC302E,25,1972,67.1,69,126,0,40,8,3.3,7.7
KANSAS,HUTCHINSON,3,KSSB-369-7,22,1938,73.1,72,122,0,20,8,6,8.3
KANSAS,HUTCHINSON,3,TX88V4524,13,1773,72.4,67,126,0,40,8,5,8.7
KANSAS,HUTCHINSON,3,OK89421,7,1718,68.5,79,126,3,100,8,4.7,9
KANSAS,HUTCHINSON,3,NE88588,33,1713,75,87,129,0,100,8,5.7,9
KANSAS,HUTCHINSON,3,OK89399,6,1670,69.9,73,126,0,80,8,6.3,9
KANSAS,HUTCHINSON,3,TH901,44,1665,71.9,82,125,0,100,8,5.7,9
KANSAS,HUTCHINSON,3,XH1437,36,1645,71.3,85,126,3,100,8,6,9
KANSAS,HUTCHINSON,3,TH902,45,1569,70.8,80,126,0,100,8,5.3,9
KANSAS,HUTCHINSON,3,TX87V1613,12,1516,68,80,127,0,20,8,6.7,9
KANSAS,HUTCHINSON,3,NE88427,31,1485,69.7,77,130,0,100,8,6,7.7
KANSAS,HUTCHINSON,3,TX89V4138,14,1443,70.3,71,126,0,80,8,7,9
KANSAS,HUTCHINSON,3,XH1497,37,1423,69.9,78,123,7,100,8,5.7,8.7
KANSAS,HUTCHINSON,3,TX88A6480,16,1349,62.6,65,124,0,100,8,6.7,9
KANSAS,HUTCHINSON,3,TX88A6533,17,1346,67.1,71,128,3,100,8,6,9
KANSAS,HUTCHINSON,3,NE88595,30,1253,67.4,81,130,7,100,8,5.7,8
KANSAS,HUTCHINSON,3,XH1319,34,1240,64,81,124,0,100,8,5,9
KANSAS,HUTCHINSON,3,SCOUT66,2,1125,57.5,102,131,27,100,8,6,8.7
KANSAS,HUTCHINSON,3,WI88-028,40,1104,65.1,64,129,0,80,8,8.3,9
KANSAS,HUTCHINSON,3,CO870449,21,1040,66,75,125,0,100,8,7.7,9
KANSAS,HUTCHINSON,3,TX88V4635,11,1021,62.5,74,127,3,80,8,5.3,9
KANSAS,HUTCHINSON,3,TX88V4636,8,915,68,73,128,3,100,8,7,8.7
KANSAS,HUTCHINSON,3,TAM-107,3,812,66.9,68,122,0,100,8,7.3,9
KANSAS,HUTCHINSON,3,KHARKOF,1,809,66,111,131,63,100,8,6.3,7.7
KANSAS,HUTCHINSON,3,T13,41,790,59.5,74,128,3,100,8,7.7,9
KANSAS,HUTCHINSON,3,CO860235,20,651,59.3,73,130,0,90,8,6.7,7
KANSAS,HUTCHINSON,3,CO860094,19,584,,78,132,3,50,8,5.7,6.7
KANSAS,HUTCHINSON,3,CO860086,18,373,,66,130,3,100,8,7,7.3
