state,city,reps,line,entry,yield (kg/ha),volume weight kg/,plant height cm,days to heading ,leaf sev. %,rust resp 0-9,green leaf duration 0-9
KANSAS,MANHATTAN,3,KS84170E-8-3,24,3601,58,81,131,5,7,3
KANSAS,MANHATTAN,3,KS831374-142,23,3356,59.1,80,129,15,8,3.5
KANSAS,MANHATTAN,3,N87V106,29,3061,71.9,84,130,6,5,4.5
KANSAS,MANHATTAN,3,TX88V5433,15,2854,69.8,82,129,45,8,4.5
KANSAS,MANHATTAN,3,HBC302E,25,2849,56.3,74,130,80,8,6.5
KANSAS,MANHATTAN,3,WI88-181,39,2843,68,70,128,80,8,7.5
KANSAS,MANHATTAN,3,KS89H48-1,27,2789,65.1,91,133,70,8,6.5
KANSAS,MANHATTAN,3,OK89421,7,2772,62.1,81,129,80,8,7
KANSAS,MANHATTAN,3,KS89H50-4,28,2772,66.2,96,133,70,8,6.5
KANSAS,MANHATTAN,3,T67,42,2763,60.9,81,130,80,8,6.5
KANSAS,MANHATTAN,3,KS87H325-2,26,2756,73.5,75,128,70,8,6.5
KANSAS,MANHATTAN,3,TX88V5440,10,2741,68.5,75,128,15,8,5
KANSAS,MANHATTAN,3,XH1436,35,2733,58.8,81,130,60,8,5
KANSAS,MANHATTAN,3,TX84V1418HF,9,2713,68.6,82,129,60,8,7
KANSAS,MANHATTAN,3,OK89499,5,2672,69.8,78,131,35,8,6
KANSAS,MANHATTAN,3,XH1437,36,2543,51.5,88,130,70,8,7
KANSAS,MANHATTAN,3,CO870449,21,2527,53.3,79,131,70,8,6.5
KANSAS,MANHATTAN,3,TX87V1613,12,2488,53.6,80,130,50,8,5.5
KANSAS,MANHATTAN,3,TX88V4635,11,2429,50.5,76,130,80,8,7.5
KANSAS,MANHATTAN,3,XH1497,37,2397,64,80,129,90,8,6.5
KANSAS,MANHATTAN,3,TH901,44,2383,69.5,83,130,70,8,7
KANSAS,MANHATTAN,3,T21-3,43,2380,67.7,89,132,80,8,7.5
KANSAS,MANHATTAN,3,W87-018,38,2343,69.9,78,132,8,5,5.5
KANSAS,MANHATTAN,3,NE88584,32,2323,68.8,94,131,80,8,5.5
KANSAS,MANHATTAN,3,WI88-028,40,2288,54.4,71,134,60,8,7
KANSAS,MANHATTAN,3,TX88V4524,13,2283,65.9,63,132,45,8,5.5
KANSAS,MANHATTAN,3,NE88588,33,2275,62.6,91,132,70,8,8
KANSAS,MANHATTAN,3,TX88V4636,8,2189,49.4,76,131,90,8,8.5
KANSAS,MANHATTAN,3,NE88595,30,2174,65.9,89,132,80,8,8.5
KANSAS,MANHATTAN,3,NE88427,31,2158,60.9,86,136,90,8,8.5
KANSAS,MANHATTAN,3,OK89399,6,2154,64.7,77,130,80,8,8
KANSAS,MANHATTAN,3,KSSB-369-7,22,2139,69.6,69,127,60,8,7
KANSAS,MANHATTAN,3,OK88W833,4,2035,71.1,71,129,90,8,9
KANSAS,MANHATTAN,3,TX88A6533,17,1916,58.1,74,133,80,8,7.5
KANSAS,MANHATTAN,3,TX88A6480,16,1880,53.7,67,130,90,8,8
KANSAS,MANHATTAN,3,TH902,45,1809,70.5,80,129,90,8,9
KANSAS,MANHATTAN,3,XH1319,34,1784,63.3,79,130,80,8,7
KANSAS,MANHATTAN,3,TX89V4138,4,1782,63.3,69,131,80,8,9
KANSAS,MANHATTAN,3,CO860235,20,1686,60.7,72,141,60,8,6.5
KANSAS,MANHATTAN,3,T13,41,1686,60.6,86,133,100,8,9
KANSAS,MANHATTAN,3,TAM-107,3,1649,65.7,77,129,100,8,9
KANSAS,MANHATTAN,3,CO860094,19,1631,57,76,139,20,8,4.5
KANSAS,MANHATTAN,3,SCOUT66,2,924,62.4,97,134,90,8,8
KANSAS,MANHATTAN,3,CO860086,18,765,35,69,138,80,8,8.5
KANSAS,MANHATTAN,3,KHARKOF,1,665,29,86,142,80,8,7
