state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,freeze damage (0-5)
Kansas,Hays,3 replications,CI1442,1,2603,72.6,95,132,2.3
Kansas,Hays,3 replications,CI13996,2,3302,79.6,81,129,3
Kansas,Hays,3 replications,PI495594,3,3499,79.9,67,124,3
Kansas,Hays,3 replications,OK88W833,4,3098,81.1,69,125,3
Kansas,Hays,3 replications,OK89499,5,3354,79.4,64,129,4.3
Kansas,Hays,3 replications,OK89399,6,3266,79.1,69,127,4.3
Kansas,Hays,3 replications,OK89421,7,3777,80.7,72,126,3
Kansas,Hays,3 replications,TX88V4636,8,3645,78.1,68,128,3.3
Kansas,Hays,3 replications,TX84V1418HF,9,3120,79.4,70,127,3
Kansas,Hays,3 replications,TX88V5440,10,2842,77.9,68,124,3
Kansas,Hays,3 replications,TX88V4635,11,2892,79.2,71,125,2.7
Kansas,Hays,3 replications,TX87V1613,12,3286,79.7,72,128,4
Kansas,Hays,3 replications,TX88V4524,13,2890,79.9,60,127,4.7
Kansas,Hays,3 replications,TX89V4138,14,3829,80.1,68,126,4.7
Kansas,Hays,3 replications,TX88V5433,15,3524,77.3,62,128,3.7
Kansas,Hays,3 replications,TX88A6480,16,3540,79.9,68,125,4
Kansas,Hays,3 replications,TX88A6533,17,3688,79.6,64,127,1.7
Kansas,Hays,3 replications,C0860086,18,3078,74.8,64,131,2.7
Kansas,Hays,3 replications,C0860094,19,2959,74.4,65,132,2.7
Kansas,Hays,3 replications,C0860235,20,2874,73.1,66,132,1.7
Kansas,Hays,3 replications,C0870449,21,3239,78.2,70,128,4
Kansas,Hays,3 replications,KSSB-369-7,22,3060,80.8,64,124,4.3
Kansas,Hays,3 replications,KS831374-142,23,3091,78.7,71,123,3
Kansas,Hays,3 replications,KS84170E-8-3,24,3452,80.8,68,126,2
Kansas,Hays,3 replications,HBC302E,25,3528,80.8,72,126,4.3
Kansas,Hays,3 replications,KS87H325-2,26,2582,79.2,72,124,3.7
Kansas,Hays,3 replications,KS89H48-1,27,3934,79.5,70,127,2.3
Kansas,Hays,3 replications,KS89H50-4,28,3605,79.8,77,126,3
Kansas,Hays,3 replications,N87V106,29,4194,80.5,75,126,3.7
Kansas,Hays,3 replications,NE88595,30,3988,79.4,73,127,3
Kansas,Hays,3 replications,NE88427,31,3977,80.3,71,128,1
Kansas,Hays,3 replications,NE88584,32,3528,79.1,82,127,4
Kansas,Hays,3 replications,NE88588,33,3398,80.2,75,129,1.7
Kansas,Hays,3 replications,XH1319,34,3894,78.9,78,125,3
Kansas,Hays,3 replications,XH1436,35,3602,76.6,73,126,2
Kansas,Hays,3 replications,XH1437,36,3858,81.4,75,126,4
Kansas,Hays,3 replications,XH1497,37,3903,80.7,78,124,3.7
Kansas,Hays,3 replications,W87-018,38,3676,79.4,68,126,2.7
Kansas,Hays,3 replications,WI88-181,39,3389,81.2,64,124,3.7
Kansas,Hays,3 replications,WI88-028,40,3017,79.7,57,129,4.7
Kansas,Hays,3 replications,T13,41,3894,79.5,70,127,2.3
Kansas,Hays,3 replications,T67,42,3387,80.1,76,127,4.3
Kansas,Hays,3 replications,T21-3,43,4174,79.2,78,126,1.7
Kansas,Hays,3 replications,TH901,44,3425,79.6,75,125,4
Kansas,Hays,3 replications,TH902,45,3746,79.9,76,125,3.7
