state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,days to heading from 1/1,freeze damage 0-5
KANSAS,HAYS,3,N87V106,29,4194,80.5,75,126,3.7
KANSAS,HAYS,3,T21-3,43,4174,79.2,78,126,1.7
KANSAS,HAYS,3,NE88595,30,3988,79.4,73,127,3
KANSAS,HAYS,3,NE88427,31,3977,80.3,71,128,1
KANSAS,HAYS,3,KS89H48-1,27,3934,79.5,70,127,2.3
KANSAS,HAYS,3,XH1497,37,3903,80.7,78,124,3.7
KANSAS,HAYS,3,XH1319,34,3894,78.9,78,125,3
KANSAS,HAYS,3,T13,41,3894,79.5,70,127,2.3
KANSAS,HAYS,3,XH1437,36,3858,81.4,75,126,4
KANSAS,HAYS,3,YX89V4138,14,3829,80.1,68,126,4.7
KANSAS,HAYS,3,OK89421,7,3777,80.7,72,126,3
KANSAS,HAYS,3,TH902,45,3746,79.9,76,125,3.7
KANSAS,HAYS,3,TX88A6533,17,3688,79.6,64,127,1.7
KANSAS,HAYS,3,W87-018,38,3676,79.4,68,126,2.7
KANSAS,HAYS,3,TX88V4636,8,3645,78.1,68,128,3.3
KANSAS,HAYS,3,KS89H50-4,28,3605,79.8,77,126,3
KANSAS,HAYS,3,XH1436,5,3602,76.6,73,126,2
KANSAS,HAYS,3,TX88A6480,16,3540,79.9,68,125,4
KANSAS,HAYS,3,HBC302E,25,3528,80.8,72,126,4.3
KANSAS,HAYS,3,NE88584,32,3528,79.1,82,127,4
KANSAS,HAYS,3,TX88V5433,15,3524,77.3,62,128,3.7
KANSAS,HAYS,3,TAM-107,3,3499,79.9,67,124,3
KANSAS,HAYS,3,KS84170E-8-3,24,3452,80.8,68,126,2
KANSAS,HAYS,3,TH901,44,3425,79.6,75,125,4
KANSAS,HAYS,3,NE88588,33,3398,80.2,75,129,1.7
KANSAS,HAYS,3,WI88-181,39,3389,81.2,64,124,3.7
KANSAS,HAYS,3,T67,42,3387,80.1,76,127,4.3
KANSAS,HAYS,3,OK89499,5,3354,79.4,64,129,4.3
KANSAS,HAYS,3,SCOUT66,2,3302,79.6,81,129,3
KANSAS,HAYS,3,TX87V1613,12,3286,79.7,72,128,4
KANSAS,HAYS,3,OK89399,6,3266,79.1,69,127,4.3
KANSAS,HAYS,3,Co870449,21,3239,78.2,70,128,4
KANSAS,HAYS,3,TX84V1418HF,9,3120,79.4,70,127,3
KANSAS,HAYS,3,OK88W833,4,3098,81.1,69,125,3
KANSAS,HAYS,3,KS831374-142,23,3091,78.7,71,123,3
KANSAS,HAYS,3,CO860086,18,3078,74.8,64,131,2.7
KANSAS,HAYS,3,KSSB-369-7,22,3060,80.8,64,124,4.3
KANSAS,HAYS,3,WI88-028,40,3017,79.7,57,129,4.7
KANSAS,HAYS,3,CO860094,19,2959,74.4,65,132,2.7
KANSAS,HAYS,3,TX88V4635,11,2892,79.2,71,125,2.7
KANSAS,HAYS,3,TX88V4524,13,2890,79.9,60,127,4.7
KANSAS,HAYS,3,CO860235,20,2874,73.1,66,132,1.7
KANSAS,HAYS,3,TX88V5440,10,2842,77.9,68,124,3
KANSAS,HAYS,3,KHARKOF,1,2603,72.6,95,132,2.3
KANSAS,HAYS,3,KS87H325-2,26,2582,79.2,72,124,3.7
