state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,days to heading from 1/1,leaf rust severity 0-9
NEBRAKSA,LINCOLN,3,KS89H50-4,28,4869,77.1,89,139,5
NEBRAKSA,LINCOLN,3,T21-3,43,4606,74.4,7,140,6
NEBRAKSA,LINCOLN,3,KS84170E-8-3,24,4587,77.1,77,140,2.5
NEBRAKSA,LINCOLN,3,KS89H48-1,27,4559,77.1,85,139,4
NEBRAKSA,LINCOLN,3,NE88595,30,4482,73,84,142,8.5
NEBRAKSA,LINCOLN,3,CO860094,19,4351,76.4,81,150,3
NEBRAKSA,LINCOLN,3,KS831374-142,23,4318,77.4,71,137,3.5
NEBRAKSA,LINCOLN,3,NE88584,32,4288,77.3,85,141,6
NEBRAKSA,LINCOLN,3,XH1497,37,4269,75.5,75,138,8.5
NEBRAKSA,LINCOLN,3,TX88V5440,10,4248,75.1,69,137,4
NEBRAKSA,LINCOLN,3,N87v106,29,4224,,77,140,1.5
NEBRAKSA,LINCOLN,3,TX88V5433,15,4217,76,74,138,3
NEBRAKSA,LINCOLN,3,NE88427,31,4174,76.8,85,144,7.5
NEBRAKSA,LINCOLN,3,T13,41,4102,71.9,79,140,9
NEBRAKSA,LINCOLN,3,KS87H325-2,26,4028,75.6,72,138,6.5
NEBRAKSA,LINCOLN,3,T67,42,4025,79.1,80,140,6
NEBRAKSA,LINCOLN,3,W87-018,38,4022,76.5,70,142,5
NEBRAKSA,LINCOLN,3,XH1436,35,3933,73.4,77,139,5
NEBRAKSA,LINCOLN,3,TX88A6533,17,3881,74.4,70,140,9
NEBRAKSA,LINCOLN,3,TX84V1418HF,9,3850,76.5,79,139,5.5
NEBRAKSA,LINCOLN,3,TH901,44,3831,73.5,75,139,6
NEBRAKSA,LINCOLN,3,OK89421,7,3812,75.9,76,139,8.5
NEBRAKSA,LINCOLN,3,CO860235,20,3791,75.1,79,143,6
NEBRAKSA,LINCOLN,3,XH1437,36,3788,77.5,88,140,6
NEBRAKSA,LINCOLN,3,TH902,45,3679,73.7,80,140,9
NEBRAKSA,LINCOLN,3,OK89499,5,3676,76.9,72,142,3.5
NEBRAKSA,LINCOLN,3,OK89399,6,3617,76.9,77,139,7.5
NEBRAKSA,LINCOLN,3,OK88W833,4,3609,77.3,67,137,8.5
NEBRAKSA,LINCOLN,3,TAM-107,3,3586,72.8,72,137,9
NEBRAKSA,LINCOLN,3,NE88588,33,3583,78.2,81,141,7.5
NEBRAKSA,LINCOLN,3,TX88V4635,11,3499,74.4,75,141,8
NEBRAKSA,LINCOLN,3,TX88A480,16,3315,73.5,64,139,7.5
NEBRAKSA,LINCOLN,3,SCOUT66,2,3277,77.1,95,142,8
NEBRAKSA,LINCOLN,3,CO860086,18,3239,75.6,76,147,9
NEBRAKSA,LINCOLN,3,TX88V4524,13,3210,77.7,64,140,2
NEBRAKSA,LINCOLN,3,XH1319,34,2998,73.8,74,139,8
NEBRAKSA,LINCOLN,3,TX89V4138,14,2995,76,72,143,7.5
NEBRAKSA,LINCOLN,3,CO870449,21,2883,73.7,72,143,7
NEBRAKSA,LINCOLN,3,TX87V1613,12,2877,76.9,76,143,2.5
NEBRAKSA,LINCOLN,3,TX88V4636,8,2779,75.1,75,142,9
NEBRAKSA,LINCOLN,3,KHARKOF,1,2732,76.1,100,152,7
NEBRAKSA,LINCOLN,3,HBC302E,25,2608,,71,144,4
NEBRAKSA,LINCOLN,3,WI88-181,39,1954,75.7,57,140,6.5
NEBRAKSA,LINCOLN,3,WI88-028,40,1909,75.6,60,146,5
NEBRAKSA,LINCOLN,3,KSSB-369-7,22,1562,76.6,60,142,4.5
