state,city,reps,line,entry,yield (kg/ha),volume weight (kg/ha),plant height (cm)
Nebraska,Hemingford,3 replications,CI1442,1,3560,81.1,70
Nebraska,Hemingford,3 replications,CI13996,2,3311,80.1,69
Nebraska,Hemingford,3 replications,PI495594,3,3292,78.8,56
Nebraska,Hemingford,3 replications,OK88W833,4,2819,79.6,57
Nebraska,Hemingford,3 replications,OK89499,5,2833,80.6,60
Nebraska,Hemingford,3 replications,OK89399,6,3030,79.2,61
Nebraska,Hemingford,3 replications,OK89421,7,3316,78.9,61
Nebraska,Hemingford,3 replications,TX88V4636,8,3184,79.1,55
Nebraska,Hemingford,3 replications,TX84V1418HF,9,2826,80.2,61
Nebraska,Hemingford,3 replications,TX88V5440,10,2196,74.8,55
Nebraska,Hemingford,3 replications,TX88V4635,11,3156,79.5,57
Nebraska,Hemingford,3 replications,TX87V1613,12,3282,81.3,61
Nebraska,Hemingford,3 replications,TX88V4524,13,2377,78.7,52
Nebraska,Hemingford,3 replications,TX89V4138,14,3842,82.2,58
Nebraska,Hemingford,3 replications,TX88V5433,15,2456,77.4,52
Nebraska,Hemingford,3 replications,TX88A6480,16,2730,76.6,51
Nebraska,Hemingford,3 replications,TX88A6533,17,2987,79.2,53
Nebraska,Hemingford,3 replications,C0860086,18,3227,82,57
Nebraska,Hemingford,3 replications,C0860094,19,3585,79.9,55
Nebraska,Hemingford,3 replications,C0860235,20,3740,79.3,55
Nebraska,Hemingford,3 replications,C0870449,21,3021,78.9,57
Nebraska,Hemingford,3 replications,KSSB-369-7,22,2578,79.5,53
Nebraska,Hemingford,3 replications,KS831374-142,23,2365,74.6,53
Nebraska,Hemingford,3 replications,KS84170E-8-3,24,2806,77.4,60
Nebraska,Hemingford,3 replications,HBC302E,25,3107,79.5,58
Nebraska,Hemingford,3 replications,KS87H325-2,26,2027,76.9,56
Nebraska,Hemingford,3 replications,KS89H48-1,27,2273,.,60
Nebraska,Hemingford,3 replications,KS89H50-4,28,2750,77.4,61
Nebraska,Hemingford,3 replications,N87V106,29,2869,78,62
Nebraska,Hemingford,3 replications,NE88595,30,3520,79.9,64
Nebraska,Hemingford,3 replications,NE88427,31,3344,81.7,62
Nebraska,Hemingford,3 replications,NE88584,32,3674,77.7,65
Nebraska,Hemingford,3 replications,NE88588,33,3031,82,64
Nebraska,Hemingford,3 replications,XH1319,34,2693,78.8,69
Nebraska,Hemingford,3 replications,XH1436,35,3028,78.7,60
Nebraska,Hemingford,3 replications,XH1437,36,3672,80.1,66
Nebraska,Hemingford,3 replications,XH1497,37,3415,79.5,61
Nebraska,Hemingford,3 replications,W87-018,38,2953,78.9,52
Nebraska,Hemingford,3 replications,WI88-181,39,2224,81,51
Nebraska,Hemingford,3 replications,WI88-028,40,1819,80,48
Nebraska,Hemingford,3 replications,T13,41,3369,79.5,53
Nebraska,Hemingford,3 replications,T67,42,3234,80.2,65
Nebraska,Hemingford,3 replications,T21-3,43,2813,77.3,60
Nebraska,Hemingford,3 replications,TH901,44,2516,77.1,64
Nebraska,Hemingford,3 replications,TH902,45,2271,77.4,62
