state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,lodging (0-9),winter survival (%),byd virus (%)
Missouri,Columbia,3 replications,CI1442,1,2754,70.1,122,143,4,57,22
Missouri,Columbia,3 replications,CI13996,2,3152,77.1,109,138,3.3,65,25
Missouri,Columbia,3 replications,PI495594,3,3520,74.8,77,134,2.3,62,38
Missouri,Columbia,3 replications,OK88W833,4,3645,76.2,76,135,2,50,23
Missouri,Columbia,3 replications,OK89499,5,4150,74.8,81,138,2,38,15
Missouri,Columbia,3 replications,OK89399,6,3538,74.9,85,138,2.7,38,23
Missouri,Columbia,3 replications,OK89421,7,3810,76.2,81,134,2.3,65,23
Missouri,Columbia,3 replications,TX88V4636,8,2654,73.2,75,137,1.7,25,37
Missouri,Columbia,3 replications,TX84V1418HF,9,2912,74.7,75,137,3,33,40
Missouri,Columbia,3 replications,TX88V5440,10,3016,75.3,69,133,3,58,33
Missouri,Columbia,3 replications,TX88V4635,11,2575,71.3,77,137,2.3,28,33
Missouri,Columbia,3 replications,TX87V1613,12,3418,75.8,83,138,3.7,45,22
Missouri,Columbia,3 replications,TX88V4524,13,3124,75,75,137,1.3,50,27
Missouri,Columbia,3 replications,TX89V4138,14,2784,74,81,138,3,28,32
Missouri,Columbia,3 replications,TX88V5433,15,3267,76.2,77,133,2,68,25
Missouri,Columbia,3 replications,TX88A6480,16,3420,71.6,70,133,1.7,70,53
Missouri,Columbia,3 replications,TX88A6533,17,4109,77.8,75,138,1,73,18
Missouri,Columbia,3 replications,C0860086,18,3284,70.7,78,139,1,55,22
Missouri,Columbia,3 replications,C0860094,19,3950,73.3,87,140,2,80,18
Missouri,Columbia,3 replications,C0860235,20,3622,70.8,86,140,1.3,75,20
Missouri,Columbia,3 replications,C0870449,21,3586,74.4,77,138,2,60,17
Missouri,Columbia,3 replications,KSSB-369-7,22,2427,73.4,68,135,4,15,32
Missouri,Columbia,3 replications,KS831374-142,23,3687,76.7,75,132,2.3,60,20
Missouri,Columbia,3 replications,KS84170E-8-3,24,3441,76.2,85,138,2.7,42,23
Missouri,Columbia,3 replications,HBC302E,25,3288,74,72,138,1.7,37,30
Missouri,Columbia,3 replications,KS87H325-2,26,3052,76.8,82,134,2.3,53,25
Missouri,Columbia,3 replications,KS89H48-1,27,4255,77.5,91,138,2,78,13
Missouri,Columbia,3 replications,KS89H50-4,28,3668,77.5,91,138,2,63,20
Missouri,Columbia,3 replications,N87V106,29,3729,75.4,84,137,2,62,12
Missouri,Columbia,3 replications,NE88595,30,3651,72,87,139,1.7,40,18
Missouri,Columbia,3 replications,NE88427,31,3509,77,85,138,1.7,60,15
Missouri,Columbia,3 replications,NE88584,32,3562,75.5,100,138,2.3,72,30
Missouri,Columbia,3 replications,NE88588,33,3440,74.4,91,138,3,43,30
Missouri,Columbia,3 replications,XH1319,34,3133,74.5,80,137,2.3,58,25
Missouri,Columbia,3 replications,XH1436,35,3333,73.1,78,136,1.3,53,22
Missouri,Columbia,3 replications,XH1437,36,3460,74.2,89,136,2,47,25
Missouri,Columbia,3 replications,XH1497,37,3549,75.3,80,135,2,53,25
Missouri,Columbia,3 replications,W87-018,38,3523,74.9,77,138,2,65,27
Missouri,Columbia,3 replications,WI88-181,39,3324,75.8,66,134,1,53,27
Missouri,Columbia,3 replications,WI88-028,40,3349,76.1,69,138,0.3,62,27
Missouri,Columbia,3 replications,T13,41,3775,76.2,80,137,1.7,78,18
Missouri,Columbia,3 replications,T67,42,3345,74.1,84,137,2.7,52,23
Missouri,Columbia,3 replications,T21-3,43,3797,76.8,88,137,3.3,65,18
Missouri,Columbia,3 replications,TH901,44,2769,74.3,76,137,3,23,20
Missouri,Columbia,3 replications,TH902,45,2786,74.5,85,137,2.7,38,28
Missouri,Columbia,3 replications,KARL ,46,3253,77.1,75,132,2.7,67,
Missouri,Columbia,3 replications,CARDINAL,47,3803,70.2,87,140,1.7,43,
Missouri,Columbia,3 replications,2163,48,3770,70.9,75,134,2,68,
Missouri,Columbia,3 replications,2180,49,3245,72.3,62,133,1.7,65,
