state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,days to heading from 1/1,lodging 0-9,winter survival %,BYD virus %
MISSOURI,COLUMBIA,3,KS89H48-1,27,4255,77.5,91,138,2,78,13
MISSOURI,COLUMBIA,3,OK89499,5,4150,74.8,81,138,2,38,15
MISSOURI,COLUMBIA,3,TX88A6533,17,4109,77.8,75,138,1,73,18
MISSOURI,COLUMBIA,3,CO860094,19,3950,73.3,87,140,2,80,18
MISSOURI,COLUMBIA,3,OK89421,7,3810,76.2,81,134,2.3,65,23
MISSOURI,COLUMBIA,3,CARDINAL,47,3803,70.2,87,140,1.7,43,12
MISSOURI,COLUMBIA,3,T21-3,43,3797,76.8,88,137,3.3,65,18
MISSOURI,COLUMBIA,3,T13,41,3775,76.2,80,137,1.7,78,18
MISSOURI,COLUMBIA,3,2163,48,3770,70.9,75,134,2,68,28
MISSOURI,COLUMBIA,3,N87V106,29,3729,75.4,84,137,2,62,12
MISSOURI,COLUMBIA,3,KS831374-142,23,3687,76.7,75,132,2.3,60,20
MISSOURI,COLUMBIA,3,KS89H50-4,28,3668,77.5,91,138,2,63,20
MISSOURI,COLUMBIA,3,NE88595,30,3651,72,87,139,1.7,40,18
MISSOURI,COLUMBIA,3,OK88W833,4,3645,76.2,76,135,2,50,23
MISSOURI,COLUMBIA,3,CO860235,20,3622,70.8,86,140,1.3,75,20
MISSOURI,COLUMBIA,3,CO870499,21,3586,74.4,77,138,2,60,17
MISSOURI,COLUMBIA,3,NE8884,32,3562,75.5,100,138,2.3,72,30
MISSOURI,COLUMBIA,3,XH1497,37,3549,75.3,80,135,2,53,25
MISSOURI,COLUMBIA,3,OK89399,6,3538,74.9,85,138,2.7,38,23
MISSOURI,COLUMBIA,3,W87-018,38,3523,74.9,77,138,2,65,27
MISSOURI,COLUMBIA,3,TAM-107,3,3520,74.8,77,134,2.3,62,38
MISSOURI,COLUMBIA,3,NE88427,31,3509,77,85,138,1.7,60,15
MISSOURI,COLUMBIA,3,XH1437,36,3460,74.2,89,136,2,47,25
MISSOURI,COLUMBIA,3,KS84170E-8-3,24,3441,76.2,85,138,2.7,42,23
MISSOURI,COLUMBIA,3,NE88588,33,3440,74.4,91,138,3,43,30
MISSOURI,COLUMBIA,3,TX88A6480,16,3420,71.6,70,133,1.7,70,53
MISSOURI,COLUMBIA,3,TX87V1613,12,3418,75.8,83,138,3.7,45,22
MISSOURI,COLUMBIA,3,WI88-028,40,3349,76.1,69,138,0.3,62,27
MISSOURI,COLUMBIA,3,T67,42,3345,74.1,84,137,2.7,52,23
MISSOURI,COLUMBIA,3,XH1436,35,3333,73.1,78,136,1.3,53,22
MISSOURI,COLUMBIA,3,WI88-181,39,3324,75.8,66,134,1,53,27
MISSOURI,COLUMBIA,3,HBC302E,25,3288,74,72,138,1.7,37,30
MISSOURI,COLUMBIA,3,CO860086,18,3284,70.7,78,139,1,55,22
MISSOURI,COLUMBIA,3,TX88V5433,15,3267,76.2,77,133,2,68,25
MISSOURI,COLUMBIA,3,KARL,46,3253,77.1,75,132,2.7,67,20
MISSOURI,COLUMBIA,3,2180,49,3245,72.3,62,133,1.7,65,27
MISSOURI,COLUMBIA,3,SCOUT66,2,3152,77.1,109,138,3.3,65,25
MISSOURI,COLUMBIA,3,XH1319,34,3133,74.5,80,137,2.3,58,25
MISSOURI,COLUMBIA,3,TX88V4524,13,3124,75,75,137,1.3,50,27
MISSOURI,COLUMBIA,3,KS87H325-2,26,3052,76.8,82,134,2.3,53,25
MISSOURI,COLUMBIA,3,TX88V5440,10,3016,75.3,69,133,3,58,33
MISSOURI,COLUMBIA,3,TX84V1418HF,9,2912,74.7,75,137,3,33,40
MISSOURI,COLUMBIA,3,TH902,45,2786,74.5,85,137,2.7,38,28
MISSOURI,COLUMBIA,3,TX89V4138,14,2784,74,81,138,3,28,32
MISSOURI,COLUMBIA,3,TH901,44,2769,74.3,76,137,3,23,20
MISSOURI,COLUMBIA,3,KHARKOF,1,2754,70.1,122,143,4,57,22
MISSOURI,COLUMBIA,3,TX88V4636,8,2654,73.2,75,137,1.7,25,37
MISSOURI,COLUMBIA,3,TX88V4635,11,2575,71.6,77,137,2.3,28,33
MISSOURI,COLUMBIA,3,KSSB-369-7,22,2427,73.4,68,135,4,15,32
