state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,,stand (%)
Washington,Lind,2 replications,CI1442,1,1100,75.1,85,141,57,
Washington,Lind,2 replications,CI13996,2,1328,75.3,78,135,63,
Washington,Lind,2 replications,PI495594,3,1176,74.2,63,133,57,
Washington,Lind,2 replications,OK88W833,4,769,74.9,62,135,23,
Washington,Lind,2 replications,OK89499,5,1237,72.9,64,136,50,
Washington,Lind,2 replications,OK89399,6,1271,73.3,70,133,63,
Washington,Lind,2 replications,OK89421,7,1421,75.6,69,135,53,
Washington,Lind,2 replications,TX88V4636,8,980,74,70,136,30,
Washington,Lind,2 replications,TX84V1418HF,9,898,74.3,65,137,30,
Washington,Lind,2 replications,TX88V5440,10,1006,74.3,64,133,40,
Washington,Lind,2 replications,TX88V4635,11,1261,74.7,74.7,64,136,
Washington,Lind,2 replications,TX87V1613,12,873,73.9,69,137,20,
Washington,Lind,2 replications,TX88V4524,13,1075,76.9,60,135,30,
Washington,Lind,2 replications,TX89V4138,14,1217,76.5,71,134,47,
Washington,Lind,2 replications,TX88V5433,15,1109,75.2,67,135,47,
Washington,Lind,2 replications,TX88A6480,16,1169,75.3,64,133,37,
Washington,Lind,2 replications,TX88A6533,17,1461,77.4,64,135,47,
Washington,Lind,2 replications,C0860086,18,873,74.6,64,140,30,
Washington,Lind,2 replications,C0860094,19,1005,70.8,69,140,27,
Washington,Lind,2 replications,C0860235,20,1307,76,67,138,43,
Washington,Lind,2 replications,C0870449,21,1562,73.4,70,134,63,
Washington,Lind,2 replications,KSSB-369-7,22,793,75.2,64,133,27,
Washington,Lind,2 replications,KS831374-142,23,1227,75.6,67,132,53,
Washington,Lind,2 replications,KS84170E-8-3,24,1435,76.2,68,133,53,
Washington,Lind,2 replications,HBC302E,25,1231,76.6,66,135,53,
Washington,Lind,2 replications,KS87H325-2,26,1093,76.6,69,132,60,
Washington,Lind,2 replications,KS89H48-1,27,1144,75.5,69,133,60,
Washington,Lind,2 replications,KS89H50-4,28,1491,74.8,71,134,73,
Washington,Lind,2 replications,N87V106,29,1413,74.2,65,135,47,
Washington,Lind,2 replications,NE88595,30,976,73.8,69,136,27,
Washington,Lind,2 replications,NE88427,31,1197,74.8,67,136,27,
Washington,Lind,2 replications,NE88584,32,1358,74.2,77,134,63,
Washington,Lind,2 replications,NE88588,33,1322,76.2,72,135,50,
Washington,Lind,2 replications,XH1319,34,1403,73.1,73,132,67,
Washington,Lind,2 replications,XH1436,35,1653,72.4,72,133,57,
Washington,Lind,2 replications,XH1437,36,1348,74.8,77,134,40,
Washington,Lind,2 replications,XH1497,37,1552,74.3,72,133,57,
Washington,Lind,2 replications,W87-018,38,1509,74.2,67,133,67,
Washington,Lind,2 replications,WI88-181,39,1187,75.9,65,134,47,
Washington,Lind,2 replications,WI88-028,40,894,74.6,64,134,27,
Washington,Lind,2 replications,T13,41,1442,73.7,69,135,63,
Washington,Lind,2 replications,T67,42,1173,75.3,70,134,53,
Washington,Lind,2 replications,T21-3,43,655,72.9,68,136,13,
Washington,Lind,2 replications,TH901,44,1305,73.7,71,133,63,
Washington,Lind,2 replications,TH902,45,1284,73.3,72,133,70,
