state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,days to heading from 1/1,stand %
WASHINGTON,LIND,2,XH1436,35,1653,72.4,72,133,57
WASHINGTON,LIND,2,CO870449,21,1562,73.4,70,134,63
WASHINGTON,LIND,2,XH1497,37,1552,74.3,72,133,57
WASHINGTON,LIND,2,W87-018,38,1509,74.2,67,133,67
WASHINGTON,LIND,2,KS89H50-4,28,1491,74.8,71,134,73
WASHINGTON,LIND,2,TX88A6533,17,1461,77.4,64,135,47
WASHINGTON,LIND,2,T13,41,1442,73.7,69,135,63
WASHINGTON,LIND,2,KS84170E-8-3,24,1435,76.2,68,133,53
WASHINGTON,LIND,2,OK89421,7,1421,75.6,69,135,53
WASHINGTON,LIND,2,N87V106,29,1413,74.2,65,135,47
WASHINGTON,LIND,2,XH1319,34,1403,73.1,73,132,67
WASHINGTON,LIND,2,NE88584,32,1358,74.2,77,134,63
WASHINGTON,LIND,2,XH1437,36,1348,74.8,77,134,40
WASHINGTON,LIND,2,SCOUT66,2,1328,75.3,78,135,63
WASHINGTON,LIND,2,NE88588,33,1322,76.2,72,135,50
WASHINGTON,LIND,2,CO860235,20,1307,76,67,138,43
WASHINGTON,LIND,2,TH901,44,1305,73.7,71,133,63
WASHINGTON,LIND,2,TH902,45,1284,73.3,72,133,70
WASHINGTON,LIND,2,OK89399,6,1271,73.3,70,133,63
WASHINGTON,LIND,2,TX88V4635,11,1261,74.7,64,136,50
WASHINGTON,LIND,2,OK89499,5,1237,72.9,64,136,50
WASHINGTON,LIND,2,HBC302E,25,1231,76.6,66,135,53
WASHINGTON,LIND,2,KS831374-142,23,1227,75.6,67,132,53
WASHINGTON,LIND,2,TX89V4138,14,1217,76.5,71,134,47
WASHINGTON,LIND,2,NE88427,31,1197,74.8,67,136,27
WASHINGTON,LIND,2,WI88-181,39,1187,75.9,65,134,47
WASHINGTON,LIND,2,TAM-107,3,1176,74.2,63,133,57
WASHINGTON,LIND,2,T67,42,1173,75.3,70,134,53
WASHINGTON,LIND,2,TX88A6480,16,1169,75.3,64,133,37
WASHINGTON,LIND,2,KS89H48-1,27,1144,75.5,69,13,60
WASHINGTON,LIND,2,TX88V5433,15,1109,75.2,67,135,47
WASHINGTON,LIND,2,KHARKOF,1,1100,75.1,85,141,57
WASHINGTON,LIND,2,KS87H325-2,26,1093,76.6,69,132,60
WASHINGTON,LIND,2,TX88V4524,13,1075,76.9,60,135,30
WASHINGTON,LIND,2,TX88V5440,10,1006,74.3,64,133,40
WASHINGTON,LIND,2,CO860094,19,1005,70.8,69,140,27
WASHINGTON,LIND,2,TX88V4636,8,980,74,70,136,30
WASHINGTON,LIND,2,NE88595,30,976,73.8,69,136,27
WASHINGTON,LIND,2,TX84v1418HF,9,898,74.3,65,137,30
WASHINGTON,LIND,2,WI88-028,40,894,74.6,64,134,27
WASHINGTON,LIND,2,YX87V1613,12,875,73.9,69,137,20
WASHINGTON,LIND,2,CO860086,18,873,74.6,64,140,30
WASHINGTON,LIND,2,KSSB-369-7,22,793,75.2,64,133,27
WASHINGTON,LIND,2,OK88W833,4,769,74.9,62,135,23
WASHINGTON,LIND,2,T21-3,43,655,72.9,68,136,13
