state,city,reps,line,entry,yield (kg/ha),days to heading from 1/1,winter survival (%)
North Dakota,Casselton,1 replication,CI1442,1,,165,85
North Dakota,Casselton,1 replication,CI13996,2,,164,80
North Dakota,Casselton,1 replication,PI495594,3,,158,75
North Dakota,Casselton,1 replication,OK88W833,4,,159,65
North Dakota,Casselton,1 replication,OK89499,5,,164,70
North Dakota,Casselton,1 replication,OK89399,6,,160,70
North Dakota,Casselton,1 replication,OK89421,7,,158,85
North Dakota,Casselton,1 replication,TX88V4636,8,,158,60
North Dakota,Casselton,1 replication,TX84V1418HF,9,,159,65
North Dakota,Casselton,1 replication,TX88V5440,10,,156,90
North Dakota,Casselton,1 replication,TX88V4635,11,,159,45
North Dakota,Casselton,1 replication,TX87V1613,12,,157,90
North Dakota,Casselton,1 replication,TX88V4524,13,,158,65
North Dakota,Casselton,1 replication,TX89V4138,14,,158,30
North Dakota,Casselton,1 replication,TX88V5433,15,,158,75
North Dakota,Casselton,1 replication,TX88A6480,16,,157,85
North Dakota,Casselton,1 replication,TX88A6533,17,,157,85
North Dakota,Casselton,1 replication,C0860086,18,,164,85
North Dakota,Casselton,1 replication,C0860094,19,,164,90
North Dakota,Casselton,1 replication,C0860235,20,,164,70
North Dakota,Casselton,1 replication,C0870449,21,,160,70
North Dakota,Casselton,1 replication,KSSB-369-7,22,,158,15
North Dakota,Casselton,1 replication,KS831374-142,23,,157,70
North Dakota,Casselton,1 replication,KS84170E-8-3,24,,158,75
North Dakota,Casselton,1 replication,HBC302E,25,,158,65
North Dakota,Casselton,1 replication,KS87H325-2,26,,158,65
North Dakota,Casselton,1 replication,KS89H48-1,27,,158,80
North Dakota,Casselton,1 replication,KS89H50-4,28,,159,30
North Dakota,Casselton,1 replication,N87V106,29,,158,65
North Dakota,Casselton,1 replication,NE88595,30,,158,85
North Dakota,Casselton,1 replication,NE88427,31,,158,60
North Dakota,Casselton,1 replication,NE88584,32,,157,65
North Dakota,Casselton,1 replication,NE88588,33,,158,70
North Dakota,Casselton,1 replication,XH1319,34,,158,15
North Dakota,Casselton,1 replication,XH1436,35,,158,20
North Dakota,Casselton,1 replication,XH1437,36,,158,25
North Dakota,Casselton,1 replication,XH1497,37,,158,35
North Dakota,Casselton,1 replication,W87-018,38,,158,5
North Dakota,Casselton,1 replication,WI88-181,39,,.,0
North Dakota,Casselton,1 replication,WI88-028,40,,.,0
North Dakota,Casselton,1 replication,T13,41,,160,5
North Dakota,Casselton,1 replication,T67,42,,.,0
North Dakota,Casselton,1 replication,T21-3,43,,159,30
North Dakota,Casselton,1 replication,TH901,44,,160,10
North Dakota,Casselton,1 replication,TH902,45,,160,15
