state,city,reps,line,entry,days to heading from 1/1,winter survival %
N.DAKOTA,CASSELTON,1,CI1442,1,165,85
N.DAKOTA,CASSELTON,1,CI13996,2,164,80
N.DAKOTA,CASSELTON,1,PI495594,3,158,75
N.DAKOTA,CASSELTON,1,OK88W833,4,159,65
N.DAKOTA,CASSELTON,1,OK89499,5,164,70
N.DAKOTA,CASSELTON,1,OK89399,6,160,70
N.DAKOTA,CASSELTON,1,OK89421,7,158,85
N.DAKOTA,CASSELTON,1,TX88V4636,8,158,60
N.DAKOTA,CASSELTON,1,TX84V1418HF,9,159,65
N.DAKOTA,CASSELTON,1,TX88V5440,10,156,90
N.DAKOTA,CASSELTON,1,TX88V4635,11,159,45
N.DAKOTA,CASSELTON,1,TX87V1613,12,157,90
N.DAKOTA,CASSELTON,1,TX88V4524,13,158,65
N.DAKOTA,CASSELTON,1,TX89V4138,14,158,30
N.DAKOTA,CASSELTON,1,TX88V5433,15,158,75
N.DAKOTA,CASSELTON,1,TX88A6480,16,157,85
N.DAKOTA,CASSELTON,1,TX88A6533,17,157,85
N.DAKOTA,CASSELTON,1,C0860086,18,164,85
N.DAKOTA,CASSELTON,1,C0860094,19,164,90
N.DAKOTA,CASSELTON,1,C0860235,20,164,70
N.DAKOTA,CASSELTON,1,C0870449,21,16,70
N.DAKOTA,CASSELTON,1,KSSB-369-7,22,158,15
N.DAKOTA,CASSELTON,1,KS831374-142,23,157,70
N.DAKOTA,CASSELTON,1,KS84170E-8-3,24,158,75
N.DAKOTA,CASSELTON,1,HBC302E,25,158,65
N.DAKOTA,CASSELTON,1,KS87H325-2,26,158,65
N.DAKOTA,CASSELTON,1,KS89H48-1,27,158,80
N.DAKOTA,CASSELTON,1,KS89H50-4,28,159,30
N.DAKOTA,CASSELTON,1,N87V106,29,158,65
N.DAKOTA,CASSELTON,1,NE88595,30,158,85
N.DAKOTA,CASSELTON,1,NE88427,31,158,60
N.DAKOTA,CASSELTON,1,NE88584,32,157,65
N.DAKOTA,CASSELTON,1,NE88588,33,158,70
N.DAKOTA,CASSELTON,1,XH1319,34,158,15
N.DAKOTA,CASSELTON,1,XH1436,35,158,20
N.DAKOTA,CASSELTON,1,XH1437,36,158,25
N.DAKOTA,CASSELTON,1,XH1497,37,158,35
N.DAKOTA,CASSELTON,1,W87-018,38,158,5
N.DAKOTA,CASSELTON,1,WI88-181,39,0,0
N.DAKOTA,CASSELTON,1,WI88-028,40,0,0
N.DAKOTA,CASSELTON,1,T13,41,160,5
N.DAKOTA,CASSELTON,1,T67,42,0,0
N.DAKOTA,CASSELTON,1,T21-3,43,159,30
N.DAKOTA,CASSELTON,1,TH901,44,160,10
N.DAKOTA,CASSELTON,1,TH902,45,16,15
