state,city,reps,line,entry,yield (kg/ha),volume height kg/hl,plant height cm,days to heading from 1/1
NEW MEXICO,FARMINGTON,4,NE88584,32,6241,72.2,96,126
NEW MEXICO,FARMINGTON,4,XH1497,37,5883,72.2,94,125
NEW MEXICO,FARMINGTON,4,CO860094,19,5689,71.9,87,128
NEW MEXICO,FARMINGTON,4,CO870449,21,5554,73.2,87,126
NEW MEXICO,FARMINGTON,4,T13,41,5346,73.2,86,126
NEW MEXICO,FARMINGTON,4,SCOUT66,2,5219,72.9,107,124
NEW MEXICO,FARMINGTON,4,XH1437,36,5112,72.2,95,126
NEW MEXICO,FARMINGTON,4,TX89V4138,14,5043,72.9,90,124
NEW MEXICO,FARMINGTON,4,KS87H325-2,26,4960,71.6,95,125
NEW MEXICO,FARMINGTON,4,HBC302E,25,4954,72.2,88,126
NEW MEXICO,FARMINGTON,4,XH1436,35,4882,71.6,90,128
NEW MEXICO,FARMINGTON,4,TX84V1418HF,9,4799,72.6,95,125
NEW MEXICO,FARMINGTON,4,TX87V1613,2,4795,72.6,94,124
NEW MEXICO,FARMINGTON,4,CO860086,18,4776,72.2,86,130
NEW MEXICO,FARMINGTON,4,KSSB-369-7,22,4539,72.9,84,124
NEW MEXICO,FARMINGTON,4,WI88-028,40,4450,72.2,98,125
NEW MEXICO,FARMINGTON,4,TX88A6533,17,4437,72.9,77,124
NEW MEXICO,FARMINGTON,4,OK88W833,4,4409,71.9,88,125
NEW MEXICO,FARMINGTON,4,TX88V4635,11,4301,71.6,86,125
NEW MEXICO,FARMINGTON,4,NE88427,31,4252,72.2,82,125
NEW MEXICO,FARMINGTON,4,TAM-107,3,4206,72.6,85,125
NEW MEXICO,FARMINGTON,4,T67,42,4107,72.2,88,128
NEW MEXICO,FARMINGTON,4,T21-3,43,4060,72.2,84,125
NEW MEXICO,FARMINGTON,4,TH902,45,4058,71.6,95,126
NEW MEXICO,FARMINGTON,4,XH1319,34,3997,72.9,89,125
NEW MEXICO,FARMINGTON,4,OK89421,7,3907,72.2,94,125
NEW MEXICO,FARMINGTON,4,OK89499,5,3905,72.2,86,130
NEW MEXICO,FARMINGTON,4,KS84170E-8-3,24,3890,72.2,83,126
NEW MEXICO,FARMINGTON,4,NE88595,30,3774,72.2,83,124
NEW MEXICO,FARMINGTON,4,NE88588,33,3681,72.2,90,125
NEW MEXICO,FARMINGTON,4,TX88V5433,15,3675,71.9,81,126
NEW MEXICO,FARMINGTON,4,KHARKOF,1,3610,71.6,115,131
NEW MEXICO,FARMINGTON,4,TX88A6480,16,3589,72.6,79,125
NEW MEXICO,FARMINGTON,4,WI88-181,39,3572,73.2,77,125
NEW MEXICO,FARMINGTON,4,OK89399,6,3562,72.9,84,128
NEW MEXICO,FARMINGTON,4,CO860235,20,3519,71.9,82,130
NEW MEXICO,FARMINGTON,4,W87-018,38,3428,72.2,79,124
NEW MEXICO,FARMINGTON,4,TX88V4524,13,3376,71.9,83,125
NEW MEXICO,FARMINGTON,4,KS831374-142,23,3369,71.9,69,126
NEW MEXICO,FARMINGTON,4,TX88V4636,8,3325,72.9,85,126
NEW MEXICO,FARMINGTON,4,N87V106,29,3302,71.9,87,125
NEW MEXICO,FARMINGTON,4,KS89H48-1,27,3268,72.2,86,124
NEW MEXICO,FARMINGTON,4,KS89H50-4,28,3103,72.9,90,125
NEW MEXICO,FARMINGTON,4,TX88V5440,10,3064,72.2,81,125
NEW MEXICO,FARMINGTON,4,TH901,44,3000,71.3,84,126
