state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl
TEXAS,BUSHLAND (DRYL.),3,OK89421,7,3497,74.4
TEXAS,BUSHLAND (DRYL.),3,TX88V4524,13,3470,75.7
TEXAS,BUSHLAND (DRYL.),3,KS84170E-8-3,24,3448,76.5
TEXAS,BUSHLAND (DRYL.),3,TAM-107,3,3428,76.4
TEXAS,BUSHLAND (DRYL.),3,KSSB-369-7,22,3371,75.3
TEXAS,BUSHLAND (DRYL.),3,T13,41,3345,75.3
TEXAS,BUSHLAND (DRYL.),3,N87V106,29,3329,74.2
TEXAS,BUSHLAND (DRYL.),3,TX88A6533,17,3318,76.6
TEXAS,BUSHLAND (DRYL.),3,TX89V4138,14,3286,76.2
TEXAS,BUSHLAND (DRYL.),3,XH1497,37,3275,74.3
TEXAS,BUSHLAND (DRYL.),3,KS87H325-2,26,3259,77.1
TEXAS,BUSHLAND (DRYL.),3,KS831374-142,23,3241,74.7
TEXAS,BUSHLAND (DRYL.),3,HBC302E,25,3235,74.8
TEXAS,BUSHLAND (DRYL.),3,KS89H48-1,27,3212,72.6
TEXAS,BUSHLAND (DRYL.),3,TX88A6480,16,3210,74.4
TEXAS,BUSHLAND (DRYL.),3,TX87V1613,12,3185,76.1
TEXAS,BUSHLAND (DRYL.),3,TX88V4636,8,3165,72.8
TEXAS,BUSHLAND (DRYL.),3,XH1319,34,3165,73.9
TEXAS,BUSHLAND (DRYL.),3,NE88427,31,3152,74.6
TEXAS,BUSHLAND (DRYL.),3,CO860086,18,3049,75.3
TEXAS,BUSHLAND (DRYL.),3,T21-3,43,3044,70.6
TEXAS,BUSHLAND (DRYL.),3,KS89H50-4,28,3026,74.3
TEXAS,BUSHLAND (DRYL.),3,TX88V5440,10,3017,73.1
TEXAS,BUSHLAND (DRYL.),3,WI88-181,39,3017,74
TEXAS,BUSHLAND (DRYL.),3,CO870449,21,3015,72.8
TEXAS,BUSHLAND (DRYL.),3,TH901,44,3013,74.4
TEXAS,BUSHLAND (DRYL.),3,WI88-028,40,2961,73.4
TEXAS,BUSHLAND (DRYL.),3,SCOUT66,2,2959,74.6
TEXAS,BUSHLAND (DRYL.),3,XH1437,36,2928,74.4
TEXAS,BUSHLAND (DRYL.),3,TX88V4635,11,2907,72.5
TEXAS,BUSHLAND (DRYL.),3,OK89399,6,2892,73.5
TEXAS,BUSHLAND (DRYL.),3,TX88V5433,15,2890,74.2
TEXAS,BUSHLAND (DRYL.),3,TX84V1418HF,9,2881,76
TEXAS,BUSHLAND (DRYL.),3,OK89499,5,2800,74.8
TEXAS,BUSHLAND (DRYL.),3,W87-018,38,2800,74.8
TEXAS,BUSHLAND (DRYL.),3,OK88W833,4,2757,76.1
TEXAS,BUSHLAND (DRYL.),3,XH1436,35,2708,72.1
TEXAS,BUSHLAND (DRYL.),3,NE88584,32,2661,74.9
TEXAS,BUSHLAND (DRYL.),3,NE88595,30,2643,72.9
TEXAS,BUSHLAND (DRYL.),3,CO860235,20,2629,73.1
TEXAS,BUSHLAND (DRYL.),3,T67,42,2457,73.9
TEXAS,BUSHLAND (DRYL.),3,NE88588,33,2446,76.9
TEXAS,BUSHLAND (DRYL.),3,TH902,45,2430,75.2
TEXAS,BUSHLAND (DRYL.),3,CO860094,19,2385,68.6
TEXAS,BUSHLAND (DRYL.),3,KHARKOF,1,1704,76.2
