state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,lodging %
TEXAS,BUSHLAND (IRR.),3,W87-018,38,6575,75.9,86,17
TEXAS,BUSHLAND (IRR.),3,KS84170E-8-3,24,6528,77.8,89,23
TEXAS,BUSHLAND (IRR.),3,KSSB-369-7,22,6436,76.8,78,47
TEXAS,BUSHLAND (IRR.),3,XH1497,37,6328,75.3,92,35
TEXAS,BUSHLAND (IRR.),3,OK88W833,4,6261,76.2,84,38
TEXAS,BUSHLAND (IRR.),3,KS89H48-1,27,6225,74.2,94,53
TEXAS,BUSHLAND (IRR.),3,TX88V4524,13,6075,74.7,80,10
TEXAS,BUSHLAND (IRR.),3,HBC302E,5,6032,76.9,90,20
TEXAS,BUSHLAND (IRR.),3,KS87H325-2,26,6023,74.7,88,3
TEXAS,BUSHLAND (IRR.),3,XH1319,34,6023,72.9,90,42
TEXAS,BUSHLAND (IRR.),3,KS831374-142,23,6012,74.9,86,40
TEXAS,BUSHLAND (IRR.),3,N87V106,29,5987,75.2,93,60
TEXAS,BUSHLAND (IRR.),3,NE88588,33,5907,77.8,95,45
TEXAS,BUSHLAND (IRR.),3,T21-3,43,5849,74,95,38
TEXAS,BUSHLAND (IRR.),3,TX88V5433,15,5784,74,81,42
TEXAS,BUSHLAND (IRR.),3,TX88V4635,11,5748,72,92,35
TEXAS,BUSHLAND (IRR.),3,XH1436,35,5671,72.2,93,25
TEXAS,BUSHLAND (IRR.),3,TX87V1613,12,5580,75.3,91,32
TEXAS,BUSHLAND (IRR.),3,TX88V4636,8,5577,72.5,89,58
TEXAS,BUSHLAND (IRR.),3,WI88-181,39,5532,74.6,82,40
TEXAS,BUSHLAND (IRR.),3,XH1437,36,5530,76.8,93,47
TEXAS,BUSHLAND (IRR.),3,T67,42,5528,76.4,94,40
TEXAS,BUSHLAND (IRR.),3,KS89H50-4,28,5521,74.4,97,47
TEXAS,BUSHLAND (IRR.),3,TX88A6533,17,5506,75.5,83,18
TEXAS,BUSHLAND (IRR.),3,WI88-028,40,5492,75.1,76,18
TEXAS,BUSHLAND (IRR.),3,TX88A6480,16,5483,73.7,86,27
TEXAS,BUSHLAND (IRR.),3,OK89421,7,5438,74.2,96,50
TEXAS,BUSHLAND (IRR.),3,TX88V5440,10,5331,73,72,37
TEXAS,BUSHLAND (IRR.),3,TH901,44,5319,73.7,90,57
TEXAS,BUSHLAND (IRR.),3,TAM-107,3,5259,71.9,85,43
TEXAS,BUSHLAND (IRR.),3,NE88584,32,5183,75.9,102,62
TEXAS,BUSHLAND (IRR.),3,NE88427,31,5138,75.5,91,35
TEXAS,BUSHLAND (IRR.),3,TX89V4138,14,5064,75.6,90,52
TEXAS,BUSHLAND (IRR.),3,TH902,45,5006,71.5,91,47
TEXAS,BUSHLAND (IRR.),3,T13,41,5001,73,91,37
TEXAS,BUSHLAND (IRR.),3,OK89499,5,4999,73.1,93,25
TEXAS,BUSHLAND (IRR.),3,NE88595,3,4985,72.8,94,68
TEXAS,BUSHLAND (IRR.),3,TX84V1418HF,9,4974,73,89,35
TEXAS,BUSHLAND (IRR.),3,CO870449,21,4936,71.9,89,53
TEXAS,BUSHLAND (IRR.),3,OK89399,6,4907,72,93,33
TEXAS,BUSHLAND (IRR.),3,CO860086,18,4634,70.7,85,20
TEXAS,BUSHLAND (IRR.),3,SCOUT66,2,4268,73.4,106,85
TEXAS,BUSHLAND (IRR.),3,CO860094,19,4129,69.3,88,25
TEXAS,BUSHLAND (IRR.),3,CO860235,20,3578,71.9,88,13
TEXAS,BUSHLAND (IRR.),3,KHARKOF,1,3107,75.1,110,80
