state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),days to heading from 1/1,leaf sev. (%),rust resp (0-9),root rot (0-5),bacterial blight (0-5),mildew (0-9)
Texas,Prosper,3 replications,CI1442,1,1347,72.6,116,90,8,2.3,3,4
Texas,Prosper,3 replications,CI13996,2,2513,72,116,80,8,0.5,1.3,3.7
Texas,Prosper,3 replications,PI495594,3,3354,73,100,99,8,1,1.3,0
Texas,Prosper,3 replications,OK88W833,4,3970,75.1,98,90,8,1,2.3,0.7
Texas,Prosper,3 replications,OK89499,5,4178,74,102,60,7,0.3,2,0
Texas,Prosper,3 replications,OK89399,6,3885,73.5,99,90,8,1.7,2,0.7
Texas,Prosper,3 replications,OK89421,7,3939,73.5,99,80,8,0,3,4.5
Texas,Prosper,3 replications,TX88V4636,8,4208,72.5,101,90,8,1.3,2,2
Texas,Prosper,3 replications,TX84V1418HF,9,3896,.,102,60,8,1,3,5
Texas,Prosper,3 replications,TX88V5440,10,4125,75.3,98,40,7,1.3,2,2
Texas,Prosper,3 replications,TX88V4635,11,4270,71.7,100,60,8,2,2,1.7
Texas,Prosper,3 replications,TX87V1613,12,3981,74.2,97,30,7,1.7,2.3,4.3
Texas,Prosper,3 replications,TX88V4524,13,3748,71,104,10,3,1.3,2.7,3.3
Texas,Prosper,3 replications,TX89V4138,14,4046,75.5,99,70,8,1,2,0
Texas,Prosper,3 replications,TX88V5433,15,3717,75.5,100,40,7,1.7,2.3,0
Texas,Prosper,3 replications,TX88A6480,16,3730,73,98,90,8,3,3.3,5
Texas,Prosper,3 replications,TX88A6533,17,2977,71,108,99,8,1.7,3,2.7
Texas,Prosper,3 replications,C0860086,18,2425,71.2,110,15,3,0.7,2.3,1.7
Texas,Prosper,3 replications,C0860094,19,2136,.,112,0,.,1,2,3.3
Texas,Prosper,3 replications,C0860235,20,1870,69.3,113,15,7,3,3.7,1.3
Texas,Prosper,3 replications,C0870449,21,3345,71.5,101,60,8,3.3,3.3,4
Texas,Prosper,3 replications,KSSB-369-7,22,3571,68.1,97,70,8,4,4,4.3
Texas,Prosper,3 replications,KS831374-142,23,4136,75.2,99,70,8,1,1.3,2.3
Texas,Prosper,3 replications,KS84170E-8-3,24,3741,75.5,106,10,3,1.7,1.7,0
Texas,Prosper,3 replications,HBC302E,25,3609,.,101,70,8,1.7,2.3,7.3
Texas,Prosper,3 replications,KS87H325-2,26,3750,74.3,103,50,7,1,1.7,1
Texas,Prosper,3 replications,KS89H48-1,27,3239,72,114,20,3,0.3,1,1.7
Texas,Prosper,3 replications,KS89H50-4,28,3445,72.8,114,40,7,0.7,1,1.7
Texas,Prosper,3 replications,N87V106,29,2430,73.1,104,10,7,1.7,2.7,4
Texas,Prosper,3 replications,NE88595,30,3064,69.3,112,50,7,0.3,2,3.7
Texas,Prosper,3 replications,NE88427,31,2596,71.7,114,20,3,0,1.3,0
Texas,Prosper,3 replications,NE88584,32,3071,73.4,108,15,7,1,3.3,1.7
Texas,Prosper,3 replications,NE88588,33,2937,74.4,110,60,8,0.7,3.3,2.7
Texas,Prosper,3 replications,XH1319,34,3981,73.5,99,50,8,1.3,3,3
Texas,Prosper,3 replications,XH1436,35,4122,72.9,101,50,8,2.3,3,4.7
Texas,Prosper,3 replications,XH1437,36,4057,74.8,102,60,8,0.7,1.7,1.3
Texas,Prosper,3 replications,XH1497,37,4403,74.4,101,50,8,0.3,2.3,2.3
Texas,Prosper,3 replications,W87-018,38,3475,72.4,110,0,.,1,2.3,2.3
Texas,Prosper,3 replications,WI88-181,39,3889,74.8,91,30,3,2,4.3,6
Texas,Prosper,3 replications,WI88-028,40,3118,72,109,15,3,1.7,2.3,0
Texas,Prosper,3 replications,T13,41,2753,69,112,60,8,0,1.3,0
Texas,Prosper,3 replications,T67,42,3488,75.2,102,30,8,1.3,2.3,3
Texas,Prosper,3 replications,T21-3,43,3058,69.9,108,10,3,1,1.3,2.3
Texas,Prosper,3 replications,TH901,44,3692,72.2,102,80,8,0.7,3.7,2
Texas,Prosper,3 replications,TH902,45,3461,72,102,99,8,0.7,3,0
