state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height,days to heading from 1/1
OKLAHOMA,STILLWATER,3,OK89499,5,2785,74.2,68,115
OKLAHOMA,STILLWATER,3,W87-018,38,2534,72.9,73,118
OKLAHOMA,STILLWATER,3,KS84170E-8-3,24,2532,74.7,80,116
OKLAHOMA,STILLWATER,3,OK89399,6,2530,71.5,73,110
OKLAHOMA,STILLWATER,3,KS89H50-4,2,2426,73.4,87,119
OKLAHOMA,STILLWATER,3,OK88W833,4,2358,73.5,72,109
OKLAHOMA,STILLWATER,3,OK89421,7,2288,74.3,72,110
OKLAHOMA,STILLWATER,3,TX88V5433,15,2279,73.5,70,112
OKLAHOMA,STILLWATER,3,TX89V4138,14,2260,72.5,73,111
OKLAHOMA,STILLWATER,3,KS831374-142,23,2252,73.4,68,109
OKLAHOMA,STILLWATER,3,NE88584,32,2245,73.8,82,116
OKLAHOMA,STILLWATER,3,XH1437,36,2226,73.4,80,111
OKLAHOMA,STILLWATER,3,KS89H48-1,27,2218,71.7,85,120
OKLAHOMA,STILLWATER,3,T21-3,43,2217,72.2,80,117
OKLAHOMA,STILLWATER,3,N87V106,29,2208,71.9,78,115
OKLAHOMA,STILLWATER,3,TX87V1613,12,2193,73.8,77,111
OKLAHOMA,STILLWATER,3,XH1436,35,2168,70.4,75,113
OKLAHOMA,STILLWATER,3,TX88V5440,10,2157,72.4,68,109
OKLAHOMA,STILLWATER,3,TH901,44,2147,70.7,73,110
OKLAHOMA,STILLWATER,3,XH1497,37,2139,72,75,110
OKLAHOMA,STILLWATER,3,T67,42,2061,73.5,75,114
OKLAHOMA,STILLWATER,3,TX88V4635,11,2057,71.3,79,111
OKLAHOMA,STILLWATER,3,WI88-028,40,2021,71.3,65,121
OKLAHOMA,STILLWATER,3,TX84V1418HF,9,1996,73.7,75,112
OKLAHOMA,STILLWATER,3,WI88-181,39,1987,71.9,63,108
OKLAHOMA,STILLWATER,3,XH1319,34,1946,69.1,75,110
OKLAHOMA,STILLWATER,3,TH902,45,1910,70.2,77,109
OKLAHOMA,STILLWATER,3,NE88588,33,1888,75.9,80,118
OKLAHOMA,STILLWATER,3,TX88A6480,16,1867,71.7,68,111
OKLAHOMA,STILLWATER,3,KS87H325-2,26,1845,72.9,72,109
OKLAHOMA,STILLWATER,3,TX88V4636,8,1795,71.1,70,112
OKLAHOMA,STILLWATER,3,HBC302E,25,1734,73,70,112
OKLAHOMA,STILLWATER,3,NE88595,30,1684,70.6,75,122
OKLAHOMA,STILLWATER,3,KSSB-369-7,22,1666,67.6,70,108
OKLAHOMA,STILLWATER,3,TX88V4524,13,1657,73.5,68,115
OKLAHOMA,STILLWATER,3,SCOUT66,2,1610,74.6,88,
OKLAHOMA,STILLWATER,3,TX88A6533,17,1589,69.7,65,122
OKLAHOMA,STILLWATER,3,NE88427,31,1576,72.9,72,
OKLAHOMA,STILLWATER,3,CO860086,18,1553,69.7,68,122
OKLAHOMA,STILLWATER,3,CO870449,21,1517,68.6,72,114
OKLAHOMA,STILLWATER,3,TAM-107,3,1191,67.3,63,110
OKLAHOMA,STILLWATER,3,T13,41,1133,67.6,70,122
OKLAHOMA,STILLWATER,3,Co860094,19,1090,68.9,63,
OKLAHOMA,STILLWATER,3,KHARKOF,1,1033,73.8,88,
OKLAHOMA,STILLWATER,3,CO860235,20,943,71.6,67,
