state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm
OKLAHOMA,LAHOMA,3,TX88V5433,15,4215,73.3,87
OKLAHOMA,LAHOMA,3,XH1436,35,3679,68.8,92
OKLAHOMA,LAHOMA,3,T21-3,43,3512,65.8,77
OKLAHOMA,LAHOMA,3,KS89H48-1,27,3475,71.7,98
OKLAHOMA,LAHOMA,3,KS87H325-2,26,3303,73.4,90
OKLAHOMA,LAHOMA,3,TX88V5440,10,3262,70.4,83
OKLAHOMA,LAHOMA,3,TX88V4524,13,3252,71,85
OKLAHOMA,LAHOMA,3,TX88V4635,11,3159,68.1,93
OKLAHOMA,LAHOMA,3,KS89H50-4,28,3135,68.9,93
OKLAHOMA,LAHOMA,3,NE88427,31,3105,68.1,88
OKLAHOMA,LAHOMA,3,XH1497,37,3086,68.9,5
OKLAHOMA,LAHOMA,3,KS831374-142,23,3027,69.9,80
OKLAHOMA,LAHOMA,3,TX88V4636,8,2920,67.2,80
OKLAHOMA,LAHOMA,3,NE88595,30,2877,68.2,98
OKLAHOMA,LAHOMA,3,OK89499,5,2864,67.9,85
OKLAHOMA,LAHOMA,3,WI88-028,40,2801,65.4,77
OKLAHOMA,LAHOMA,3,XH2437,36,2776,70,98
OKLAHOMA,LAHOMA,3,KS84170E-8-3,24,2747,70,88
OKLAHOMA,LAHOMA,3,OK89421,7,2632,70.3,92
OKLAHOMA,LAHOMA,3,HBC302E,25,2623,70.3,87
OKLAHOMA,LAHOMA,3,CO860086,18,2593,62.8,87
OKLAHOMA,LAHOMA,3,OK88W833,4,2576,71.3,78
OKLAHOMA,LAHOMA,3,TX88A6533,17,2564,68.1,82
OKLAHOMA,LAHOMA,3,TX84V1418HF,9,2557,70,88
OKLAHOMA,LAHOMA,3,CO870449,21,2531,65.5,83
OKLAHOMA,LAHOMA,3,T67,42,2517,68.8,85
OKLAHOMA,LAHOMA,3,OK89399,6,2496,68.2,80
OKLAHOMA,LAHOMA,3,TX88A6480,16,2454,66,88
OKLAHOMA,LAHOMA,3,W87-018,38,2417,64.4,82
OKLAHOMA,LAHOMA,3,XH1319,34,2408,66.2,88
OKLAHOMA,LAHOMA,3,KSSB-369-7,22,2386,65.8,85
OKLAHOMA,LAHOMA,3,WI88-181,39,2367,68.2,80
OKLAHOMA,LAHOMA,3,T13,41,2356,65,82
OKLAHOMA,LAHOMA,3,TH901,44,2313,64,85
OKLAHOMA,LAHOMA,3,NE88588,33,2105,68.1,97
OKLAHOMA,LAHOMA,3,CO860094,19,2043,60.9,85
OKLAHOMA,LAHOMA,3,TH902,45,2035,64.2,92
OKLAHOMA,LAHOMA,3,TAM-107,3,1886,64.8,84
OKLAHOMA,LAHOMA,3,CO860235,20,1804,61,83
OKLAHOMA,LAHOMA,3,TX89V4138,14,1783,65.9,78
OKLAHOMA,LAHOMA,3,N87V106,29,1749,60.1,85
OKLAHOMA,LAHOMA,3,TX87V1613,12,1514,63.3,87
OKLAHOMA,LAHOMA,3,NE88584,32,1514,61.3,90
OKLAHOMA,LAHOMA,3,KHARKOF,1,1139,68,93
OKLAHOMA,LAHOMA,3,SCOUT66,2,967,65.9,77
