state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,lodging (%),leaf sev. (%),rust resp. (0-9),septoria tritici (0-9),septoria head bl. (0-9),green lf duration (0-9)
Kansas,Hutchinson,3 replications,CI1442,1,376,51.9,122,150,100,50,8,8,3,9
Kansas,Hutchinson,3 replications,CI13996,2,1796,44.3,116,145,90,60,8,9,2,9
Kansas,Hutchinson,3 replications,PI495594,3,1450,66.8,87,139,0,80,8,9,2,9
Kansas,Hutchinson,3 replications,OK88767-11,4,2423,72.1,88,137,0,0,2,8,2,8
Kansas,Hutchinson,3 replications,OK88767-02,5,2649,75.5,92,139,0,0,2,8,2,8
Kansas,Hutchinson,3 replications,OK88767-15,6,2333,74.2,81,139,0,0,2,8,2,7
Kansas,Hutchinson,3 replications,OK88767-24,7,1766,69,87,138,0,0,2,8,3,8
Kansas,Hutchinson,3 replications,TX88A6480,8,1331,62.7,90,140,20,60,8,9,2,9
Kansas,Hutchinson,3 replications,TX88A6533,9,1605,66.7,83,141,0,80,8,9,3,9
Kansas,Hutchinson,3 replications,TX90D9277,10,2775,70.6,98,141,0,0,2,.,2,5
Kansas,Hutchinson,3 replications,TX89A7137,11,2070,66.4,91,139,0,80,8,9,4,9
Kansas,Hutchinson,3 replications,TX91V4931,12,1987,76.2,90,140,0,20,7,9,4,9
Kansas,Hutchinson,3 replications,TX90V8410,13,1951,66.4,94,140,10,10,7,7,7,6
Kansas,Hutchinson,3 replications,TX9OV7911,14,2291,71.7,93,142,10,10,7,6,2,5
Kansas,Hutchinson,3 replications,TX91V5739,15,1922,66,103,137,0,0,2,6,7,5
Kansas,Hutchinson,3 replications,TX91V3308,16,2590,74.3,92,141,0,10,7,5,6,5
Kansas,Hutchinson,3 replications,TX89A7141,17,1838,71.7,86,138,0,40,8,9,5,9
Kansas,Hutchinson,3 replications,C0880054,18,1761,65.6,91,142,0,40,8,9,7,9
Kansas,Hutchinson,3 replications,CO880169,19,1957,72.5,98,142,0,20,8,9,9,9
Kansas,Hutchinson,3 replications,CO88021,20,1432,66.8,91,142,0,60,8,9,4,9
Kansas,Hutchinson,3 replications,CO880240,21,2250,73.7,100,145,0,10,8,9,3,9
Kansas,Hutchinson,3 replications,KS831374-142,22,2655,73.7,86,137,0,40,8,7,3,7
Kansas,Hutchinson,3 replications,KS84063-9-7,23,3145,73.1,100,140,0,0,2,2,8,2
Kansas,Hutchinson,3 replications,KS92PO59E,24,2894,66.8,93,141,0,0,2,5,5,4
Kansas,Hutchinson,3 replications,KS92PO263-137,25,3451,77.7,95,141,0,0,2,3,3,3
Kansas,Hutchinson,3 replications,KS92PO363-134,26,3598,76.6,94,141,0,0,2,4,.,4
Kansas,Hutchinson,3 replications,KS92PO425-155,27,3079,69.7,84,142,0,1,5,5,.,5
Kansas,Hutchinson,3 replications,KS89H48-1,28,2274,75.1,99,142,0,10,8,9,.,9
Kansas,Hutchinson,3 replications,N87V106,29,3097,75.3,103,139,10,20,7,8,.,8
Kansas,Hutchinson,3 replications,NE88584,30,2214,78.1,115,142,10,20,8,8,.,7
Kansas,Hutchinson,3 replications,NE90479,31,2811,76.9,104,140,0,40,8,8,.,7
Kansas,Hutchinson,3 replications,NE90524,32,2471,70.8,105,141,0,10,3,7,.,7
Kansas,Hutchinson,3 replications,NE90574,33,2023,69.1,100,143,0,20,7,9,.,6
Kansas,Hutchinson,3 replications,XH1455,34,2936,74.2,99,140,0,10,8,7,.,7
Kansas,Hutchinson,3 replications,XH1485,35,2291,73.8,96,140,0,30,8,9,.,8
Kansas,Hutchinson,3 replications,XH1520,36,2572,74.4,94,139,0,20,3,8,.,8
Kansas,Hutchinson,3 replications,XH1529,37,3461,73.8,94,138,0,20,7,8,.,7
Kansas,Hutchinson,3 replications,XH1610,38,2649,74.1,100,141,0,10,3,9,.,3
Kansas,Hutchinson,3 replications,W87-017-44,39,3097,75.3,103,139,10,20,7,8,.,8
Kansas,Hutchinson,3 replications,WI89-055,40,2560,77.2,82,140,0,10,3,8,.,8
Kansas,Hutchinson,3 replications,T13,41,1647,68,93,142,0,60,8,9,.,9
Kansas,Hutchinson,3 replications,T4731,42,3097,71.5,91,140,10,40,8,9,.,9
Kansas,Hutchinson,3 replications,T70,43,2053,69.1,87,140,0,40,8,9,.,9
Kansas,Hutchinson,3 replications,T64,44,1838,72.9,97,141,0,40,8,9,.,9
Kansas,Hutchinson,3 replications,TH905,45,2447,74.3,100,140,0,20,8,7,.,7
