state,city,reps,line,entry,plant height cm,days to heading from 1/1,leaf sev. %,rust resp. 0-9,seedling stem rust 0-9,seedling leaf rust 0-9,septoria tritici 0-9,green lf duration,seedling hessian fly 1-3
KANSAS,MANHATTAN,3,Kharkof,1,117,,50,8,9,9,9,9,3
KANSAS,MANHATTAN,3,Scout66,2,113,145,20,8,8,9,9,9,3
KANSAS,MANHATTAN,3,TAM-107,3,87,139,60,8,5,8,9,9,3
KANSAS,MANHATTAN,3,OK88767-11,4,85,139,10,3,5,0,8,8,3
KANSAS,MANHATTAN,3,OK88767-02,5,87,140,5,3,3,1,7,8,1
KANSAS,MANHATTAN,3,OK88767-15,6,76,142,10,3,3,1,7,7,3
KANSAS,MANHATTAN,3,OK88767-24,7,85,139,10,3,3,3,7,8,3
KANSAS,MANHATTAN,3,TX88A640,8,84,140,50,8,9,9,9,9,3
KANSAS,MANHATTAN,3,TX88A6533,9,83,143,40,8,3,9,9,9,2
KANSAS,MANHATTAN,3,TX90D9277,10,91,143,1,3,3,3,6,6,2
KANSAS,MANHATTAN,3,TX89A7137,11,88,141,30,8,8,8,9,9,3
KANSAS,MANHATTAN,3,TX91V4931,12,87,142,40,8,3,1,9,9,3
KANSAS,MANHATTAN,3,TX90V8410,13,86,143,40,8,3,1,9,9,3
KANSAS,MANHATTAN,3,TX90V7911,14,88,144,10,3,5,0,5,5,3
KANSAS,MANHATTAN,3,TX91V5739,15,95,139,5,3,9,2,8,9,3
KANSAS,MANHATTAN,3,TX91V3308,16,86,142,10,3,0,0,7,7,3
KANSAS,MANHATTAN,3,TX89A7141,17,85,138,60,8,8,8,9,9,3
KANSAS,MANHATTAN,3,CO880054,18,85,141,15,3,3,3,9,9,2
KANSAS,MANHATTAN,3,CO880169,19,95,140,10,3,9,3,9,9,3
KANSAS,MANHATTAN,3,CO880210,20,69,140,20,8,3,8,9,9,3
KANSAS,MANHATTAN,3,CO880240,21,102,149,5,3,3,8,9,9,1
KANSAS,MANHATTAN,3,KS831374-142,22,83,138,40,8,5,3,5,9,3
KANSAS,MANHATTAN,3,KS84063-9-7,23,94,142,5,3,7,3,3,2,3
KANSAS,MANHATTAN,3,KS92PO59E,24,91,143,20,7,0,5,4,5,1
KANSAS,MANHATTAN,3,KS92PO0263-137,25,91,142,20,7,5,3,3,4,1
KANSAS,MANHATTAN,3,KS92PO363-134,26,94,142,5,3,2,,4,5,1
KANSAS,MANHATTAN,3,KS92PO425-155,27,86,144,30,8,2,8,7,8,1
KANSAS,MANHATTAN,3,KS89H48-1,28,93,144,30,8,2,4,8,9,1
KANSAS,MANHATTAN,3,N87V106,29,94,142,10,3,0,4,8,9,3
KANSAS,MANHATTAN,3,NE88584,30,105,144,60,8,2,5,9,9,2
KANSAS,MANHATTAN,3,NE90479,31,95,142,40,7,5,5,5,8,2
KANSAS,MANHATTAN,3,NE90524,32,102,144,15,3,2,2,7,8,2
KANSAS,MANHATTAN,3,NE90574,33,99,145,20,7,2,1,7,8,3
KANSAS,MANHATTAN,3,XH1455,34,98,142,10,3,2,2,8,8,3
KANSAS,MANHATTAN,3,XH1485,35,97,142,20,8,3,9,8,9,3
KANSAS,MANHATTAN,3,XH1520,36,95,139,10,3,,7,9,9,3
KANSAS,MANHATTAN,3,XH1529,37,91,139,15,3,5,3,8,7,1
KANSAS,MANHATTAN,3,XH1610,38,95,139,5,3,2,8,9,9,3
KANSAS,MANHATTAN,3,W87-017-44,39,90,142,5,3,5,6,9,9,2
KANSAS,MANHATTAN,3,WI89-055,40,82,142,10,8,8,7,9,9,3
KANSAS,MANHATTAN,3,T13,41,91,144,80,8,7,9,9,9,3
KANSAS,MANHATTAN,3,T4731,42,86,143,40,8,5,9,9,9,1
KANSAS,MANHATTAN,3,T70,43,88,142,40,8,7,6,9,9,3
KANSAS,MANHATTAN,3,T64,44,92,141,50,8,8,4,9,9,3
KANSAS,MANHATTAN,3,TH905,45,94,140,30,8,8,8,9,9,3
