state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),days to heading from 1/1
Colorado,Akron,3 replications,CI1442,1,3321,74.6,152
Colorado,Akron,3 replications,CI13996,2,3918,76.5,150
Colorado,Akron,3 replications,PI495594,3,4386,73.4,147
Colorado,Akron,3 replications,OK88767-11,4,4352,74.3,148
Colorado,Akron,3 replications,OK88767-02,5,4113,77,149
Colorado,Akron,3 replications,OK88767-15,6,3984,76.5,150
Colorado,Akron,3 replications,OK88767-24,7,4449,74.9,149
Colorado,Akron,3 replications,TX88A6480,8,4583,74.6,150
Colorado,Akron,3 replications,TX88A6533,9,4280,76.8,150
Colorado,Akron,3 replications,TX90D9277,10,3897,71.2,151
Colorado,Akron,3 replications,TX89A7137,11,4492,75.5,150
Colorado,Akron,3 replications,TX91V4931,12,4437,78.9,150
Colorado,Akron,3 replications,TX90V8410,13,4339,74.6,151
Colorado,Akron,3 replications,TX9OV7911,14,4101,73,150
Colorado,Akron,3 replications,TX91V5739,15,4035,72.4,148
Colorado,Akron,3 replications,TX91V3308,16,4298,72.1,150
Colorado,Akron,3 replications,TX89A7141,17,4816,73.4,148
Colorado,Akron,3 replications,C0880054,18,4555,72.1,150
Colorado,Akron,3 replications,CO880169,19,4812,72.4,151
Colorado,Akron,3 replications,CO88021,20,4779,75.9,148
Colorado,Akron,3 replications,CO880240,21,4932,74.6,151
Colorado,Akron,3 replications,KS831374-142,22,4764,73.4,148
Colorado,Akron,3 replications,KS84063-9-7,23,4307,74.6,151
Colorado,Akron,3 replications,KS92PO59E,24,4387,70.8,151
Colorado,Akron,3 replications,KS92PO263-137,25,4499,73.4,151
Colorado,Akron,3 replications,KS92PO363-134,26,4027,69.3,152
Colorado,Akron,3 replications,KS92PO425-155,27,4431,70.6,151
Colorado,Akron,3 replications,KS89H48-1,28,4520,73.9,150
Colorado,Akron,3 replications,N87V106,29,3936,72.1,150
Colorado,Akron,3 replications,NE88584,30,4359,74.6,151
Colorado,Akron,3 replications,NE90479,31,4112,77.7,151
Colorado,Akron,3 replications,NE90524,32,4275,75.5,152
Colorado,Akron,3 replications,NE90574,33,4286,72.8,152
Colorado,Akron,3 replications,XH1455,34,4261,70.8,151
Colorado,Akron,3 replications,XH1485,35,4441,74.6,151
Colorado,Akron,3 replications,XH1520,36,4841,73.9,151
Colorado,Akron,3 replications,XH1529,37,5224,73.9,148
Colorado,Akron,3 replications,XH1610,38,4184,72.4,151
Colorado,Akron,3 replications,W87-017-44,39,4107,76.1,150
Colorado,Akron,3 replications,WI89-055,40,4142,75.9,148
Colorado,Akron,3 replications,T13,41,4691,76.1,150
Colorado,Akron,3 replications,T4731,42,4533,69.9,151
Colorado,Akron,3 replications,T70,43,4767,75.9,151
Colorado,Akron,3 replications,T64,44,4558,74.3,150
Colorado,Akron,3 replications,TH905,45,4600,72.1,150
