state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,days to heading from 1/1
COLORADO,ARKON,3,XH1529,37,5224,73.9,148
COLORADO,ARKON,3,CO880240,21,4932,74.6,151
COLORADO,ARKON,3,XH1520,36,4841,73.9,151
COLORADO,ARKON,3,TX89A7141,7,4816,73.4,148
COLORADO,ARKON,3,CO880169,19,4812,72.4,151
COLORADO,ARKON,3,CO880210,20,4779,75.9,148
COLORADO,ARKON,3,T70,43,4767,75.9,151
COLORADO,ARKON,3,KS831374-142,22,4764,73.4,148
COLORADO,ARKON,3,T13,41,4691,76.1,150
COLORADO,ARKON,3,YUMA,46,4665,71.9,151
COLORADO,ARKON,3,TH905,45,4600,72.1,150
COLORADO,ARKON,3,TX88A6480,8,4583,74.6,150
COLORADO,ARKON,3,T64,44,4558,74.3,150
COLORADO,ARKON,3,CO880054,18,4555,72.1,150
COLORADO,ARKON,3,T4731,42,4533,69.9,151
COLORADO,ARKON,3,KS89H48-1,28,4520,73.9,150
COLORADO,ARKON,3,KS92P0263-137,25,4499,73.4,151
COLORADO,ARKON,3,TX89A7137,11,4492,75.5,150
COLORADO,ARKON,3,OK88767-24,7,4449,74.9,149
COLORADO,ARKON,3,XH1485,35,4441,74.6,151
COLORADO,ARKON,3,TX91V4931,12,4437,78.9,150
COLORADO,ARKON,3,KS92P0425-155,27,4431,70.6,151
COLORADO,ARKON,3,KS92P059E,24,4387,70.8,151
COLORADO,ARKON,3,TAM-107,3,4386,73.4,147
COLORADO,ARKON,3,NE88584,30,4359,74.6,151
COLORADO,ARKON,3,OK88767-11,4,4352,74.3,148
COLORADO,ARKON,3,TX90V8410,13,4339,74.6,151
COLORADO,ARKON,3,KS84063-9-7,23,4307,74.6,151
COLORADO,ARKON,3,TX91V3308,16,4298,72.1,150
COLORADO,ARKON,3,NE90574,33,4286,72.8,152
COLORADO,ARKON,3,LAMAR,48,4284,77.4,152
COLORADO,ARKON,3,TX88A6533,9,4280,76.8,150
COLORADO,ARKON,3,NE90524,32,4275,75.5,152
COLORADO,ARKON,3,XH1455,34,4261,70.8,151
COLORADO,ARKON,3,XH1610,38,4184,72.4,151
COLORADO,ARKON,3,MV16-85,50,4148,70.3,151
COLORADO,ARKON,3,WI89-055,40,4142,75.9,148
COLORADO,ARKON,3,OK88767-02,5,4113,77,149
COLORADO,ARKON,3,NE90479,31,4112,77.7,151
COLORADO,ARKON,3,W87-017-44,39,4107,76.1,150
COLORADO,ARKON,3,TX90V7911,14,4101,73,150
COLORADO,ARKON,3,JULES,47,4090,70.8,153
COLORADO,ARKON,3,TX91V5739,15,4035,72.4,148
COLORADO,ARKON,3,KS92P0363-134,26,4027,69.3,152
COLORADO,ARKON,3,OK88767-15,6,3984,76.5,150
COLORADO,ARKON,3,N87V106,29,3936,72.1,150
COLORADO,ARKON,3,Scout66,2,3918,76.5,150
COLORADO,ARKON,3,TX90D277,10,3897,71.2,151
COLORADO,ARKON,3,CO840186,49,3677,76.1,151
COLORADO,ARKON,3,Kharkof,1,3321,74.6,152
