state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,lodging 0-9,leaf rust severity 0-9
COLORADO,BURLINGTON,3,XH1520,36,5765,75.7,91,0,1
COLORADO,BURLINGTON,3,XH1529,37,5574,77,86,0,1
COLORADO,BURLINGTON,3,KS92P0425-155,27,5568,73.9,76,0,0
COLORADO,BURLINGTON,3,T70,43,5201,75.1,86,0,1
COLORADO,BURLINGTON,3,MV16-85,50,5139,73,86,0,0
COLORADO,BURLINGTON,3,YUMA,46,5099,73.9,86,0,2
COLORADO,BURLINGTON,3,XH1610,38,5058,73.8,91,0,1
COLORADO,BURLINGTON,3,KS92P059E,24,5044,73.7,86,0,0
COLORADO,BURLINGTON,3,OK88767-11,4,5039,77.5,86,0,0
COLORADO,BURLINGTON,3,XH1485,35,5025,74.4,91,0,2
COLORADO,BURLINGTON,3,KS92P0263-137,25,5009,75.2,91,0,0
COLORADO,BURLINGTON,3,KS89H48-1,28,4972,75.5,91,0,1
COLORADO,BURLINGTON,3,WI89-055,40,4965,76.6,81,0,1
COLORADO,BURLINGTON,3,CO880240,21,4942,74.9,97,0,5
COLORADO,BURLINGTON,3,KS831374-142,22,4939,76.2,86,0,1
COLORADO,BURLINGTON,3,KS2P0363-134,26,4891,75.2,91,0,1
COLORADO,BURLINGTON,3,NE90479,31,4817,76.4,91,0,2
COLORADO,BURLINGTON,3,TX91V3308,16,4684,74.8,76,0,0
COLORADO,BURLINGTON,3,W87-017-44,39,4682,76.5,86,0,0
COLORADO,BURLINGTON,3,KS84063-9-7,23,4678,76.5,102,0,0
COLORADO,BURLINGTON,3,TAM-107,3,4670,75.3,86,0,7
COLORADO,BURLINGTON,3,T64,44,4646,76,91,0,5
COLORADO,BURLINGTON,3,TH905,45,4627,74.2,91,0,1
COLORADO,BURLINGTON,3,TX88A6533,9,4617,75.7,81,0,3
COLORADO,BURLINGTON,3,NE90574,33,4612,73.4,97,0,5
COLORADO,BURLINGTON,3,XH1455,34,4608,77,86,0,1
COLORADO,BURLINGTON,3,NE90524,32,4607,76.1,97,0,0
COLORADO,BURLINGTON,3,LAMAR,48,4606,76.4,102,2,1
COLORADO,BURLINGTON,3,CO880169,19,4599,76.5,97,0,2
COLORADO,BURLINGTON,3,T13,41,4582,74.4,86,0,7
COLORADO,BURLINGTON,3,CO880210,20,4555,75.5,86,0,7
COLORADO,BURLINGTON,3,TX88A6480,8,4466,75.2,86,0,1
COLORADO,BURLINGTON,3,T4731,42,4452,71.3,86,0,1
COLORADO,BURLINGTON,3,JULES,47,4376,74,91,0,1
COLORADO,BURLINGTON,3,TX90D9277,10,4319,73.7,91,0,1
COLORADO,BURLINGTON,3,TX91V5739,15,4305,73.9,91,0,0
COLORADO,BURLINGTON,3,TX89A7141,17,4303,75.5,91,0,3
COLORADO,BURLINGTON,3,TX90V7911,14,4251,75.6,86,0,0
COLORADO,BURLINGTON,3,CO880054,18,4193,73.9,91,0,2
COLORADO,BURLINGTON,3,TX89A7137,11,4182,74.4,91,0,5
COLORADO,BURLINGTON,3,NE88584,30,4158,76.5,107,1,1
COLORADO,BURLINGTON,3,TX91V4931,12,4141,79.2,86,0,1
COLORADO,BURLINGTON,3,OK88767-24,7,4135,76.9,81,0,1
COLORADO,BURLINGTON,3,OK88767-15,6,4111,76.8,86,0,0
COLORADO,BURLINGTON,3,OK88767-02,5,4076,77,86,0,0
COLORADO,BURLINGTON,3,Scout66,2,3966,77.5,112,3,2
COLORADO,BURLINGTON,3,N87V106,29,3891,76.6,91,0,0
COLORADO,BURLINGTON,3,TX90V8410,13,3856,74.3,91,0,1
COLORADO,BURLINGTON,3,CO840186,49,3285,75.6,86,0,8
COLORADO,BURLINGTON,3,Kharkof,1,2903,76,127,2,2
