state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,leaf rust response (0-9)
South Dakota,Brookings,3 replications,CI1442,1,1416,68.8,99,169,5
South Dakota,Brookings,3 replications,CI13996,2,1953,72.4,89,161,7
South Dakota,Brookings,3 replications,PI495594,3,1296,67.5,62,159,8
South Dakota,Brookings,3 replications,OK88767-11,4,2206,68.8,61,159,5
South Dakota,Brookings,3 replications,OK88767-02,5,1880,73.3,63,164,5
South Dakota,Brookings,3 replications,OK88767-15,6,2272,71.1,62,163,5
South Dakota,Brookings,3 replications,OK88767-24,7,1954,67.1,63,162,5
South Dakota,Brookings,3 replications,TX88A6480,8,1214,63.7,63,162,5
South Dakota,Brookings,3 replications,TX88A6533,9,1244,65.8,62,164,3
South Dakota,Brookings,3 replications,TX90D9277,10,3033,69.7,71,162,5
South Dakota,Brookings,3 replications,TX89A7137,11,1758,66,63,161,5
South Dakota,Brookings,3 replications,TX91V4931,12,1924,73.8,67,163,3
South Dakota,Brookings,3 replications,TX90V8410,13,1612,66.2,63,164,3
South Dakota,Brookings,3 replications,TX9OV7911,14,2180,68.3,67,163,3
South Dakota,Brookings,3 replications,TX91V5739,15,1172,65.7,65,160,6
South Dakota,Brookings,3 replications,TX91V3308,16,2806,67.9,64,160,8
South Dakota,Brookings,3 replications,TX89A7141,17,1683,65.7,62,161,7
South Dakota,Brookings,3 replications,C0880054,18,1562,64.4,64,164,6
South Dakota,Brookings,3 replications,CO880169,19,2137,68.6,70,162,6
South Dakota,Brookings,3 replications,CO88021,20,1512,67,65,164,4
South Dakota,Brookings,3 replications,CO880240,21,2706,70.6,72,165,4
South Dakota,Brookings,3 replications,KS831374-142,22,1979,71.5,64,161,6
South Dakota,Brookings,3 replications,KS84063-9-7,23,2248,68.4,68,161,4
South Dakota,Brookings,3 replications,KS92PO59E,24,2859,67.5,67,162,3
South Dakota,Brookings,3 replications,KS92PO263-137,25,2833,71,66,163,3
South Dakota,Brookings,3 replications,KS92PO363-134,26,3498,71.3,68,163,3
South Dakota,Brookings,3 replications,KS92PO425-155,27,2728,65.8,70,165,4
South Dakota,Brookings,3 replications,KS89H48-1,28,2051,73.8,73,159,6
South Dakota,Brookings,3 replications,N87V106,29,2803,70.4,67,162,6
South Dakota,Brookings,3 replications,NE88584,30,2709,73.8,81,161,5
South Dakota,Brookings,3 replications,NE90479,31,2380,74.6,75,158,5
South Dakota,Brookings,3 replications,NE90524,32,1945,66.7,78,164,5
South Dakota,Brookings,3 replications,NE90574,33,3172,71.3,78,163,4
South Dakota,Brookings,3 replications,XH1455,34,2641,71.5,74,163,4
South Dakota,Brookings,3 replications,XH1485,35,2432,72.6,72,160,5
South Dakota,Brookings,3 replications,XH1520,36,2538,73.1,77,159,4
South Dakota,Brookings,3 replications,XH1529,37,2697,73.7,65,160,4
South Dakota,Brookings,3 replications,XH1610,38,2476,70.2,67,162,5
South Dakota,Brookings,3 replications,W87-017-44,39,2417,72.2,68,159,7
South Dakota,Brookings,3 replications,WI89-055,40,2652,72.8,61,161,5
South Dakota,Brookings,3 replications,T13,41,1786,68,66,159,7
South Dakota,Brookings,3 replications,T4731,42,3233,66.7,71,163,7
South Dakota,Brookings,3 replications,T70,43,1430,66,64,162,6
South Dakota,Brookings,3 replications,T64,44,2075,69.3,72,161,8
South Dakota,Brookings,3 replications,TH905,45,2465,72.4,70,160,8
