state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,lodging (0-9),stand (%),straw strength (0-5)
Idaho,Aberdeen,2 replications,CI1442,1,5057,78.8,121,166,9,97,4
Idaho,Aberdeen,2 replications,CI13996,2,5636,78.4,121,158,8.8,97,4.5
Idaho,Aberdeen,2 replications,PI495594,3,10084,80.6,117,157,6,98,4
Idaho,Aberdeen,2 replications,OK88767-11,4,10491,80.6,110,158,2.5,98,3
Idaho,Aberdeen,2 replications,OK88767-02,5,8776,79.9,102,159,2,97,3
Idaho,Aberdeen,2 replications,OK88767-15,6,9711,80.1,103,161,1.5,97,2
Idaho,Aberdeen,2 replications,OK88767-24,7,100027,80.4,114,159,2,96,2.5
Idaho,Aberdeen,2 replications,TX88A6480,8,7838,78.4,99,160,7.5,97,4
Idaho,Aberdeen,2 replications,TX88A6533,9,9570,78.3,103,160,7.5,95,4
Idaho,Aberdeen,2 replications,TX90D9277,10,8178,78.6,117,162,5.5,80,3.5
Idaho,Aberdeen,2 replications,TX89A7137,11,11069,79.2,112,160,6.5,97,4
Idaho,Aberdeen,2 replications,TX91V4931,12,7646,82.8,110,158,7,96,3.5
Idaho,Aberdeen,2 replications,TX90V8410,13,6944,79.9,104,159,8,97,4
Idaho,Aberdeen,2 replications,TX9OV7911,14,8369,79.5,109,162,7.5,97,4
Idaho,Aberdeen,2 replications,TX91V5739,15,8104,78,107,158,6.5,98,4
Idaho,Aberdeen,2 replications,TX91V3308,16,11211,80.1,117,163,7,96,3
Idaho,Aberdeen,2 replications,TX89A7141,17,9671,79.5,108,158,7,98,3.5
Idaho,Aberdeen,2 replications,C0880054,18,10804,79.2,110,163,7.5,97,3
Idaho,Aberdeen,2 replications,CO880169,19,10841,80.4,117,162,7,97,3.5
Idaho,Aberdeen,2 replications,CO88021,20,9845,80.4,107,162,7.5,95,4
Idaho,Aberdeen,2 replications,CO880240,21,8336,79.2,112,163,8,82,3.5
Idaho,Aberdeen,2 replications,KS831374-142,22,9966,79.7,107,157,3.5,96,2.5
Idaho,Aberdeen,2 replications,KS84063-9-7,23,8376,80.2,116,160,4.5,97,3
Idaho,Aberdeen,2 replications,KS92PO59E,24,10246,77.7,114,161,5,98,3.5
Idaho,Aberdeen,2 replications,KS92PO263-137,25,10447,79.5,112,161,3,97,3
Idaho,Aberdeen,2 replications,KS92PO363-134,26,8527,78,107,162,8,96,4
Idaho,Aberdeen,2 replications,KS92PO425-155,27,7068,77.9,93,163,8,98,3.5
Idaho,Aberdeen,2 replications,KS89H48-1,28,7922,79.3,112,158,8,95,4.5
Idaho,Aberdeen,2 replications,N87V106,29,8874,78.9,107,158,7.5,97,3
Idaho,Aberdeen,2 replications,NE88584,30,8662,80.1,127,159,7.5,91,4
Idaho,Aberdeen,2 replications,NE90479,31,6335,80.1,105,160,8.3,95,5
Idaho,Aberdeen,2 replications,NE90524,32,7761,79.7,126,162,8,94,4
Idaho,Aberdeen,2 replications,NE90574,33,7347,77.5,117,162,8,92,3
Idaho,Aberdeen,2 replications,XH1455,34,8278,80.4,118,162,8,96,4
Idaho,Aberdeen,2 replications,XH1485,35,8864,80.6,114,160,7.5,98,3.5
Idaho,Aberdeen,2 replications,XH1520,36,9556,80.4,116,158,7.5,99,3.5
Idaho,Aberdeen,2 replications,XH1529,37,7919,79.7,108,158,8,97,4
Idaho,Aberdeen,2 replications,XH1610,38,9072,79.2,117,162,6.5,97,4
Idaho,Aberdeen,2 replications,W87-017-44,39,9724,81.4,110,158,2.5,97,3
Idaho,Aberdeen,2 replications,WI89-055,40,10437,82.6,109,158,3.5,94,3
Idaho,Aberdeen,2 replications,T13,41,9993,80.4,112,158,5,97,3
Idaho,Aberdeen,2 replications,T4731,42,7828,74.9,102,160,8.3,97,5
Idaho,Aberdeen,2 replications,T70,43,1068,82,112,160,5.5,88,2.5
Idaho,Aberdeen,2 replications,T64,44,8611,78.4,112,157,7.5,90,4
Idaho,Aberdeen,2 replications,TH905,45,,,,,,,
Idaho,Aberdeen,2 replications,MERIDAN,46,9381,79.5,117,166,3,94,3
