state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,days to heading from 1/1,lodging %,stand %,straw strength 0-5
IDAHO,ABERDEEN,2,TX91V3308,16,11211,80.1,117,163,7,96,3
IDAHO,ABERDEEN,2,TX89A7137,11,11069,79.2,112,160,6.5,97,4
IDAHO,ABERDEEN,2,CO880169,19,10841,80.4,117,162,7,97,3.5
IDAHO,ABERDEEN,2,CO880054,18,10804,79.2,110,163,7.5,97,3
IDAHO,ABERDEEN,2,T70,43,10568,82,112,160,5.5,88,2.5
IDAHO,ABERDEEN,2,OK88767-11,4,10491,80.6,110,158,2.5,98,3
IDAHO,ABERDEEN,2,KS92P0263-137,25,10447,79.5,112,161,3,97,3
IDAHO,ABERDEEN,2,WI89-055,40,10437,82.6,109,158,3.5,94,3
IDAHO,ABERDEEN,2,KS92P059E,24,10246,77.7,114,161,5,98,3.5
IDAHO,ABERDEEN,2,TAM-107,3,10084,80.6,117,157,6,98,4
IDAHO,ABERDEEN,2,OK88767-24,7,10027,80.4,114,159,2,96,2.5
IDAHO,ABERDEEN,2,T13,41,9993,80.4,112,158,5,97,3
IDAHO,ABERDEEN,2,KS831374-142,22,9966,79.7,107,157,3.5,96,2.5
IDAHO,ABERDEEN,2,CO880210,20,9845,80.4,107,162,7.5,95,4
IDAHO,ABERDEEN,2,W87-017-44,39,9724,81.4,110,158,2.5,97,3
IDAHO,ABERDEEN,2,OK88767-15,6,9711,80.1,103,161,1.5,97,2
IDAHO,ABERDEEN,2,TX89A7141,17,9671,79.5,108,158,7,98,3.5
IDAHO,ABERDEEN,2,TX88A6533,9,9570,78.3,103,160,7.5,95,4
IDAHO,ABERDEEN,2,XH1520,36,9556,80.4,116,158,7.5,99,3.5
IDAHO,ABERDEEN,2,MERIDIAN,46,9381,79.5,117,166,3,94,3
IDAHO,ABERDEEN,2,XH1610,38,9072,79.2,117,162,6.5,97,4
IDAHO,ABERDEEN,2,N87V106,29,8874,78.9,107,158,7.5,97,3
IDAHO,ABERDEEN,2,XH1485,35,8864,80.6,114,160,7.5,98,3.5
IDAHO,ABERDEEN,2,OK88767-02,5,8776,79.9,102,159,2,97,3
IDAHO,ABERDEEN,2,NE88584,30,8662,80.1,127,159,7.5,91,4
IDAHO,ABERDEEN,2,T64,44,8611,78.4,112,157,7.5,90,4
IDAHO,ABERDEEN,2,KS92P0363-134,26,8527,78,107,162,8,98,4
IDAHO,ABERDEEN,2,KS84063-9-7,23,8376,80.2,116,160,4.5,97,3
IDAHO,ABERDEEN,2,TX90V7911,14,8369,79.5,109,162,7.5,97,4
IDAHO,ABERDEEN,2,CO880240,21,8336,79.2,112,163,8,82,3.5
IDAHO,ABERDEEN,2,XH1455,34,8278,80.4,118,162,8,96,4
IDAHO,ABERDEEN,2,TX90D9277,10,8178,78.6,117,162,5.5,80,3.5
IDAHO,ABERDEEN,2,TX91V5739,15,8104,78,107,158,6.5,98,4
IDAHO,ABERDEEN,2,KS89H48-1,28,7922,79.3,112,158,8,95,4.5
IDAHO,ABERDEEN,2,XH1529,37,7919,79.7,108,158,8,97,4
IDAHO,ABERDEEN,2,TX88A6480,8,7838,78.4,99,160,7.5,97,4
IDAHO,ABERDEEN,2,T4731,42,7828,74.9,102,160,8.3,97,5
IDAHO,ABERDEEN,2,NE90524,32,7761,79.7,126,162,8,94,4
IDAHO,ABERDEEN,2,TX91V4931,12,7646,82.8,110,158,7,96,3.5
IDAHO,ABERDEEN,2,NE90574,33,7347,77.5,117,162,8,92,3
IDAHO,ABERDEEN,2,KS92P0425-155,27,7068,77.9,93,163,8,98,3.5
IDAHO,ABERDEEN,2,TX90V8410,13,6944,79.9,104,159,8,97,4
IDAHO,ABERDEEN,2,NE90479,31,6335,80.1,105,160,8.3,95,5
IDAHO,ABERDEEN,2,Scout66,2,5636,78.4,121,158,8.8,97,4.5
IDAHO,ABERDEEN,2,Kharkof,1,5057,78.8,121,166,9,97,4
