state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,leaf sev (%),rust resp (0-9)
South Dakota,Brookings,3 replications,CI1442,1,1283,68.9,104,168,,5
South Dakota,Brookings,3 replications,CI13996,2,2772,73.8,92,167,,4
South Dakota,Brookings,3 replications,PI495594,3,2128,67.2,67,164,,6
South Dakota,Brookings,3 replications,OK88767-11,4,2083,71,83,165,,3
South Dakota,Brookings,3 replications,OK88767-02,5,2315,69.9,83,163,,3
South Dakota,Brookings,3 replications,OK88767-15,6,2238,62.7,77,165,,4
South Dakota,Brookings,3 replications,OK88767-24,7,1927,71.2,80,161,,3
South Dakota,Brookings,3 replications,TX88A6480,8,2792,71.8,87,160,,4
South Dakota,Brookings,3 replications,TX88A6533,9,2911,72.7,88,161,,5
South Dakota,Brookings,3 replications,TX90D9277,10,1492,68.3,82,159,,8
South Dakota,Brookings,3 replications,TX89A7137,11,2630,72.7,101,169,,3
South Dakota,Brookings,3 replications,TX91V4931,12,2698,71.6,99,168,,3
South Dakota,Brookings,3 replications,TX90V8410,13,3203,70.1,85,165,,3
South Dakota,Brookings,3 replications,TX9OV7911,14,2890,74.3,99,167,,4
South Dakota,Brookings,3 replications,TX91V5739,15,2519,68.1,94,166,,5
South Dakota,Brookings,3 replications,TX91V3308,16,1775,66.7,88,166,,3
South Dakota,Brookings,3 replications,TX89A7141,17,2262,65.6,77,161,,4
South Dakota,Brookings,3 replications,C0880054,18,2835,72.7,78,163,,5
South Dakota,Brookings,3 replications,CO880169,19,2784,71.2,74,164,,5
South Dakota,Brookings,3 replications,CO88021,20,2399,70.7,66,161,,5
South Dakota,Brookings,3 replications,CO880240,21,2290,71.4,70,165,,4
South Dakota,Brookings,3 replications,KS831374-142,22,2750,73.8,71,164,,4
South Dakota,Brookings,3 replications,KS84063-9-7,23,2847,72.3,77,160,,5
South Dakota,Brookings,3 replications,KS92PO59E,24,3220,73.4,86,162,,4
South Dakota,Brookings,3 replications,KS92PO263-137,25,1310,62.3,77,166,,4
South Dakota,Brookings,3 replications,KS92PO363-134,26,973,60.5,75,165,,5
South Dakota,Brookings,3 replications,KS92PO425-155,27,2081,65.9,80,165,,3
South Dakota,Brookings,3 replications,KS89H48-1,28,3672,72.8,80,164,,3
South Dakota,Brookings,3 replications,N87V106,29,1125,64.5,68,164,,6
South Dakota,Brookings,3 replications,NE88584,30,1472,67,57,162,,6
South Dakota,Brookings,3 replications,NE90479,31,1774,67.4,64,165,,7
South Dakota,Brookings,3 replications,NE90524,32,1689,68.9,89,166,,5
South Dakota,Brookings,3 replications,NE90574,33,216,55.2,69,168,,6
South Dakota,Brookings,3 replications,XH1455,34,1139,62.3,98,167,,5
South Dakota,Brookings,3 replications,XH1485,35,622,61.6,93,168,,6
South Dakota,Brookings,3 replications,XH1520,36,,,,,,
South Dakota,Brookings,3 replications,XH1529,37,,,,,,
South Dakota,Brookings,3 replications,XH1610,38,,,,,,
South Dakota,Brookings,3 replications,W87-017-44,39,,,,,,
South Dakota,Brookings,3 replications,WI89-055,40,,,,,,
South Dakota,Brookings,3 replications,T13,41,,,,,,
South Dakota,Brookings,3 replications,T4731,42,,,,,,
South Dakota,Brookings,3 replications,T70,43,,,,,,
South Dakota,Brookings,3 replications,T64,44,,,,,,
South Dakota,Brookings,3 replications,TH905,45,,,,,,
