state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,days to heading from 1/1,leaf sev. %,rust resp 0-9
S. DAKOTA,BROOKINGS,3,XNH1687,28,3672,72.8,80,163,,3
S. DAKOTA,BROOKINGS,3,NE88588,24,3220,73.4,86,162,,4
S. DAKOTA,BROOKINGS,3,ND8955,13,3203,70.1,85,165,,3
S. DAKOTA,BROOKINGS,3,SD89119,9,2911,72.7,88,161,,5
S. DAKOTA,BROOKINGS,3,ND89142,14,2890,74.3,99,167,,4
S. DAKOTA,BROOKINGS,3,NE88595,23,2847,72.3,77,160,,5
S. DAKOTA,BROOKINGS,3,NE89526,18,2835,72.7,78,163,,5
S. DAKOTA,BROOKINGS,3,SD88231,8,2792,71.8,87,160,,4
S. DAKOTA,BROOKINGS,3,NE89657,19,2784,71.2,74,164,,5
S. DAKOTA,BROOKINGS,3,Roughrider,2,2772,73.8,92,167,,4
S. DAKOTA,BROOKINGS,3,NE88526,22,2750,73.8,71,164,,4
S. DAKOTA,BROOKINGS,3,ND8933,12,2698,71.6,99,168,,3
S. DAKOTA,BROOKINGS,3,ND8930,11,2630,72.7,101,169,,3
S. DAKOTA,BROOKINGS,3,ND8889,15,2519,68.1,94,166,,5
S. DAKOTA,BROOKINGS,3,NE87615,20,2399,70.7,66,161,,5
S. DAKOTA,BROOKINGS,3,SD87143,5,2315,69.9,83,163,,3
S. DAKOTA,BROOKINGS,3,NE90625,21,2290,71.4,70,165,,4
S. DAKOTA,BROOKINGS,3,NE89522,17,2262,65.6,77,161,,4
S. DAKOTA,BROOKINGS,3,SD89204,6,2238,62.7,77,165,,4
S. DAKOTA,BROOKINGS,3,Abilene,3,2128,67.2,67,164,,6
S. DAKOTA,BROOKINGS,3,SD88201,4,2083,71,83,165,,3
S. DAKOTA,BROOKINGS,3,XNH1650,27,2081,65.9,80,165,,3
S. DAKOTA,BROOKINGS,3,SD89102,7,1927,71.2,80,161,,3
S. DAKOTA,BROOKINGS,3,ND90109,16,1775,66.7,88,166,,3
S. DAKOTA,BROOKINGS,3,MT8713,31,1774,67.4,64,165,,7
S. DAKOTA,BROOKINGS,3,MT8719,32,1689,68.9,89,166,,5
S. DAKOTA,BROOKINGS,3,SD89333,10,1492,68.3,82,159,,8
S. DAKOTA,BROOKINGS,3,WI88-083,30,1472,67,57,162,,6
S. DAKOTA,BROOKINGS,3,XNH1643,25,1310,62.3,77,166,,4
S. DAKOTA,BROOKINGS,3,Kharkof,1,1283,68.9,104,168,,5
S. DAKOTA,BROOKINGS,3,W-198,34,1139,62.3,98,167,,5
S. DAKOTA,BROOKINGS,3,XNH1712,29,1125,64.5,68,164,,6
S. DAKOTA,BROOKINGS,3,XNH1648,26,973,60.5,75,165,,5
S. DAKOTA,BROOKINGS,3,W-235,35,622,61.6,93,168,,6
S. DAKOTA,BROOKINGS,3,IDO426,33,216,55.2,69,168,,6
