state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days from heading 1/1,lodging (0-9)
South Dakota,Pierre,3 replications,CI1442,1,2765,72.8,103,160,6.7
South Dakota,Pierre,3 replications,CI13996,2,3518,75.2,105,159,4.3
South Dakota,Pierre,3 replications,PI495594,3,5545,73.8,87,153,5.3
South Dakota,Pierre,3 replications,OK88767-11,4,4237,74.3,101,160,5.7
South Dakota,Pierre,3 replications,OK88767-02,5,4939,74.7,103,153,4.3
South Dakota,Pierre,3 replications,OK88767-15,6,4600,69.2,96,154,7.3
South Dakota,Pierre,3 replications,OK88767-24,7,5568,78.1,99,152,5.3
South Dakota,Pierre,3 replications,TX88A6480,8,4948,75.8,102,152,6
South Dakota,Pierre,3 replications,TX88A6533,9,4858,76.5,100,154,6.7
South Dakota,Pierre,3 replications,TX90D9277,10,4744,74.1,108,153,5.7
South Dakota,Pierre,3 replications,TX89A7137,11,3186,75.8,103,162,3.3
South Dakota,Pierre,3 replications,TX91V4931,12,3682,73.2,104,162,3
South Dakota,Pierre,3 replications,TX90V8410,13,4766,72.3,97,157,4
South Dakota,Pierre,3 replications,TX9OV7911,14,3268,75.4,98,160,4.3
South Dakota,Pierre,3 replications,TX91V5739,15,3636,71.2,102,159,7
South Dakota,Pierre,3 replications,TX91V3308,16,4208,74.1,102,160,5.3
South Dakota,Pierre,3 replications,TX89A7141,17,5751,71.4,103,153,6
South Dakota,Pierre,3 replications,C0880054,18,6124,74.5,97,154,2.7
South Dakota,Pierre,3 replications,CO880169,19,5939,74.1,107,153,5
South Dakota,Pierre,3 replications,CO88021,20,5072,70.7,91,154,6
South Dakota,Pierre,3 replications,CO880240,21,5295,73,100,155,3.3
South Dakota,Pierre,3 replications,KS831374-142,22,5655,74.8,104,153,3
South Dakota,Pierre,3 replications,KS84063-9-7,23,4901,71.2,95,152,6
South Dakota,Pierre,3 replications,KS92PO59E,24,4744,74.3,102,151,4.7
South Dakota,Pierre,3 replications,KS92PO263-137,25,4531,70.5,96,158,2.7
South Dakota,Pierre,3 replications,KS92PO363-134,26,4367,69.4,100,157,3
South Dakota,Pierre,3 replications,KS92PO425-155,27,5387,71.2,100,157,2.7
South Dakota,Pierre,3 replications,KS89H48-1,28,5728,73.9,102,155,4
South Dakota,Pierre,3 replications,N87V106,29,5402,71.3,98,155,3
South Dakota,Pierre,3 replications,NE88584,30,5859,73.6,90,152,4.3
South Dakota,Pierre,3 replications,NE90479,31,5122,74.1,97,157,2
South Dakota,Pierre,3 replications,NE90524,32,2346,70.5,105,161,4.3
South Dakota,Pierre,3 replications,NE90574,33,2712,67.4,90,160,3.7
South Dakota,Pierre,3 replications,XH1455,34,3526,71.4,99,162,3
South Dakota,Pierre,3 replications,XH1485,35,2347,70.8,100,161,6
South Dakota,Pierre,3 replications,XH1520,36,,,,,
South Dakota,Pierre,3 replications,XH1529,37,,,,,
South Dakota,Pierre,3 replications,XH1610,38,,,,,
South Dakota,Pierre,3 replications,W87-017-44,39,,,,,
South Dakota,Pierre,3 replications,WI89-055,40,,,,,
South Dakota,Pierre,3 replications,T13,41,,,,,
South Dakota,Pierre,3 replications,T4731,42,,,,,
South Dakota,Pierre,3 replications,T70,43,,,,,
South Dakota,Pierre,3 replications,T64,44,,,,,
South Dakota,Pierre,3 replications,TH905,45,,,,,
