state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,days to heading from 1/1,lodging 0-9
S. DAKOTA,PIERRE,3,NE89526,18,6124,74.5,97,154,2.7
S. DAKOTA,PIERRE,3,NE89657,19,5939,74.1,107,153,5
S. DAKOTA,PIERRE,3,WI88-083,30,5859,73.6,90,152,4.3
S. DAKOTA,PIERRE,3,NE89522,17,5751,71.4,103,153,6
S. DAKOTA,PIERRE,3,XNH1687,28,5728,73.9,102,155,4
S. DAKOTA,PIERRE,3,NE88526,22,5655,74.8,104,153,3
S. DAKOTA,PIERRE,3,SD89102,7,5568,78.1,99,152,5.3
S. DAKOTA,PIERRE,3,Abilene,3,5545,73.8,87,153,5.3
S. DAKOTA,PIERRE,3,XNH1712,29,5402,71.2,98,155,3
S. DAKOTA,PIERRE,3,XNH1650,27,5387,71.2,100,157,2.7
S. DAKOTA,PIERRE,3,NE90625,21,5295,73,100,155,3.3
S. DAKOTA,PIERRE,3,MT8713,31,5122,74.1,97,157,2
S. DAKOTA,PIERRE,3,NE87615,20,5072,70.7,91,154,6
S. DAKOTA,PIERRE,3,SD88231,8,4948,75.8,102,152,6
S. DAKOTA,PIERRE,3,SD87143,5,4939,74.7,103,153,4.3
S. DAKOTA,PIERRE,3,NE88595,23,4901,71.2,95,152,6
S. DAKOTA,PIERRE,3,SD89119,9,4858,76.5,100,154,6.7
S. DAKOTA,PIERRE,3,ND8955,13,4766,72.3,97,157,4
S. DAKOTA,PIERRE,3,SD89333,10,4744,74.1,108,153,5.7
S. DAKOTA,PIERRE,3,NE88588,24,4744,74.3,102,151,4.7
S. DAKOTA,PIERRE,3,SD89204,6,4600,69.2,96,154,7.3
S. DAKOTA,PIERRE,3,XNH1643,25,4531,70.5,96,158,2.7
S. DAKOTA,PIERRE,3,XNH1648,26,4367,69.4,100,157,3
S. DAKOTA,PIERRE,3,SD88201,4,4237,74.3,101,160,5.7
S. DAKOTA,PIERRE,3,ND90109,16,4208,74.1,102,160,5.3
S. DAKOTA,PIERRE,3,ND8933,12,3682,73.2,104,162,3
S. DAKOTA,PIERRE,3,ND8889,15,3636,71.2,102,150,7
S. DAKOTA,PIERRE,3,W-198,34,3526,71.4,99,162,3
S. DAKOTA,PIERRE,3,Roughrider,2,3518,75.2,105,159,4.3
S. DAKOTA,PIERRE,3,NE89142,14,3268,75.4,98,160,4.3
S. DAKOTA,PIERRE,3,ND8930,11,3186,75.8,103,162,3.3
S. DAKOTA,PIERRE,3,Kharkof,1,2765,72.8,103,160,6.7
S. DAKOTA,PIERRE,3,IDO426,33,2712,67.4,90,160,3.7
S. DAKOTA,PIERRE,3,W-235,35,2346,70.8,100,161,6
S. DAKOTA,PIERRE,3,MT8719,32,2346,70.5,105,161,4.3
