state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height  cm,lodging %
NEW MEXICO,FARMINGTON,4,TX88A6533,9,8402,78,97,58
NEW MEXICO,FARMINGTON,4,TAM-107,3,8231,77.2,99,68
NEW MEXICO,FARMINGTON,4,TX89A7137,11,8097,76.8,95,50
NEW MEXICO,FARMINGTON,4,TX89A7141,17,8060,77.4,91,58
NEW MEXICO,FARMINGTON,4,WI89-055,4,7816,79,91,25
NEW MEXICO,FARMINGTON,4,TX90V8410,13,7413,76.9,95,100
NEW MEXICO,FARMINGTON,4,T13,41,7047,76.9,97,73
NEW MEXICO,FARMINGTON,4,XH1529,37,6705,78.7,90,38
NEW MEXICO,FARMINGTON,4,OK88767-24,7,6644,77.2,94,10
NEW MEXICO,FARMINGTON,4,T70,43,6631,77.6,101,93
NEW MEXICO,FARMINGTON,4,CO880210,20,6497,76.9,97,88
NEW MEXICO,FARMINGTON,4,TX91V3308,16,6460,75.9,102,45
NEW MEXICO,FARMINGTON,4,CO880054,18,6363,76.8,96,53
NEW MEXICO,FARMINGTON,4,XH1520,36,6351,76.6,104,68
NEW MEXICO,FARMINGTON,4,KS92PO263-137,25,6155,76.9,102,56
NEW MEXICO,FARMINGTON,4,NE90524,32,6021,77.6,101,65
NEW MEXICO,FARMINGTON,4,TX88A6480,8,5996,76.6,100,70
NEW MEXICO,FARMINGTON,4,KS89H48-1,28,5838,76.8,102,69
NEW MEXICO,FARMINGTON,4,XH1485,35,5825,77.7,97,79
NEW MEXICO,FARMINGTON,4,KS92PO59E,24,5801,74.5,93,60
NEW MEXICO,FARMINGTON,4,OK88767-11,4,5752,78.2,91,13
NEW MEXICO,FARMINGTON,4,NE88584,30,5740,77.1,100,65
NEW MEXICO,FARMINGTON,4,TX91V4931,12,5703,78.2,91,63
NEW MEXICO,FARMINGTON,4,KS92PO363-134,26,5630,75.5,93,25
NEW MEXICO,FARMINGTON,4,TH905,45,5618,75.6,98,50
NEW MEXICO,FARMINGTON,4,XH1610,38,5581,76.3,102,65
NEW MEXICO,FARMINGTON,4,KS84063-9-7,23,5520,76.8,102,40
NEW MEXICO,FARMINGTON,4,T4731,42,5496,74.3,95,63
NEW MEXICO,FARMINGTON,4,XH1455,34,5471,77.1,99,90
NEW MEXICO,FARMINGTON,4,W87-017-44,39,5410,77.4,100,10
NEW MEXICO,FARMINGTON,4,KS92PO425-155,27,5386,75.9,92,93
NEW MEXICO,FARMINGTON,4,CO880240,21,5374,75.6,100,83
NEW MEXICO,FARMINGTON,4,KS831374-142,22,5190,76.6,93,50
NEW MEXICO,FARMINGTON,4,NE90479,31,5129,77.9,94,65
NEW MEXICO,FARMINGTON,4,TX90V7911,14,5093,77.9,93,50
NEW MEXICO,FARMINGTON,4,TX90D9277,10,5044,75.5,102,55
NEW MEXICO,FARMINGTON,4,CO880169,19,4995,76.1,102,73
NEW MEXICO,FARMINGTON,4,N87V106,29,4983,75.8,107,55
NEW MEXICO,FARMINGTON,4,TX91V5739,15,4934,76.3,83,10
NEW MEXICO,FARMINGTON,4,OK88767-02,5,4775,76.4,93,8
NEW MEXICO,FARMINGTON,4,T64,44,4690,77.4,97,53
NEW MEXICO,FARMINGTON,4,OK88767-15,6,4629,76.6,89,0
NEW MEXICO,FARMINGTON,4,NE90574,33,4629,75.9,102,93
NEW MEXICO,FARMINGTON,4,Scout66,2,4250,76.9,107,98
NEW MEXICO,FARMINGTON,4,Kharkof,1,3151,76.4,102,90
