state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,days to heading from 1/1,lodging %
TEXAS,BUSHLAND (IRR.),3,XH1529,37,8393,82.6,,,
TEXAS,BUSHLAND (IRR.),3,TX90V8410,13,8323,81.3,,,
TEXAS,BUSHLAND (IRR.),3,KS92PO425-155,27,8081,65.8,,,
TEXAS,BUSHLAND (IRR.),3,TX90V7911,14,8009,81.3,,,
TEXAS,BUSHLAND (IRR.),3,TX88A6533,9,7960,81.3,,,
TEXAS,BUSHLAND (IRR.),3,XH1485,35,7855,80,,,
TEXAS,BUSHLAND (IRR.),3,XH1520,36,7835,78.7,,,
TEXAS,BUSHLAND (IRR.),3,TX91V4931,12,7810,82.6,,,
TEXAS,BUSHLAND (IRR.),3,KS92PO59E,4,7678,77.4,,,
TEXAS,BUSHLAND (IRR.),3,XH1610,38,7660,78.7,,,
TEXAS,BUSHLAND (IRR.),3,TX88A6480,8,7658,81.3,,,
TEXAS,BUSHLAND (IRR.),3,XH1445,34,7505,80,,,
TEXAS,BUSHLAND (IRR.),3,CO880210,20,7357,8.7,,,
TEXAS,BUSHLAND (IRR.),3,TX89A7141,17,7346,78.7,,,
TEXAS,BUSHLAND (IRR.),3,WI89-055,40,7303,81.3,,,
TEXAS,BUSHLAND (IRR.),3,T64,44,7294,78.7,,,
TEXAS,BUSHLAND (IRR.),3,TX89A7137,11,7243,78.7,,,
TEXAS,BUSHLAND (IRR.),3,CO880169,19,7241,78.7,,,
TEXAS,BUSHLAND (IRR.),3,NE90524,32,7216,81.3,,,
TEXAS,BUSHLAND (IRR.),3,NE90479,31,7207,81.3,,,
TEXAS,BUSHLAND (IRR.),3,T70,43,7176,80,,,
TEXAS,BUSHLAND (IRR.),3,KS89H48-1,28,7113,80,,,
TEXAS,BUSHLAND (IRR.),3,TX91V5739,15,7032,80,,,
TEXAS,BUSHLAND (IRR.),3,NE90574,33,6864,77.4,,,
TEXAS,BUSHLAND (IRR.),3,NE88584,30,6855,80,,,
TEXAS,BUSHLAND (IRR.),3,KS92PO263-137,25,6772,80,,,
TEXAS,BUSHLAND (IRR.),3,TAM-107,3,6747,78.7,,,
TEXAS,BUSHLAND (IRR.),3,T13,41,6662,77.4,,,
TEXAS,BUSHLAND (IRR.),3,TX91V3308,16,6638,77.4,,,
TEXAS,BUSHLAND (IRR.),3,T4731,42,6620,74.8,,,
TEXAS,BUSHLAND (IRR.),3,W87-017-44,39,6534,81.3,,,
TEXAS,BUSHLAND (IRR.),3,CO880240,21,6478,78.7,,,
TEXAS,BUSHLAND (IRR.),3,OK88767-24,7,6434,80,,,
TEXAS,BUSHLAND (IRR.),3,KS831374-142,22,6431,78.7,,,
TEXAS,BUSHLAND (IRR.),3,OK88767-11,4,6389,80,,,
TEXAS,BUSHLAND (IRR.),3,TH905,45,6344,77.4,,,
TEXAS,BUSHLAND (IRR.),3,Scout66,2,6185,81.3,,,
TEXAS,BUSHLAND (IRR.),3,KS84063-9-7,23,6149,78.7,,,
TEXAS,BUSHLAND (IRR.),3,OK88767-15,6,6068,80,,,
TEXAS,BUSHLAND (IRR.),3,N87V106,29,6055,78.7,,,
TEXAS,BUSHLAND (IRR.),3,KS92PO363-134,26,6030,77.4,,,
TEXAS,BUSHLAND (IRR.),3,TX90D9277,10,6026,77.4,,,
TEXAS,BUSHLAND (IRR.),3,CO880054,18,6021,80,,,
TEXAS,BUSHLAND (IRR.),3,OK88767-02,5,5833,80,,,
TEXAS,BUSHLAND (IRR.),3,Kharkof,1,4252,76.1,,,
