state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,days to heading form 1/1
TEXAS,CHILLICOTHE,3,TX91V3308,16,5671,76.3,81,119
TEXAS,CHILLICOTHE,3,XH1529,37,5671,78.3,76,116
TEXAS,CHILLICOTHE,3,KS84063-9-7,23,5436,79.2,89,120
TEXAS,CHILLICOTHE,3,TX91V5739,15,5349,78,89,116
TEXAS,CHILLICOTHE,3,TX90V7911,14,5239,79.5,84,123
TEXAS,CHILLICOTHE,3,KS92PO425-155,27,5216,74.9,74,120
TEXAS,CHILLICOTHE,3,XH1455,34,5194,79.8,86,117
TEXAS,CHILLICOTHE,3,KS92PO263-137,25,5163,78.7,82,120
TEXAS,CHILLICOTHE,3,NE0524,32,5122,79.3,95,120
TEXAS,CHILLICOTHE,3,XH1520,36,5035,78.6,84,117
TEXAS,CHILLICOTHE,3,OK88767-11,4,4997,77.7,72,115
TEXAS,CHILLICOTHE,3,TX90D9277,10,4988,77.4,83,120
TEXAS,CHILLICOTHE,3,KS92PO59E,24,4927,76.8,81,119
TEXAS,CHILLICOTHE,3,W87-017-44,39,4833,78.9,81,121
TEXAS,CHILLICOTHE,3,KS831374-142,22,4826,77.7,75,116
TEXAS,CHILLICOTHE,3,KS92PO363-134,26,4817,77.9,83,120
TEXAS,CHILLICOTHE,3,WI89-055,40,4811,78.9,75,119
TEXAS,CHILLICOTHE,3,TX91V4931,12,4797,82,76,117
TEXAS,CHILLICOTHE,3,XH1610,38,4748,77.4,81,117
TEXAS,CHILLICOTHE,3,N87V106,29,4723,78.6,87,118
TEXAS,CHILLICOTHE,3,TX90V8410,13,4721,77.3,77,118
TEXAS,CHILLICOTHE,3,OK88767-24,7,4716,78.9,69,115
TEXAS,CHILLICOTHE,3,TX89A7141,17,4656,74.9,77,116
TEXAS,CHILLICOTHE,3,OK88767-15,6,4651,78.9,66,116
TEXAS,CHILLICOTHE,3,TX89A7137,11,4640,75.9,77,117
TEXAS,CHILLICOTHE,3,T4731,42,4636,73,79,119
TEXAS,CHILLICOTHE,3,OK88767-02,5,4620,78.8,73,116
TEXAS,CHILLICOTHE,3,XH1485,35,4618,77.6,84,119
TEXAS,CHILLICOTHE,3,CO880054,18,4582,75.1,79,119
TEXAS,CHILLICOTHE,3,TH905,45,4553,77,84,117
TEXAS,CHILLICOTHE,3,NE90479,31,4548,79.9,89,124
TEXAS,CHILLICOTHE,3,KS89H48-1,28,4492,78.5,88,124
TEXAS,CHILLICOTHE,3,CO880210,20,4474,75.9,79,119
TEXAS,CHILLICOTHE,3,CO880169,19,4432,77.1,86,119
TEXAS,CHILLICOTHE,3,TX88A6480,8,4430,76.1,74,117
TEXAS,CHILLICOTHE,3,T70,43,4400,77.8,76,118
TEXAS,CHILLICOTHE,3,NE88584,30,4356,78.6,95,120
TEXAS,CHILLICOTHE,3,T64,44,4268,77.7,87,121
TEXAS,CHILLICOTHE,3,NE90574,33,4199,75.6,91,124
TEXAS,CHILLICOTHE,3,CO880240,21,4185,76.7,89,127
TEXAS,CHILLICOTHE,3,TAM-107,3,4055,74.2,73,115
TEXAS,CHILLICOTHE,3,Scout66,2,3916,79.3,103,124
TEXAS,CHILLICOTHE,3,T13,41,3818,73.7,80,124
TEXAS,CHILLICOTHE,3,TX88A6533,9,3795,75.7,73,124
TEXAS,CHILLICOTHE,3,Kharkof,1,3002,78.3,105,132
