state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,leaf sev. (%),rust resp. (0-9),BYDV (0-9)
Texas,Prosper,3 replications,CI1442,1,1955,69.7,108,124,97,8,3.7
Texas,Prosper,3 replications,CI13996,2,3605,70.4,114,122,93,8,2
Texas,Prosper,3 replications,PI495594,3,4131,69.3,88,103,97,8,2
Texas,Prosper,3 replications,OK88767-11,4,4699,73,87,102,17,5,1.7
Texas,Prosper,3 replications,OK88767-02,5,4172,72.6,92,105,4,2,1.7
Texas,Prosper,3 replications,OK88767-15,6,4423,72.6,86,104,0,2,2
Texas,Prosper,3 replications,OK88767-24,7,4663,73,86,103,8,5,2.3
Texas,Prosper,3 replications,TX88A6480,8,4172,68.4,83,102,93,8,1.7
Texas,Prosper,3 replications,TX88A6533,9,3551,69.1,84,115,97,8,1.7
Texas,Prosper,3 replications,TX90D9277,10,4900,71.1,94,109,2,2,3
Texas,Prosper,3 replications,TX89A7137,11,4158,69.8,88,103,83,8,2.3
Texas,Prosper,3 replications,TX91V4931,12,4761,73.7,88,108,97,8,2.7
Texas,Prosper,3 replications,TX90V8410,13,4167,69.3,88,109,33,7,1
Texas,Prosper,3 replications,TX9OV7911,14,3827,68.6,102,118,12,3,2.7
Texas,Prosper,3 replications,TX91V5739,15,4243,69.5,98,105,1,2,2
Texas,Prosper,3 replications,TX91V3308,16,4342,69.3,88,105,17,3,1
Texas,Prosper,3 replications,TX89A7141,17,4255,70,92,103,97,8,1.7
Texas,Prosper,3 replications,C0880054,18,3959,68.4,89,108,53,7,2.7
Texas,Prosper,3 replications,CO880169,19,4017,70.7,95,110,77,8,1.7
Texas,Prosper,3 replications,CO88021,20,4208,69.7,89,106,67,8,2.3
Texas,Prosper,3 replications,CO880240,21,3275,69.8,97,119,73,8,2
Texas,Prosper,3 replications,KS831374-142,22,4725,72.4,87,106,93,8,1
Texas,Prosper,3 replications,KS84063-9-7,23,4317,71.6,93,111,2,2,1.7
Texas,Prosper,3 replications,KS92PO59E,24,4598,69,88,109,27,7,0.7
Texas,Prosper,3 replications,KS92PO263-137,25,4829,71.3,87,110,30,5,0.7
Texas,Prosper,3 replications,KS92PO363-134,26,4651,71.1,88,110,0,2,1
Texas,Prosper,3 replications,KS92PO425-155,27,4817,70.7,83,110,50,8,1
Texas,Prosper,3 replications,KS89H48-1,28,4071,70.7,101,119,90,8,1
Texas,Prosper,3 replications,N87V106,29,4450,71.1,91,108,37,7,1
Texas,Prosper,3 replications,NE88584,30,3484,69.4,105,113,33,7,1.7
Texas,Prosper,3 replications,NE90479,31,3714,70.8,103,118,67,8,0.7
Texas,Prosper,3 replications,NE90524,32,4553,70.8,101,110,23,5,1
Texas,Prosper,3 replications,NE90574,33,3764,67.9,101,119,87,8,0.7
Texas,Prosper,3 replications,XH1455,34,4672,72.5,90,108,40,8,1.7
Texas,Prosper,3 replications,XH1485,35,4161,71.1,93,110,93,8,1
Texas,Prosper,3 replications,XH1520,36,4535,73,92,106,50,8,0.7
Texas,Prosper,3 replications,XH1529,37,5100,72.8,90,103,20,8,1
Texas,Prosper,3 replications,XH1610,38,4488,71,93,107,20,8,1.7
Texas,Prosper,3 replications,W87-017-44,39,4158,71.2,91,116,7,3,3
Texas,Prosper,3 replications,WI89-055,40,4642,72.9,85,109,13,7,1.3
Texas,Prosper,3 replications,T13,41,3015,70.8,93,119,97,8,2.7
Texas,Prosper,3 replications,T4731,42,4127,67,87,109,93,8,2
Texas,Prosper,3 replications,T70,43,3791,71.6,83,108,67,8,3
Texas,Prosper,3 replications,T64,44,3515,70.2,91,116,57,7,1.3
Texas,Pre,3 replications,TH905,45,4170,70.8,98,106,40,7,2.7
