state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,lodging (%)
New Mexico,Clovis (Irr.),3 replications,CI1442,1,3561,73.9,88,123,1
New Mexico,Clovis (Irr.),3 replications,CI13996,2,2274,72.1,65,124,0
New Mexico,Clovis (Irr.),3 replications,PI495594,3,3097,73.3,58,123,0
New Mexico,Clovis (Irr.),3 replications,OK88767-11,4,3446,73.4,64,121,0
New Mexico,Clovis (Irr.),3 replications,OK88767-02,5,3385,72.5,69,123,0
New Mexico,Clovis (Irr.),3 replications,OK90604,6,3714,74,65,121,0
New Mexico,Clovis (Irr.),3 replications,OK90649,7,3029,73.1,73,121,0
New Mexico,Clovis (Irr.),3 replications,OK91783,8,3848,71.7,64,124,0
New Mexico,Clovis (Irr.),3 replications,HBZ374C,9,4522,76,69,129,0
New Mexico,Clovis (Irr.),3 replications,TX90D9277,10,4009,68.5,78,122,0
New Mexico,Clovis (Irr.),3 replications,TX89A7137,11,3725,71.4,66,122,0
New Mexico,Clovis (Irr.),3 replications,TX91V4931,12,4392,76.2,64,121,0
New Mexico,Clovis (Irr.),3 replications,TX90V8410,13,3507,73.1,64,122,0
New Mexico,Clovis (Irr.),3 replications,TX90V7911,14,3618,73.6,65,119,0
New Mexico,Clovis (Irr.),3 replications,TX91V3308,15,3936,72.3,66,126,0
New Mexico,Clovis (Irr.),3 replications,TX89A7141,16,3297,71,66,121,0
New Mexico,Clovis (Irr.),3 replications,TX90V6313,17,3431,73.1,60,123,3
New Mexico,Clovis (Irr.),3 replications,TX92V4135,18,2431,71.6,61,123,0
New Mexico,Clovis (Irr.),3 replications,HBE0726-1,19,5433,71.9,65,129,0
New Mexico,Clovis (Irr.),3 replications,CO880169,20,4491,72.3,62,122,0
New Mexico,Clovis (Irr.),3 replications,CO880210,21,4242,72.9,73,123,2
New Mexico,Clovis (Irr.),3 replications,CO910927,22,3844,73.5,63,127,0
New Mexico,Clovis (Irr.),3 replications,KS92PO59E,23,3538,73.7,75,123,0
New Mexico,Clovis (Irr.),3 replications,KS92PO263-137,24,4575,73.3,65,123,0
New Mexico,Clovis (Irr.),3 replications,KS92PO363-134,25,5318,72.9,74,124,0
New Mexico,Clovis (Irr.),3 replications,KS92PO425-155,26,4058,70.7,71,129,0
New Mexico,Clovis (Irr.),3 replications,KS84063-9-39-3,27,4981,73.5,66,124,0
New Mexico,Clovis (Irr.),3 replications,KS93U206,28,3905,73.5,63,124,0
New Mexico,Clovis (Irr.),3 replications,N87V106,29,3231,71.3,64,127,0
New Mexico,Clovis (Irr.),3 replications,NE90479,30,2638,72.5,76,127,0
New Mexico,Clovis (Irr.),3 replications,NE90524,31,4185,74.9,66,126,0
New Mexico,Clovis (Irr.),3 replications,NE91608,32,3909,70.7,64,125,0
New Mexico,Clovis (Irr.),3 replications,NE91635,33,2508,70,68,126,0
New Mexico,Clovis (Irr.),3 replications,NE91651,34,4281,71.2,64,123,0
New Mexico,Clovis (Irr.),3 replications,XH1520,35,4820,73.3,69,126,0
New Mexico,Clovis (Irr.),3 replications,XH1529,36,4411,74.9,64,123,
New Mexico,Clovis (Irr.),3 replications,XH1689,37,3829,72.9,66,122,0
New Mexico,Clovis (Irr.),3 replications,XH1693,38,4977,75.5,70,123,0
New Mexico,Clovis (Irr.),3 replications,XH1706,39,6168,74.8,74,123,0
New Mexico,Clovis (Irr.),3 replications,WI89-273-13,40,4506,72.7,58,123,0
New Mexico,Clovis (Irr.),3 replications,WI89-189-14,41,3404,72.3,58,125,0
New Mexico,Clovis (Irr.),3 replications,T4731,42,3239,66.6,64,122,0
New Mexico,Clovis (Irr.),3 replications,T4732,43,3013,71.3,68,119,0
New Mexico,Clovis (Irr.),3 replications,T81,44,3898,73.9,64,121,0
New Mexico,Clovis (Irr.),3 replications,T83,45,2726,69.4,62,123,0
