state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),lodging (%),grn leaf duration (0-9)
Kansas,Hutchinson,3 replications,CI1442,1,2024,71.1,108,100,7
Kansas,Hutchinson,3 replications,CI13996,2,2415,73.4,106,97,9
Kansas,Hutchinson,3 replications,PI495594,3,3548,75.4,82,0,9
Kansas,Hutchinson,3 replications,OK88767-11,4,3789,77.9,78,0,8
Kansas,Hutchinson,3 replications,OK88767-02,5,3665,80.2,76,0,6
Kansas,Hutchinson,3 replications,OK90604,6,3652,78,78,0,7
Kansas,Hutchinson,3 replications,OK90649,7,3450,77.6,83,0,8
Kansas,Hutchinson,3 replications,OK91783,8,3177,76.3,81,0,5
Kansas,Hutchinson,3 replications,HBZ374C,9,3698,78.2,83,0,4
Kansas,Hutchinson,3 replications,TX90D9277,10,3352,74.5,81,0,7
Kansas,Hutchinson,3 replications,TX89A7137,11,3060,75.4,80,0,8
Kansas,Hutchinson,3 replications,TX91V4931,12,3561,78.3,77,0,8
Kansas,Hutchinson,3 replications,TX90V8410,13,3326,73.7,79,0,6
Kansas,Hutchinson,3 replications,TX90V7911,14,3372,77.2,80,0,6
Kansas,Hutchinson,3 replications,TX91V3308,15,3307,76.5,79,0,7
Kansas,Hutchinson,3 replications,TX89A7141,16,3294,78,77,0,9
Kansas,Hutchinson,3 replications,TX90V6313,17,3379,75.4,76,0,9
Kansas,Hutchinson,3 replications,TX92V4135,18,2897,77.4,70,0,8
Kansas,Hutchinson,3 replications,HBE0726-1,19,3222,71.6,76,0,8
Kansas,Hutchinson,3 replications,CO880169,20,3209,70.1,82,0,9
Kansas,Hutchinson,3 replications,CO880210,21,3567,75.3,81,0,8
Kansas,Hutchinson,3 replications,CO910927,22,3131,76.6,77,0,9
Kansas,Hutchinson,3 replications,KS92PO59E,23,3385,70.6,79,0,8
Kansas,Hutchinson,3 replications,KS92PO263-137,24,3873,78.4,81,0,9
Kansas,Hutchinson,3 replications,KS92PO363-134,25,3287,75,77,0,9
Kansas,Hutchinson,3 replications,KS92PO425-155,26,3346,73.3,78,0,9
Kansas,Hutchinson,3 replications,KS84063-9-39-3,27,3581,73.6,77,0,7
Kansas,Hutchinson,3 replications,KS93U206,28,3743,76.2,82,0,9
Kansas,Hutchinson,3 replications,N87V106,29,2962,76.3,80,0,8
Kansas,Hutchinson,3 replications,NE90479,30,3867,78.5,92,0,4
Kansas,Hutchinson,3 replications,NE90524,31,3222,53.9,92,0,8
Kansas,Hutchinson,3 replications,NE91608,32,3131,55.3,92,0,9
Kansas,Hutchinson,3 replications,NE91635,33,3249,77.4,92,0,7
Kansas,Hutchinson,3 replications,NE91651,34,3639,75.7,83,0,9
Kansas,Hutchinson,3 replications,XH1520,35,4049,78,85,0,9
Kansas,Hutchinson,3 replications,XH1529,36,3431,77.7,78,0,9
Kansas,Hutchinson,3 replications,XH1689,37,35877,76.5,91,0,9
Kansas,Hutchinson,3 replications,XH1693,38,3750,77.9,84,0,9
Kansas,Hutchinson,3 replications,XH1706,39,3939,77.5,83,0,9
Kansas,Hutchinson,3 replications,WI89-273-13,40,3496,76.7,75,0,9
Kansas,Hutchinson,3 replications,WI89-189-14,41,3626,78.6,74,0,9
Kansas,Hutchinson,3 replications,T4731,42,3704,71.2,79,0,9
Kansas,Hutchinson,3 replications,T4732,43,3216,74.6,82,0,9
Kansas,Hutchinson,3 replications,T81,44,3476,76.7,76,0,9
Kansas,Hutchinson,3 replications,T83,45,3431,74.5,85,0,9
