state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,lodging (%),leaf sev. (%),rust resp (0-9),SBM virus (0-9),grn leaf duration (0-9)
Kansas,Manhattan,3 replications,CI1442,1,528,58,129,140,100,30,8,8,7
Kansas,Manhattan,3 replications,CI13996,2,1099,72.2,122,137,100,40,8,8,8
Kansas,Manhattan,3 replications,PI495594,3,3494,73.1,91,131,7,60,8,6,8
Kansas,Manhattan,3 replications,OK88767-11,4,3436,74.9,88,132,3,0,2,6,4
Kansas,Manhattan,3 replications,OK88767-02,5,3935,76.6,91,133,0,0,2,6,5
Kansas,Manhattan,3 replications,OK90604,6,3501,65.1,90,133,3,0,2,4,3
Kansas,Manhattan,3 replications,OK90649,7,3508,70.8,91,132,3,0,2,6,6
Kansas,Manhattan,3 replications,OK91783,8,3240,69.1,97,132,3,0,2,4,4
Kansas,Manhattan,3 replications,HBZ374C,9,3624,75.6,92,134,0,10,7,3,3
Kansas,Manhattan,3 replications,TX90D9277,10,3110,71.8,94,135,37,0,2,5,4
Kansas,Manhattan,3 replications,TX89A7137,11,2701,70.9,92,132,10,20,8,8,6
Kansas,Manhattan,3 replications,TX91V4931,12,2257,67.6,85,135,60,20,8,7,6
Kansas,Manhattan,3 replications,TX90V8410,13,2763,59.3,89,135,40,1,7,5,7
Kansas,Manhattan,3 replications,TX90V7911,14,2756,67.3,95,136,30,20,8,6,6
Kansas,Manhattan,3 replications,TX91V3308,15,3428,71,94,135,77,10,8,4,5
Kansas,Manhattan,3 replications,TX89A7141,16,3212,71,88,132,20,60,8,9,9
Kansas,Manhattan,3 replications,TX90V6313,17,3096,68.4,83,132,7,40,8,8,8
Kansas,Manhattan,3 replications,TX92V4135,18,3016,76.2,87,131,0,20,8,6,6
Kansas,Manhattan,3 replications,HBE0726-1,19,3848,69.7,90,135,27,0,2,5,3
Kansas,Manhattan,3 replications,CO880169,20,2105,67.1,93,135,27,20,8,9,8
Kansas,Manhattan,3 replications,CO880210,21,3226,64.7,92,134,10,40,8,9,9
Kansas,Manhattan,3 replications,CO910927,22,2763,67.2,92,132,0,90,8,8,9
Kansas,Manhattan,3 replications,KS92PO59E,23,3862,70.6,90,134,0,20,8,4,4
Kansas,Manhattan,3 replications,KS92PO263-137,24,3508,67.3,92,134,30,0,2,2,2
Kansas,Manhattan,3 replications,KS92PO363-134,25,3226,67.8,90,134,43,0,2,5,5
Kansas,Manhattan,3 replications,KS92PO425-155,26,3537,66.6,87,136,43,20,7,5,5
Kansas,Manhattan,3 replications,KS84063-9-39-3,27,3320,72.8,90,131,17,0,2,2,3
Kansas,Manhattan,3 replications,KS93U206,28,3399,74.2,94,131,33,0,2,5,5
Kansas,Manhattan,3 replications,N87V106,29,3204,73.2,93,134,30,1,8,7,6
Kansas,Manhattan,3 replications,NE90479,30,3023,68.5,98,136,83,20,8,7,6
Kansas,Manhattan,3 replications,NE90524,31,2676,68.2,102,136,67,1,3,9,7
Kansas,Manhattan,3 replications,NE91608,32,2394,70.3,109,136,87,1,3,4,4
Kansas,Manhattan,3 replications,NE91635,33,3530,71.7,104,134,37,40,8,5,7
Kansas,Manhattan,3 replications,NE91651,34,3262,66.4,97,133,60,30,8,7,6
Kansas,Manhattan,3 replications,XH1520,35,3898,73,97,132,13,20,8,8,8
Kansas,Manhattan,3 replications,XH1529,36,3609,67.4,87,131,0,1,3,5,4
Kansas,Manhattan,3 replications,XH1689,37,3233,71.5,102,135,30,0,2,8,7
Kansas,Manhattan,3 replications,XH1693,38,4166,75.2,91,132,23,10,8,8,8
Kansas,Manhattan,3 replications,XH1706,39,3761,70,97,132,0,0,2,7,6
Kansas,Manhattan,3 replications,WI89-273-13,40,3342,70.6,83,135,23,0,2,7,5
Kansas,Manhattan,3 replications,WI89-189-14,41,4297,74.5,83,132,40,0,2,7,7
Kansas,Manhattan,3 replications,T4731,42,3580,67.1,90,134,13,60,8,5,5
Kansas,Manhattan,3 replications,T4732,43,3212,63.4,92,134,77,60,8,6,6
Kansas,Manhattan,3 replications,T81,44,3465,73.8,91,134,7,1,3,7,7
Kansas,Manhattan,3 replications,T83,45,3429,68.3,93,134,27,10,8,5,5
