state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading 1/1
Kansas,Garden City,3 replications,CI1442,1,1619,69.1,97,151
Kansas,Garden City,3 replications,CI13996,2,2038,72.1,86,147
Kansas,Garden City,3 replications,PI495594,3,2183,71.2,66,142
Kansas,Garden City,3 replications,OK88767-11,4,2337,74.1,60,143
Kansas,Garden City,3 replications,OK88767-02,5,2564,75.5,62,143
Kansas,Garden City,3 replications,OK90604,6,2155,71.2,71,144
Kansas,Garden City,3 replications,OK90649,7,2019,72.7,66,143
Kansas,Garden City,3 replications,OK91783,8,1901,70.7,67,145
Kansas,Garden City,3 replications,HBZ374C,9,2265,72.3,65,144
Kansas,Garden City,3 replications,TX90D9277,10,2032,70.1,61,145
Kansas,Garden City,3 replications,TX89A7137,11,2082,70.4,62,142
Kansas,Garden City,3 replications,TX91V4931,12,2267,75.2,65,145
Kansas,Garden City,3 replications,TX90V8410,13,1980,70.4,69,146
Kansas,Garden City,3 replications,TX90V7911,14,1744,70.4,64,148
Kansas,Garden City,3 replications,TX91V3308,15,1646,68.7,68,146
Kansas,Garden City,3 replications,TX89A7141,16,2076,71.8,63,140
Kansas,Garden City,3 replications,TX90V6313,17,2659,73.9,63,141
Kansas,Garden City,3 replications,TX92V4135,18,2008,74.6,59,141
Kansas,Garden City,3 replications,HBE0726-1,19,2108,67.5,62,145
Kansas,Garden City,3 replications,CO880169,20,2539,72.9,70,142
Kansas,Garden City,3 replications,CO880210,21,2330,72.8,68,144
Kansas,Garden City,3 replications,CO910927,22,2078,70.5,58,142
Kansas,Garden City,3 replications,KS92PO59E,23,2121,71.6,64,141
Kansas,Garden City,3 replications,KS92PO263-137,24,2490,73.8,64,141
Kansas,Garden City,3 replications,KS92PO363-134,25,2179,68.7,66,145
Kansas,Garden City,3 replications,KS92PO425-155,26,2440,68.4,61,146
Kansas,Garden City,3 replications,KS84063-9-39-3,27,2499,72.5,66,141
Kansas,Garden City,3 replications,KS93U206,28,2723,74.4,63,141
Kansas,Garden City,3 replications,N87V106,29,155,65.4,64,147
Kansas,Garden City,3 replications,NE90479,30,2159,73.1,76,146
Kansas,Garden City,3 replications,NE90524,31,2379,73.5,73,144
Kansas,Garden City,3 replications,NE91608,32,1828,71.6,75,145
Kansas,Garden City,3 replications,NE91635,33,1826,70.3,67,142
Kansas,Garden City,3 replications,NE91651,34,1925,69.4,64,143
Kansas,Garden City,3 replications,XH1520,35,2606,75,69,140
Kansas,Garden City,3 replications,XH1529,36,2371,71.6,60,144
Kansas,Garden City,3 replications,XH1689,37,2658,72,75,144
Kansas,Garden City,3 replications,XH1693,38,2512,75,64,139
Kansas,Garden City,3 replications,XH1706,39,2849,75,70,139
Kansas,Garden City,3 replications,WI89-273-13,40,2653,74.3,62,143
Kansas,Garden City,3 replications,WI89-189-14,41,2519,74,58,142
Kansas,Garden City,3 replications,T4731,42,2528,64.7,69,144
Kansas,Garden City,3 replications,T4732,43,2284,65.9,70,145
Kansas,Garden City,3 replications,T81,44,2281,72.3,68,143
Kansas,Garden City,3 replications,T83,45,2439,71.3,71,144
