state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,winter survival (%)
South Dakota,Winner,3 replications,CI1442,1,2961,79.1,91,157,97
South Dakota,Winner,3 replications,CI13996,2,3174,77.8,76,151,93
South Dakota,Winner,3 replications,PI495594,3,2701,74.8,64,150,63
South Dakota,Winner,3 replications,OK88767-11,4,3304,78,62,150,73
South Dakota,Winner,3 replications,OK88767-02,5,2562,77,60,150,70
South Dakota,Winner,3 replications,OK90604,6,2571,76.9,61,150,73
South Dakota,Winner,3 replications,OK90649,7,2378,75.8,71,149,67
South Dakota,Winner,3 replications,OK91783,8,2829,75.8,65,150,73
South Dakota,Winner,3 replications,HBZ374C,9,3076,77.8,64,149,90
South Dakota,Winner,3 replications,TX90D9277,10,3497,76.3,66,149,83
South Dakota,Winner,3 replications,TX89A7137,11,2919,75.6,60,148,67
South Dakota,Winner,3 replications,TX91V4931,12,2343,74.9,62,152,43
South Dakota,Winner,3 replications,TX90V8410,13,2858,75.4,64,150,57
South Dakota,Winner,3 replications,TX90V7911,14,2941,77.5,64,153,70
South Dakota,Winner,3 replications,TX91V3308,15,1870,74.4,63,154,43
South Dakota,Winner,3 replications,TX89A7141,16,2742,74.2,62,150,70
South Dakota,Winner,3 replications,TX90V6313,17,2405,76.9,59,149,60
South Dakota,Winner,3 replications,TX92V4135,18,3190,78.1,62,149,83
South Dakota,Winner,3 replications,HBE0726-1,19,3737,76.2,61,152,83
South Dakota,Winner,3 replications,CO880169,20,3163,77.6,63,150,97
South Dakota,Winner,3 replications,CO880210,21,3037,76.3,60,152,70
South Dakota,Winner,3 replications,CO910927,22,3020,75.9,59,150,90
South Dakota,Winner,3 replications,KS92PO59E,23,3311,76.9,65,150,90
South Dakota,Winner,3 replications,KS92PO263-137,24,2883,77.7,66,150,77
South Dakota,Winner,3 replications,KS92PO363-134,25,3192,76.2,66,149,93
South Dakota,Winner,3 replications,KS92PO425-155,26,3488,74.8,61,153,90
South Dakota,Winner,3 replications,KS84063-9-39-3,27,2995,78.2,67,149,83
South Dakota,Winner,3 replications,KS93U206,28,3504,77.5,64,149,87
South Dakota,Winner,3 replications,N87V106,29,3042,77.2,63,151,83
South Dakota,Winner,3 replications,NE90479,30,3865,77.6,73,151,90
South Dakota,Winner,3 replications,NE90524,31,3683,76.6,66,149,97
South Dakota,Winner,3 replications,NE91608,32,2538,77.2,68,150,93
South Dakota,Winner,3 replications,NE91635,33,2098,76.2,66,149,100
South Dakota,Winner,3 replications,NE91651,34,3495,77.2,69,150,87
South Dakota,Winner,3 replications,XH1520,35,3957,78.6,67,149,83
South Dakota,Winner,3 replications,XH1529,36,3999,78,65,149,87
South Dakota,Winner,3 replications,XH1689,37,4376,78.4,68,149,100
South Dakota,Winner,3 replications,XH1693,38,4235,79.2,64,149,97
South Dakota,Winner,3 replications,XH1706,39,4425,78.7,69,149,97
South Dakota,Winner,3 replications,WI89-273-13,40,3589,78.2,60,150,83
South Dakota,Winner,3 replications,WI89-189-14,41,2827,77.4,62,150,80
South Dakota,Winner,3 replications,T4731,42,2011,72.7,62,152,63
South Dakota,Winner,3 replications,T4732,43,2652,73.7,65,151,83
South Dakota,Winner,3 replications,T81,44,3560,78.7,61,151,83
South Dakota,Winner,3 replications,T83,45,4071,77,67,149,90
