state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,lodging (0-9),BYD virus (0-9),septoria (0-9)
Missouri,Columbia,3 replications,CI1442,1,2042,74.5,128,146,3,3,4
Missouri,Columbia,3 replications,CI13996,2,2577,74.7,124,139,4,3,4.3
Missouri,Columbia,3 replications,PI495594,3,3889,73.8,91,134,1.7,1.7,3
Missouri,Columbia,3 replications,OK88767-11,4,2994,72.2,91,135,2,2.7,5.7
Missouri,Columbia,3 replications,OK88767-02,5,3231,75.3,94,135,0.7,3.3,5.7
Missouri,Columbia,3 replications,OK90604,6,3839,73.6,95,135,1.3,2.3,3.3
Missouri,Columbia,3 replications,OK90649,7,3460,74.6,94,135,2,2.7,5
Missouri,Columbia,3 replications,OK91783,8,3499,72.2,97,134,2,2.7,4.3
Missouri,Columbia,3 replications,HBZ374C,9,3293,72.9,91,135,1,1.3,4
Missouri,Columbia,3 replications,TX90D9277,10,3391,71.8,93,137,1.7,3,4.3
Missouri,Columbia,3 replications,TX89A7137,11,3332,71,95,135,2.7,3,5
Missouri,Columbia,3 replications,TX91V4931,12,3124,76.8,90,135,2.3,2.7,3.3
Missouri,Columbia,3 replications,TX90V8410,13,2627,70.5,91,136,3,3,5
Missouri,Columbia,3 replications,TX90V7911,14,3162,73.8,97,138,2,2.3,3.3
Missouri,Columbia,3 replications,TX91V3308,15,3587,70.3,89,136,2,3.3,4
Missouri,Columbia,3 replications,TX89A7141,16,374,71,87,135,2,3.3,3.7
Missouri,Columbia,3 replications,TX90V6313,17,3008,72.2,85,134,2.7,3.3,5.7
Missouri,Columbia,3 replications,TX92V4135,18,3342,73.5,85,134,1.3,2.7,5.7
Missouri,Columbia,3 replications,HBE0726-1,19,3651,68.6,91,136,1.7,2.3,4.3
Missouri,Columbia,3 replications,CO880169,20,2519,71.3,96,137,2,3,4.3
Missouri,Columbia,3 replications,CO880210,21,3648,73.4,89,135,2.3,2,3.7
Missouri,Columbia,3 replications,CO910927,22,3638,70.7,89,134,1,4,5
Missouri,Columbia,3 replications,KS92PO59E,23,3145,68.9,91,136,1.7,2,4.3
Missouri,Columbia,3 replications,KS92PO263-137,24,3798,72.1,91,137,1.7,1.7,3.3
Missouri,Columbia,3 replications,KS92PO363-134,25,3817,71.7,89,136,1.7,2.3,4
Missouri,Columbia,3 replications,KS92PO425-155,26,4017,68.6,82,137,3,1.7,3.3
Missouri,Columbia,3 replications,KS84063-9-39-3,27,3372,74,91,133,1.3,3.3,3.3
Missouri,Columbia,3 replications,KS93U206,28,3690,74.6,93,134,1.7,1.3,3
Missouri,Columbia,3 replications,N87V106,29,3613,73.4,93,135,2.3,3.3,5
Missouri,Columbia,3 replications,NE90479,30,2995,73.5,98,138,2,2.3,4.3
Missouri,Columbia,3 replications,NE90524,31,3199,71.9,108,136,3,2.3,4
Missouri,Columbia,3 replications,NE91608,32,3382,73.8,108,136,3.3,3,3
Missouri,Columbia,3 replications,NE91635,33,3374,72.8,95,135,1.3,2.7,4.7
Missouri,Columbia,3 replications,NE91651,34,3520,72.2,93,134,3,2.3,4
Missouri,Columbia,3 replications,XH1520,35,3386,74.2,95,134,2.7,3.3,4.7
Missouri,Columbia,3 replications,XH1529,36,3888,75.2,91,133,2.3,2.3,3.7
Missouri,Columbia,3 replications,XH1689,37,3829,73.7,100,137,2.3,2,3.3
Missouri,Columbia,3 replications,XH1693,38,3164,73.1,87,134,2.3,3.7,5.3
Missouri,Columbia,3 replications,XH1706,39,2594,69.4,91,135,2.3,2.3,6
Missouri,Columbia,3 replications,WI89-273-13,40,3569,73.2,86,136,3.3,2,4.3
Missouri,Columbia,3 replications,WI89-189-14,41,3595,72.8,81,134,3,3,4.3
Missouri,Columbia,3 replications,T4731,42,4056,68.5,93,136,2.7,2.3,4.3
Missouri,Columbia,3 replications,T4732,43,4056,70.6,95,136,3,1.3,3.7
Missouri,Columbia,3 replications,T81,44,3577,73.4,89,135,2,2.7,4.7
Missouri,Columbia,3 replications,T83,45,3578,71.7,89,135,2,3,3.7
