state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,lodging (0-9),stripe rust sev.,stripe rust resp:,staw strength (0-5)
Idaho,Aberdeen,3 replications,CI1442,1,,,,,,,,
Idaho,Aberdeen,3 replications,CI13996,2,5857,79.2,118,150,9,0,0,5
Idaho,Aberdeen,3 replications,PI495594,3,9184,79.3,91,148,1,5,5,4
Idaho,Aberdeen,3 replications,OK88767-11,4,9375,79.5,86,149,1,5,4,3
Idaho,Aberdeen,3 replications,OK88767-02,5,7498,78.3,86,153,1,0,0,3.5
Idaho,Aberdeen,3 replications,OK90604,6,8064,78.4,90,147,1,8,4,4
Idaho,Aberdeen,3 replications,OK90649,7,7724,78,94,150,4.5,0,0,4
Idaho,Aberdeen,3 replications,OK91783,8,8591,76.4,102,149,4,0,0,4.5
Idaho,Aberdeen,3 replications,HBZ374C,9,9058,79.5,98,149,1,0,0,4
Idaho,Aberdeen,3 replications,TX90D9277,10,9257,77.1,100,151,2,0,0,3
Idaho,Aberdeen,3 replications,TX89A7137,11,9303,77.1,94,147,1.5,15,1,3.5
Idaho,Aberdeen,3 replications,TX91V4931,12,8774,83.5,90,152,4.5,0,0,4.5
Idaho,Aberdeen,3 replications,TX90V8410,13,8509,80.8,91,151,8,0,0,5
Idaho,Aberdeen,3 replications,TX90V7911,14,9067,79.2,97,151,7.5,1,7,5
Idaho,Aberdeen,3 replications,TX91V3308,15,9650,78.3,93,153,3.5,0,0,4.5
Idaho,Aberdeen,3 replications,TX89A7141,16,9945,78.6,90,147,6,0,0,4.5
Idaho,Aberdeen,3 replications,TX90V6313,17,7765,79.2,86,148,9,20,1,5
Idaho,Aberdeen,3 replications,TX92V4135,18,8551,78.8,86,146,4,5,4,4
Idaho,Aberdeen,3 replications,HBE0726-1,19,10255,76.6,95,151,6,15,3,5
Idaho,Aberdeen,3 replications,CO880169,20,10073,79.5,102,152,5.5,0,0,5
Idaho,Aberdeen,3 replications,CO880210,21,10068,80.1,98,152,8,5,2,5
Idaho,Aberdeen,3 replications,CO910927,22,9472,78.6,94,148,4,0,0,4.5
Idaho,Aberdeen,3 replications,KS92PO59E,23,10878,78.6,99,153,5,5,1,4
Idaho,Aberdeen,3 replications,KS92PO263-137,24,9512,78.4,95,153,4.5,1,5,4
Idaho,Aberdeen,3 replications,KS92PO363-134,25,9750,78.3,91,150,8.5,0,0,5
Idaho,Aberdeen,3 replications,KS92PO425-155,26,9883,77.7,89,151,1,1,6,3.5
Idaho,Aberdeen,3 replications,KS84063-9-39-3,27,8211,79.3,93,147,2,0,0,4.5
Idaho,Aberdeen,3 replications,KS93U206,28,8534,78.9,91,146,2,2,2,4.5
Idaho,Aberdeen,3 replications,N87V106,29,8042,77.5,102,148,6,0,0,4.5
Idaho,Aberdeen,3 replications,NE90479,30,7846,78.8,103,150,4.5,5,6,4.5
Idaho,Aberdeen,3 replications,NE90524,31,8653,78.9,109,151,5,0,0,4.5
Idaho,Aberdeen,3 replications,NE91608,32,6003,77.7,104,150,6.5,.,.,5
Idaho,Aberdeen,3 replications,NE91635,33,7841,77.7,105,150,3,.,.,4.5
Idaho,Aberdeen,3 replications,NE91651,34,9167,78.3,95,147,2.5,0,0,4
,,,XH1520,35,,,,,,,,
,,,XH1529,36,,,,,,,,
,,,XH1689,37,,,,,,,,
,,,XH1693,38,,,,,,,,
,,,XH1706,39,,,,,,,,
,,,WI89-273-13,40,,,,,,,,
,,,WI89-189-14,41,,,,,,,,
,,,T4731,42,,,,,,,,
,,,T4732,43,,,,,,,,
,,,T81,44,,,,,,,,
,,,T83,45,,,,,,,,
Idaho,Aberdeen,3 replications,KARL92,46,8538,78.4,89,150,4,5,1,4
