state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,days to flowering from 1/1,lodging (%)
Texas,Bushland (Irr.),3 replications,CI1442,1,2739,75.1,105,137,139,87
Texas,Bushland (Irr.),3 replications,CI13996,2,4618,78,97,127,129,83
Texas,Bushland (Irr.),3 replications,PI495594,3,6243,77.9,90,119,124,23
Texas,Bushland (Irr.),3 replications,OK88767-11,4,6384,78.8,83,123,124,0
Texas,Bushland (Irr.),3 replications,OK88767-02,5,5539,79.9,90,125,128,0
Texas,Bushland (Irr.),3 replications,OK90604,6,6120,78,90,125,128,13
Texas,Bushland (Irr.),3 replications,OK90649,7,6075,79,91,124,128,10
Texas,Bushland (Irr.),3 replications,OK91783,8,5120,76,92,124,127,3
Texas,Bushland (Irr.),3 replications,HBZ374C,9,5920,80.3,92,127,128,3
Texas,Bushland (Irr.),3 replications,TX90D9277,10,5189,75.5,101,127,130,37
Texas,Bushland (Irr.),3 replications,TX89A7137,11,6384,77,87,121,124,30
Texas,Bushland (Irr.),3 replications,TX91V4931,12,6330,80.5,87,123,124,50
Texas,Bushland (Irr.),3 replications,TX90V8410,13,5268,77.6,85,125,125,63
Texas,Bushland (Irr.),3 replications,TX90V7911,14,5295,75.9,88,120,123,47
Texas,Bushland (Irr.),3 replications,TX91V3308,15,5001,73.7,85,127,129,3
Texas,Bushland (Irr.),3 replications,TX89A7141,16,6326,77.2,89,121,124,20
Texas,Bushland (Irr.),3 replications,TX90V6313,17,5221,74.8,82,126,128,73
Texas,Bushland (Irr.),3 replications,TX92V4135,18,5745,77.5,80,122,124,17
Texas,Bushland (Irr.),3 replications,HBE0726-1,19,6122,75.9,86,128,129,7
Texas,Bushland (Irr.),3 replications,CO880169,20,6104,77.4,96,126,128,33
Texas,Bushland (Irr.),3 replications,CO880210,21,6436,78,89,126,128,43
Texas,Bushland (Irr.),3 replications,CO910927,22,5548,76.7,84,124,124,27
Texas,Bushland (Irr.),3 replications,KS92PO59E,23,6371,73.5,90,127,128,7
Texas,Bushland (Irr.),3 replications,KS92PO263-137,24,5591,78.9,89,126,127,3
Texas,Bushland (Irr.),3 replications,KS92PO363-134,25,,,,,,
Texas,Bushland (Irr.),3 replications,KS92PO425-155,26,6109,73.7,84,128,130,37
Texas,Bushland (Irr.),3 replications,KS84063-9-39-3,27,6541,77.1,90,124,127,60
Texas,Bushland (Irr.),3 replications,KS93U206,28,6313,78.5,89,120,124,30
Texas,Bushland (Irr.),3 replications,N87V106,29,5546,75.8,93,126,129,37
Texas,Bushland (Irr.),3 replications,NE90479,30,5463,78.6,92,127,129,33
Texas,Bushland (Irr.),3 replications,NE90524,31,5506,78.6,95,126,129,27
Texas,Bushland (Irr.),3 replications,NE91608,32,4479,77.3,89,129,132,37
Texas,Bushland (Irr.),3 replications,NE91635,33,3481,76.8,93,126,129,23
Texas,Bushland (Irr.),3 replications,NE91651,34,5967,76.3,95,124,127,53
Texas,Bushland (Irr.),3 replications,XH1520,35,6530,78.4,94,125,127,13
Texas,Bushland (Irr.),3 replications,XH1529,36,6443,79.3,88,119,124,17
Texas,Bushland (Irr.),3 replications,XH1689,37,5972,75.8,96,129,130,47
Texas,Bushland (Irr.),3 replications,XH1693,38,6326,76.8,92,125,127,13
Texas,Bushland (Irr.),3 replications,XH1706,39,6077,79.9,91,124,128,33
Texas,Bushland (Irr.),3 replications,WI89-273-13,40,5705,77.9,79,126,128,20
Texas,Bushland (Irr.),3 replications,WI89-189-14,41,6162,78.3,81,118,123,23
Texas,Bushland (Irr.),3 replications,T4731,42,5425,70.9,80,125,130,40
Texas,Bushland (Irr.),3 replications,T4732,43,5315,70.5,93,125,130,77
Texas,Bushland (Irr.),3 replications,T81,44,6622,77,87,122,123,27
Texas,Bushland (Irr.),3 replications,T83,45,6149,75.9,89,123,124,63
Texas,Bushland (Irr.),3 replications,,,,,,,,
