state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,days to flowering from 1/1
Texas,Bushland (Dryl.),3 replications,CI1442,1,2156,75.6,84,134,139
Texas,Bushland (Dryl.),3 replications,CI13996,2,2448,77.6,71,132,133
Texas,Bushland (Dryl.),3 replications,PI495594,3,2441,77.4,59,128,131
Texas,Bushland (Dryl.),3 replications,OK88767-11,4,2287,78.4,57,129,131
Texas,Bushland (Dryl.),3 replications,OK88767-02,5,2163,78.8,59,129,131
Texas,Bushland (Dryl.),3 replications,OK90604,6,2522,77.5,59,129,131
Texas,Bushland (Dryl.),3 replications,OK90649,7,2405,77.6,64,128,129
Texas,Bushland (Dryl.),3 replications,OK91783,8,2506,76.4,60,129,130
Texas,Bushland (Dryl.),3 replications,HBZ374C,9,2352,78.8,65,129,131
Texas,Bushland (Dryl.),3 replications,TX90D9277,10,2618,74.7,66,130,131
Texas,Bushland (Dryl.),3 replications,TX89A7137,11,2493,77.1,62,128,130
Texas,Bushland (Dryl.),3 replications,TX91V4931,12,2612,81.5,63,129,130
Texas,Bushland (Dryl.),3 replications,TX90V8410,13,2903,78.5,61,130,131
Texas,Bushland (Dryl.),3 replications,TX90V7911,14,2540,77.7,61,130,131
Texas,Bushland (Dryl.),3 replications,TX91V3308,15,2549,75.5,62,130,130
Texas,Bushland (Dryl.),3 replications,TX89A7141,16,2551,77,57,128,130
Texas,Bushland (Dryl.),3 replications,TX90V6313,17,2706,78.9,58,128,130
Texas,Bushland (Dryl.),3 replications,TX92V4135,18,2533,78.3,61,128,130
Texas,Bushland (Dryl.),3 replications,HBE0726-1,19,2777,74.5,59,130,131
Texas,Bushland (Dryl.),3 replications,CO880169,20,2793,78,66,129,130
Texas,Bushland (Dryl.),3 replications,CO880210,21,2822,78.2,60,129,131
Texas,Bushland (Dryl.),3 replications,CO910927,22,2439,77.4,61,128,130
Texas,Bushland (Dryl.),3 replications,KS92PO59E,23,2912,76.3,62,129,130
Texas,Bushland (Dryl.),3 replications,KS92PO263-137,24,2582,79,64,129,131
Texas,Bushland (Dryl.),3 replications,KS92PO363-134,25,2656,76.3,66,129,130
Texas,Bushland (Dryl.),3 replications,KS92PO425-155,26,2820,74.8,57,131,133
Texas,Bushland (Dryl.),3 replications,KS84063-9-39-3,27,2735,78.6,63,127,129
Texas,Bushland (Dryl.),3 replications,KS93U206,28,2504,78.5,60,128,130
Texas,Bushland (Dryl.),3 replications,N87V106,29,2349,74.9,65,130,131
Texas,Bushland (Dryl.),3 replications,NE90479,30,2585,78.7,68,131,135
Texas,Bushland (Dryl.),3 replications,NE90524,31,2562,78.5,66,129,131
Texas,Bushland (Dryl.),3 replications,NE91608,32,2612,76.7,71,131,133
Texas,Bushland (Dryl.),3 replications,NE91635,33,2452,74.6,71,130,131
Texas,Bushland (Dryl.),3 replications,NE91651,34,2486,75.9,66,128,131
Texas,Bushland (Dryl.),3 replications,XH1520,35,2845,78.8,67,128,130
Texas,Bushland (Dryl.),3 replications,XH1529,36,2674,80,57,128,130
Texas,Bushland (Dryl.),3 replications,XH1689,37,2887,77.4,66,130,131
Texas,Bushland (Dryl.),3 replications,XH1693,38,2937,80.5,65,128,130
Texas,Bushland (Dryl.),3 replications,XH1706,39,2831,79.6,66,128,129
Texas,Bushland (Dryl.),3 replications,WI89-273-13,40,2694,79.5,58,129,131
Texas,Bushland (Dryl.),3 replications,WI89-189-14,41,2401,79.9,53,128,130
Texas,Bushland (Dryl.),3 replications,T4731,42,2524,75,59,129,130
Texas,Bushland (Dryl.),3 replications,T4732,43,2589,74.9,65,129,130
Texas,Bushland (Dryl.),3 replications,T81,44,2703,78.3,64,129,131
Texas,Bushland (Dryl.),3 replications,T83,45,2600,77.6,65,128,131
